P31946	9606.ENSP00000361930
Q08AH1	9606.ENSP00000301956
Q53FZ2	9606.ENSP00000289416
P0C7M7	9606.ENSP00000382349
Q6NUN0	9606.ENSP00000327916
Q6P461	9606.ENSP00000340296
Q9H6R3	9606.ENSP00000449535
P62736	9606.ENSP00000402373
Q562R1	9606.ENSP00000416706
P60709	9606.ENSP00000349960
P68032	9606.ENSP00000290378
P63261	9606.ENSP00000458162
Q01718	9606.ENSP00000333821
P63267	9606.ENSP00000386857
Q9H568	9606.ENSP00000364555
Q8TC94	9606.ENSP00000316674
P12814	9606.ENSP00000377941
P35609	9606.ENSP00000443495
Q08043	9606.ENSP00000422007
O43707	9606.ENSP00000252699
P68133	9606.ENSP00000355645
Q8TDG2	9606.ENSP00000360165
Q8TDY3	9606.ENSP00000367658
Q9BYD9	9606.ENSP00000333037
P42025	9606.ENSP00000289228
P61163	9606.ENSP00000358921
P36896	9606.ENSP00000442656
Q8NER5	9606.ENSP00000243349
P37023	9606.ENSP00000373574
Q04771	9606.ENSP00000263640
Q03154	9606.ENSP00000384296
P45381	9606.ENSP00000263080
Q96HD9	9606.ENSP00000255082
P07311	9606.ENSP00000238618
P14621	9606.ENSP00000378161
O14672	9606.ENSP00000260408
O75078	9606.ENSP00000200557
O43184	9606.ENSP00000357668
Q13444	9606.ENSP00000349436
P78536	9606.ENSP00000309968
Q9Y3Q7	9606.ENSP00000265707
Q9H013	9606.ENSP00000257527
P35348	9606.ENSP00000369960
P35368	9606.ENSP00000306662
P25100	9606.ENSP00000368766
O43506	9606.ENSP00000256389
Q9UKJ8	9606.ENSP00000474385
Q9P0K1	9606.ENSP00000265727
O75077	9606.ENSP00000264377
Q9UKQ2	9606.ENSP00000265769
Q9UKF5	9606.ENSP00000484862
P08913	9606.ENSP00000280155
P18089	9606.ENSP00000480573
P18825	9606.ENSP00000386069
Q9NZK5	9606.ENSP00000382731
Q9UKF2	9606.ENSP00000358407
Q8TC27	9606.ENSP00000369238
Q9BZ11	9606.ENSP00000348912
Q96M93	9606.ENSP00000296513
Q8NCV1	9606.ENSP00000268624
Q6DHV7	9606.ENSP00000398744
Q99965	9606.ENSP00000265708
Q9H2U9	9606.ENSP00000175238
P78325	9606.ENSP00000453302
Q13443	9606.ENSP00000419446
O75689	9606.ENSP00000442682
Q9NPF8	9606.ENSP00000329468
O00116	9606.ENSP00000264167
Q9BUB4	9606.ENSP00000310015
Q7Z6V5	9606.ENSP00000237283
Q96EY9	9606.ENSP00000332448
P00813	9606.ENSP00000361965
Q86TW2	9606.ENSP00000238561
Q7Z695	9606.ENSP00000072869
Q3MIX3	9606.ENSP00000310547
Q6P093	9606.ENSP00000348911
Q5VUY0	9606.ENSP00000352268
Q5VUY2	9606.ENSP00000365395
Q08828	9606.ENSP00000297323
Q08462	9606.ENSP00000342952
O60266	9606.ENSP00000260600
Q8NFM4	9606.ENSP00000312126
O95622	9606.ENSP00000419361
O43306	9606.ENSP00000311405
P51828	9606.ENSP00000378187
P40145	9606.ENSP00000286355
O60503	9606.ENSP00000294016
Q96PN6	9606.ENSP00000356825
P35611	9606.ENSP00000264758
P35612	9606.ENSP00000264436
Q9UEY8	9606.ENSP00000348381
O15204	9606.ENSP00000256412
Q8N7X0	9606.ENSP00000381036
P07327	9606.ENSP00000209668
P00325	9606.ENSP00000306606
P00326	9606.ENSP00000426083
P08319	9606.ENSP00000265512
P28332	9606.ENSP00000378359
P40394	9606.ENSP00000420269
P11766	9606.ENSP00000296412
Q0VDE8	9606.ENSP00000440331
Q5T7M4	9606.ENSP00000329137
Q15848	9606.ENSP00000389814
Q9Y2D8	9606.ENSP00000340279
Q15847	9606.ENSP00000361083
P55263	9606.ENSP00000286621
Q7Z4H4	9606.ENSP00000379087
C9JUS6	9606.ENSP00000393631
P35318	9606.ENSP00000436607
Q6IQ32	9606.ENSP00000262198
Q9H2P0	9606.ENSP00000379346
Q9BRR6	9606.ENSP00000312250
Q9NRN7	9606.ENSP00000278618
P54922	9606.ENSP00000420200
Q3LIE5	9606.ENSP00000369099
P08588	9606.ENSP00000358301
P07550	9606.ENSP00000305372
P13945	9606.ENSP00000343782
Q16186	9606.ENSP00000478877
P22570	9606.ENSP00000416515
Q9Y6U3	9606.ENSP00000297029
P12235	9606.ENSP00000281456
P05141	9606.ENSP00000360671
P12236	9606.ENSP00000370808
Q9H0C2	9606.ENSP00000281154
Q96IZ2	9606.ENSP00000229583
P10109	9606.ENSP00000260270
Q8IUX7	9606.ENSP00000223357
Q6ZN18	9606.ENSP00000381840
Q96SZ5	9606.ENSP00000362888
Q6UXC1	9606.ENSP00000319388
Q8WTP8	9606.ENSP00000331944
P55197	9606.ENSP00000307411
P55198	9606.ENSP00000479910
Q8TED9	9606.ENSP00000296721
Q8N4X5	9606.ENSP00000303042
Q13015	9606.ENSP00000357917
P42568	9606.ENSP00000369695
P55196	9606.ENSP00000375960
P43652	9606.ENSP00000226355
Q8N556	9606.ENSP00000410689
P51825	9606.ENSP00000378578
P51816	9606.ENSP00000359489
P51826	9606.ENSP00000386834
Q9UHB7	9606.ENSP00000265343
Q8WV93	9606.ENSP00000357973
Q8NB90	9606.ENSP00000274008
Q9Y4W6	9606.ENSP00000269143
Q6ULP2	9606.ENSP00000238855
Q5BKT4	9606.ENSP00000266483
Q5I7T1	9606.ENSP00000310120
C9J202	9606.ENSP00000479850
P06280	9606.ENSP00000218516
Q9UPQ3	9606.ENSP00000307634
Q99490	9606.ENSP00000449241
Q96P47	9606.ENSP00000380413
Q96P64	9606.ENSP00000392513
A6NIR3	9606.ENSP00000363207
Q5VW22	9606.ENSP00000400972
P52594	9606.ENSP00000387282
O95081	9606.ENSP00000300176
Q8N302	9606.ENSP00000316109
Q53H12	9606.ENSP00000347581
O95394	9606.ENSP00000425809
Q9UL18	9606.ENSP00000362300
Q9UKV8	9606.ENSP00000220592
Q9H9G7	9606.ENSP00000362287
Q9HCK5	9606.ENSP00000362306
O95994	9606.ENSP00000391490
Q8TD06	9606.ENSP00000308606
Q86SQ6	9606.ENSP00000376384
Q96PE1	9606.ENSP00000406367
Q8IWK6	9606.ENSP00000334952
O14514	9606.ENSP00000430945
O60241	9606.ENSP00000362759
O60242	9606.ENSP00000359630
Q6QNK2	9606.ENSP00000261654
Q7Z7M1	9606.ENSP00000335156
Q14246	9606.ENSP00000311545
Q9UHX3	9606.ENSP00000319883
Q9BY15	9606.ENSP00000253673
Q5T601	9606.ENSP00000360299
Q8IZF7	9606.ENSP00000296862
Q8IZF5	9606.ENSP00000307831
Q8IZF3	9606.ENSP00000283303
Q8IZF2	9606.ENSP00000283296
Q9Y653	9606.ENSP00000455215
Q8IZP9	9606.ENSP00000369198
Q86Y34	9606.ENSP00000332900
Q8IZF6	9606.ENSP00000377699
Q8IZF4	9606.ENSP00000342981
Q86SQ4	9606.ENSP00000356581
Q96K78	9606.ENSP00000273352
O00468	9606.ENSP00000368678
O94910	9606.ENSP00000340688
O95490	9606.ENSP00000322270
Q9HAR2	9606.ENSP00000422533
Q9HBW9	9606.ENSP00000359778
O00253	9606.ENSP00000290953
Q8WXG9	9606.ENSP00000384582
Q9BYV1	9606.ENSP00000231420
P30556	9606.ENSP00000419422
P50052	9606.ENSP00000360973
Q5TGY3	9606.ENSP00000363123
Q8N157	9606.ENSP00000356774
Q8IVF2	9606.ENSP00000353114
Q09666	9606.ENSP00000367263
A9YTQ3	9606.ENSP00000323816
P35869	9606.ENSP00000242057
O95433	9606.ENSP00000216479
Q719I0	9606.ENSP00000377970
Q9NZD4	9606.ENSP00000307199
Q9GZX7	9606.ENSP00000229335
Q96BJ3	9606.ENSP00000339161
P55008	9606.ENSP00000365227
O95831	9606.ENSP00000287295
Q96NN9	9606.ENSP00000382120
Q9NVV5	9606.ENSP00000350509
O14862	9606.ENSP00000357112
Q12904	9606.ENSP00000378191
Q13155	9606.ENSP00000223029
Q16352	9606.ENSP00000358865
Q9NZN9	9606.ENSP00000370521
O00170	9606.ENSP00000279146
O43918	9606.ENSP00000291582
Q9UKB5	9606.ENSP00000367433
C9J069	9606.ENSP00000412388
Q96IF1	9606.ENSP00000262713
Q02040	9606.ENSP00000324827
P14550	9606.ENSP00000361140
O60218	9606.ENSP00000352584
C9JRZ8	9606.ENSP00000389289
Q04828	9606.ENSP00000370254
P52895	9606.ENSP00000370129
P42330	9606.ENSP00000369927
P17516	9606.ENSP00000369814
P51857	9606.ENSP00000242375
O43572	9606.ENSP00000225737
Q9UKA4	9606.ENSP00000025301
Q02952	9606.ENSP00000384537
Q86UN6	9606.ENSP00000360485
Q9P0M2	9606.ENSP00000405252
Q92667	9606.ENSP00000478212
Q9Y2D5	9606.ENSP00000363654
O75969	9606.ENSP00000228850
Q5JQC9	9606.ENSP00000351327
P24588	9606.ENSP00000378207
Q13023	9606.ENSP00000280979
O43823	9606.ENSP00000269701
Q99996	9606.ENSP00000348573
Q96JD6	9606.ENSP00000298375
Q495B1	9606.ENSP00000325895
A6NHY2	9606.ENSP00000471417
Q9P2G1	9606.ENSP00000265742
Q9NQ31	9606.ENSP00000310459
Q9NWT8	9606.ENSP00000342676
Q9H9L7	9606.ENSP00000392678
Q53H80	9606.ENSP00000257787
Q7Z591	9606.ENSP00000303769
Q5T1N1	9606.ENSP00000359018
Q12802	9606.ENSP00000354718
Q9ULX6	9606.ENSP00000380557
P31749	9606.ENSP00000451828
P31751	9606.ENSP00000375892
Q9Y243	9606.ENSP00000263826
Q9H8T0	9606.ENSP00000378152
Q96B36	9606.ENSP00000375711
Q8N8R7	9606.ENSP00000282032
P00352	9606.ENSP00000297785
O94788	9606.ENSP00000249750
P47895	9606.ENSP00000332256
P30837	9606.ENSP00000366927
O75891	9606.ENSP00000273450
Q3SY69	9606.ENSP00000258494
Q60I27	9606.ENSP00000313670
P30838	9606.ENSP00000411821
P51648	9606.ENSP00000345774
P43353	9606.ENSP00000473990
P48448	9606.ENSP00000255084
P30038	9606.ENSP00000364490
P20292	9606.ENSP00000479870
P49419	9606.ENSP00000387123
Q9H2A2	9606.ENSP00000265605
P49189	9606.ENSP00000346827
P24298	9606.ENSP00000378408
Q8TD30	9606.ENSP00000345282
P02768	9606.ENSP00000295897
P05091	9606.ENSP00000261733
P04075	9606.ENSP00000378669
P05062	9606.ENSP00000363988
P09972	9606.ENSP00000226253
P15121	9606.ENSP00000285930
Q2TAA5	9606.ENSP00000430236
Q9BV10	9606.ENSP00000333813
Q9NP73	9606.ENSP00000378260
Q96F25	9606.ENSP00000359224
Q6GMV1	9606.ENSP00000482705
Q9BT22	9606.ENSP00000262374
Q9H553	9606.ENSP00000417764
Q92685	9606.ENSP00000380793
Q9Y673	9606.ENSP00000239891
Q9Y672	9606.ENSP00000360149
Q9BVK2	9606.ENSP00000299626
Q9H6U8	9606.ENSP00000482396
Q13686	9606.ENSP00000216489
Q6NS38	9606.ENSP00000398181
Q96Q83	9606.ENSP00000302232
Q9NXW9	9606.ENSP00000292566
Q6P6C2	9606.ENSP00000382091
Q3KRA9	9606.ENSP00000368152
Q9BT30	9606.ENSP00000245812
Q96BT7	9606.ENSP00000397673
Q6UXT8	9606.ENSP00000351345
Q6UX46	9606.ENSP00000384604
Q6ZNB7	9606.ENSP00000341662
Q9UM73	9606.ENSP00000373700
Q8N6M5	9606.ENSP00000252505
Q8TCU4	9606.ENSP00000482968
Q96QP1	9606.ENSP00000398048
Q86TB3	9606.ENSP00000354991
Q96L96	9606.ENSP00000258888
P55789	9606.ENSP00000248114
Q96Q42	9606.ENSP00000264276
P35858	9606.ENSP00000416683
Q15699	9606.ENSP00000315417
O95076	9606.ENSP00000358807
Q9H161	9606.ENSP00000332744
Q9UHK6	9606.ENSP00000371517
Q9NP70	9606.ENSP00000313809
P02760	9606.ENSP00000265132
P19021	9606.ENSP00000306100
Q99217	9606.ENSP00000370088
Q5JTC6	9606.ENSP00000329117
Q8N7J2	9606.ENSP00000426528
Q8N944	9606.ENSP00000392700
Q6DCA0	9606.ENSP00000272647
Q9UKV5	9606.ENSP00000290649
Q86WK6	9606.ENSP00000358880
Q86SJ2	9606.ENSP00000266581
Q86WK7	9606.ENSP00000323096
Q16671	9606.ENSP00000257863
Q9Y4X0	9606.ENSP00000262844
Q8IY45	9606.ENSP00000281471
Q9BXJ7	9606.ENSP00000299155
Q8IY63	9606.ENSP00000387739
Q9Y2J4	9606.ENSP00000424765
Q4VCS5	9606.ENSP00000361027
Q9H4A4	9606.ENSP00000295640
P23109	9606.ENSP00000430075
Q01433	9606.ENSP00000256578
Q01432	9606.ENSP00000379802
Q07075	9606.ENSP00000265162
P49418	9606.ENSP00000348602
P28838	9606.ENSP00000226299
P15144	9606.ENSP00000300060
Q8N6M6	9606.ENSP00000364464
Q6Q4G3	9606.ENSP00000350541
Q9C0C7	9606.ENSP00000431926
P30533	9606.ENSP00000421922
Q6UX39	9606.ENSP00000341013
P04745	9606.ENSP00000359100
P19961	9606.ENSP00000354610
P04746	9606.ENSP00000481450
Q400G9	9606.ENSP00000308149
Q86W34	9606.ENSP00000352976
Q8IZ07	9606.ENSP00000261739
Q86YJ7	9606.ENSP00000378328
Q8N6S4	9606.ENSP00000359982
Q6ZTN6	9606.ENSP00000427130
Q8IVF6	9606.ENSP00000382610
A2A2Z9	9606.ENSP00000290943
Q9BXX3	9606.ENSP00000354432
Q9BXX2	9606.ENSP00000351875
P39687	9606.ENSP00000417864
Q92688	9606.ENSP00000345848
O95626	9606.ENSP00000266594
Q9BTT0	9606.ENSP00000463154
A6NCL7	9606.ENSP00000296657
Q69YU3	9606.ENSP00000475189
A5PLL1	9606.ENSP00000339802
P0C6C1	9606.ENSP00000401089
A6QL64	9606.ENSP00000391950
Q8N2N9	9606.ENSP00000481149
Q5JPF3	9606.ENSP00000403302
P54802	9606.ENSP00000225927
Q9UJX6	9606.ENSP00000314004
Q96K21	9606.ENSP00000347498
P10275	9606.ENSP00000363822
P16860	9606.ENSP00000365651
P23582	9606.ENSP00000387159
Q9P2R3	9606.ENSP00000459943
P01160	9606.ENSP00000365663
Q9UNK9	9606.ENSP00000251089
Q5VTE6	9606.ENSP00000355929
P03950	9606.ENSP00000336762
O95841	9606.ENSP00000234816
Q9UKU9	9606.ENSP00000362524
Q9Y5C1	9606.ENSP00000360170
Q9BY76	9606.ENSP00000301455
Q86XS5	9606.ENSP00000335255
Q8NI99	9606.ENSP00000253109
O43827	9606.ENSP00000366015
Q6UXH0	9606.ENSP00000479969
Q15389	9606.ENSP00000428340
O15123	9606.ENSP00000314897
Q9Y264	9606.ENSP00000371347
P01019	9606.ENSP00000355627
E9PGG2	9606.ENSP00000439513
P16157	9606.ENSP00000265709
Q01484	9606.ENSP00000349588
Q12955	9606.ENSP00000280772
Q7Z5J8	9606.ENSP00000427882
Q9NU02	9606.ENSP00000367631
Q8N957	9606.ENSP00000321627
Q8IWZ3	9606.ENSP00000354085
Q9HCJ1	9606.ENSP00000284268
Q8NFD2	9606.ENSP00000306678
Q8NAG6	9606.ENSP00000377971
Q86XL3	9606.ENSP00000350686
Q9BQD7	9606.ENSP00000454380
Q15327	9606.ENSP00000360762
Q9GZV1	9606.ENSP00000306163
Q9Y2G4	9606.ENSP00000430985
Q92527	9606.ENSP00000349612
Q96BM1	9606.ENSP00000286918
Q6ZW76	9606.ENSP00000304586
Q68DC2	9606.ENSP00000297837
A6NFN9	9606.ENSP00000387907
Q9P2S6	9606.ENSP00000385887
Q8IV38	9606.ENSP00000303570
Q9H8Y5	9606.ENSP00000321617
Q9NQW6	9606.ENSP00000265748
Q99873	9606.ENSP00000406162
P55345	9606.ENSP00000380759
O60678	9606.ENSP00000331879
O14744	9606.ENSP00000319169
Q96LA8	9606.ENSP00000359095
Q9NVM4	9606.ENSP00000343103
Q9NR22	9606.ENSP00000372067
Q6P2P2	9606.ENSP00000314396
Q9NW15	9606.ENSP00000292246
Q5XXA6	9606.ENSP00000347454
Q9NQ90	9606.ENSP00000348453
Q9BYT9	9606.ENSP00000256737
Q32M45	9606.ENSP00000376703
Q75V66	9606.ENSP00000315371
Q4KMQ2	9606.ENSP00000409126
Q6IWH7	9606.ENSP00000274979
Q9HCE9	9606.ENSP00000159087
A1A5B4	9606.ENSP00000332788
P16066	9606.ENSP00000357669
P20594	9606.ENSP00000341083
P17342	9606.ENSP00000265074
Q9NXR5	9606.ENSP00000267339
Q6UB99	9606.ENSP00000301030
Q6UB98	9606.ENSP00000262126
Q6P6B7	9606.ENSP00000369436
O75179	9606.ENSP00000351416
Q5VYY1	9606.ENSP00000360998
Q86SG2	9606.ENSP00000321679
Q8TF21	9606.ENSP00000471252
Q9UPS8	9606.ENSP00000365255
Q96NW4	9606.ENSP00000304292
O15084	9606.ENSP00000382379
Q8N6D5	9606.ENSP00000468354
Q8N7Z5	9606.ENSP00000274361
Q8N283	9606.ENSP00000347802
Q7Z713	9606.ENSP00000335147
Q53RE8	9606.ENSP00000377170
Q6AI12	9606.ENSP00000285243
Q8N9B4	9606.ENSP00000377051
Q8N8A2	9606.ENSP00000282272
Q5TZF3	9606.ENSP00000331268
Q86W74	9606.ENSP00000429015
Q8WVL7	9606.ENSP00000440396
Q9ULJ7	9606.ENSP00000425658
Q8NB46	9606.ENSP00000267116
Q8N9V6	9606.ENSP00000353796
Q6NXT1	9606.ENSP00000215941
