PA37438	P31946
PA33753	Q9UGI9
PA144596486	Q9H7C9
PA24365	Q13685
PA33744	Q13131
PA33745	P54646
PA25753	Q9Y312
PA164717502	Q4LEZ3;B2RU19
PA142670464	Q9BTE6;B9A003
PA24369	Q9UDR5;A4D0W4
PA142671724	Q8NHS2
PA28817	P17174
PA128395780	Q9NY61
PA28818	P00505
PA162375213	Q7Z5M8
PA134947443	Q96GS6
PA162385624	Q5VST6
PA162385639	Q6PCB6
PA134933955	Q7Z5R6
PA24891	P31941
PA24892	Q9UH17
PA24893	Q9NRW3
PA24894	Q96AK3;B2CML4
PA24896	Q8IUX4
PA24897	Q9HC16
PA162376694	Q6NTF7;B7TQM9;B7TQM3
PA24373	O95477
PA24377	Q9BZC7
PA24378	Q99758;Q4LE27
PA24379	P78363;Q6AI28
PA24380	Q8WWZ7
PA24381	Q8N139
PA24382	Q8IZY2;B3KUJ3
PA24383	O94911
PA24384	Q8IUA7;Q8IVK1
PA24374	Q8WWZ4
PA29604	Q86UK0
PA134925234	Q86UQ4
PA24387	Q2M3G0
PA24388	Q9NP58
PA24389	O75027
PA24391	Q9NP78;Q6P2Q0
PA24385	Q9NRK6
PA374	O95342
PA24395	Q09428
PA396	O60706
PA24393	Q96J66
PA24396	P33897
PA24401	Q9UBJ2
PA24402	P28288
PA24403	O14678
PA24404	P61221
PA24405	Q8NE71;Q2L6I2
PA24406	Q9UG63
PA24407	Q9NUQ8
PA24408	P45844
PA390	Q9UNQ0
PA24410	Q9H172
PA24411	Q9H222
PA24412	Q9H221
PA25738	Q8N2K0
PA147358673	Q0P651
PA24889	P41238
PA24890	Q9Y235
PA142672597	Q8WW27
PA164714659	Q6UXT9
PA38459	Q96SE0
PA38658	P08910
PA38659	Q8WU67
PA128394705	Q8TB40
PA134891622	Q8WTS1
PA134916787	Q9BV23
PA134994313	Q96I13;B2C6G3
PA134978569	Q9NUJ1
PA38134	Q8NFV4
PA134862303	Q7L211
PA142672659	Q9BUJ0
PA142672660	Q96IU4
PA25266	O95870;B3KNX9
PA25677	Q9H3Z7
PA36144	Q8IZP0;B6VEX4;B6VEX3
PA134977642	Q9NYB9
PA134951642	Q9P2A4
PA25981	Q9NX38
PA24413	P00519;Q59FK4
PA24414	P42684
PA35023	O14639;B3KSG3
PA134940437	Q6H8Q1
PA134962761	O94929
PA134884626	Q9P1F3
PA143485290	Q8N0Z2
PA162387308	Q6UWZ7
PA162387331	Q15018
PA24417	Q12979;Q6ZT60
PA38451	Q9ULW3
PA24418	Q969K4
PA134937734	Q8N961
PA24421	Q13085;Q7Z5W8
PA24422	O00763
PA24423	Q9UKU7
PA134900655	Q9H845
PA24424	P28330
PA24425	P11310
PA24426	P16219
PA24428	P49748
PA26406	Q15027
PA26407	Q15057
PA26408	Q96P50;Q8WTZ1
PA24432	O00400
PA134897893	Q8NC06;B4DJP3
PA134892991	Q5T8D3;Q8NCM9
PA134925459	Q9BR61
PA134884059	Q8N6N7
PA142672648	Q96GR2;B3KNS7
PA142672649	Q5FVE4
PA27158	P07108;B8ZWD1
PA134976754	Q6JQN1
PA142672658	Q709F0
PA24427	P45954
PA134882431	Q96AP0
PA425	Q9BYF1
PA164714838	Q8TDN7
PA164714853	Q5QJU3;B3KVV5
PA33256	Q9NUN7
PA20	P22303
PA139	P12821
PA26488	Q9GZZ6
PA26489	Q15822
PA113	P32297
PA26490	P43681
PA26491	P30532
PA26492	Q15825
PA114	P36544
PA26483	P36544;Q494W8
PA26493	Q9UGM1
PA26487	P02708;Q53SH4
PA115	P17787;Q5SXY3
PA26495	Q05901
PA26496	P30926
PA26494	P11230
PA26497	Q07001
PA26498	Q04844
PA26499	P07510
PA134912489	Q9UKV3;B4DQZ7
PA134909759	Q07912;B3KXJ4
PA162387281	Q6P4H8
PA28451	Q16570;Q5Y7A2;Q5Y7A1;Q7Z3T3;Q4VBN9
PA26139	O00590
PA162383053	P25106
PA35036	Q9NPB9
PA25676	Q5JWF8
PA134914203	O96019
PA24482	O94805
PA24483	Q9Y615
PA24484	Q9Y614
PA24441	P53396
PA26484	P11229;Q53XZ3
PA111	P08172;A4D1Q0;Q6SL56;Q86SJ1
PA112	P20309
PA26485	P08173
PA26486	P08912;Q8IVW0
PA134973312	Q8TDX5
PA38303	Q8WXI4
PA142672657	Q8WYK0
PA165617655	Q9NPJ3
PA24442	P21399
PA34984	O00767
PA24443	Q99798
PA162375318	Q86TX2
PA142672653	P49753
PA142672654	Q8N9L9
PA162375329	Q3I5F7
PA33941	O14734
PA142672656	Q9Y305
PA21	Q15067
PA24444	Q99424
PA24445	O15254
PA134932567	Q9NUZ1;B4DU63
PA24878	P13798
PA31500	O14561
PA24452	Q8NEB7
PA24453	Q96QF7
PA24451	P10323
PA162375402	Q08AH3;B3KP75
PA162375437	Q68CK6
PA24430	Q9NUB1
PA24429	Q9NR19;Q6DKJ3;Q96FY7;Q9H9U4
PA162375338	Q96CM8
PA162375375	Q4G176;Q6P2C7
PA162375178	Q4L235
PA27966	P33121
PA27967	O95573;B3KMA6
PA27968	O60488
PA27969	Q9ULC5
PA27970	Q9UKU0
PA25468	Q08AH1
PA34930	Q53FZ2
PA162375472	P0C7M7
PA162375501	Q6NUN0
PA134905303	Q6P461
PA162375534	Q9H6R3
PA24456	P62736;D2JYH4
PA142672651	Q562R1
PA24457	P60709;Q1KLZ0
PA162375571	P68032;B3KPP5
PA24468	P63261
PA30674	Q01718
PA24469	P63267
PA142672644	Q9H568
PA165392996	Q8TC94
PA24	P12814
PA25	P35609
PA24485	Q08043
PA23	O43707
PA24455	P68133
PA142672646	Q8TDG2
PA142672647	Q8TDY3;Q96LK1
PA24487	P42025
PA24486	P61163
PA24493	P36896
PA134908988	Q8NER5
PA24496	P37023
PA24492	Q04771
PA24497	Q03154
PA25055	P45381;Q6FH48
PA134936640	Q96HD9
PA24499	P07311
PA24500	P14621
PA24505	O14672
PA24506	O75078
PA24507	O43184;A8K6G4
PA24510	Q13444
PA24512	P78536;B2RNB2
PA24513	Q9Y3Q7
PA24514	Q9H013;B3KRF5
PA34	P35348;B0ZBD3
PA33	P35368
PA24597	P25100;B0ZBE0
PA24516	O43506
PA24517	Q9UKJ8
PA24518	Q9P0K1;Q08AL8
PA24519	O75077
PA24523	Q9UKQ2
PA24524	Q9UKF5
PA35	P08913
PA36	P18089
PA37	P18825;Q4W594
PA26382	Q9NZK5
PA24525	Q9UKF2;Q8TBZ7
PA134932610	Q8TC27
PA24526	Q9BZ11
PA162375590	Q96M93
PA162375591	Q8NCV1
PA142672643	Q6DHV7
PA24515	Q99965
PA24532	Q9H2U9;Q86XK9
PA24534	Q13443
PA26404	O75689
PA26405	Q9NPF8
PA24624	O00116
PA24558	Q9BUB4
PA162375592	Q7Z6V5
PA162375609	Q96EY9
PA24503	P00813
PA134861355	Q86TW2
PA134902329	Q7Z695;A4D1T6
PA134963849	Q3MIX3
PA142670463	Q6P093
PA145147526	Q5VUY0
PA145147537	Q5VUY2
PA24560	Q08828;Q8NFM5;Q59FG4
PA24561	Q08462;Q71UM8
PA164741137	O60266
PA24562	Q8NFM4;Q96KY6
PA24563	O95622
PA27	O43306
PA28	P51828
PA29	P40145;Q4F7X0
PA30	O60503
PA162375618	Q96PN6
PA31	P35611
PA24566	P35612
PA24567	Q9UEY8;Q5VU08
PA24535	O15204;B7Z6V5
PA134944476	Q8N7X0;Q9H5S1
PA24570	P07327
PA24571	P00325
PA24572	P00326
PA24573	P08319
PA24576	P28332;Q8IUN7
PA24577	P40394
PA24574	P11766;Q6IRT1
PA162375689	Q0VDE8
PA162386101	Q5T7M4
PA134933118	Q15848;A8K660;B2R773
PA38155	Q9Y2D8;B7ZB07
PA134930409	Q15847;Q5TBU5
PA24579	P55263
PA134898869	Q7Z4H4
PA165393101	C9JUS6
PA24580	P35318
PA162375700	Q6IQ32
PA24582	Q9H2P0
PA134971928	Q9BRR6
PA24368	Q9NRN7
PA24590	P54922
PA142672231	Q3LIE5
PA38	P08588
PA39	P07550
PA24598	P13945;A8KAG8
PA24599	Q16186
PA28086	P22570;Q6GSK2
PA134981389	Q9Y6U3
PA35866	P12235
PA35867	P05141;Q6NVC0
PA35868	P12236;Q6I9V5
PA142670904	Q9H0C2
PA134981312	Q96IZ2
PA28082	P10109
PA24604	Q8IUX7
PA134875401	Q6ZN18
PA162375713	Q96SZ5;B3KXN9
PA142671487	Q6UXC1
PA162375720	Q8WTP8
PA30849	P55197
PA30854	P55198
PA162375772	Q8TED9
PA162375773	Q8N4X5
PA142671347	Q13015;Q6FGF7
PA30852	P42568;Q6MZE2
PA24613	P43652
PA162375733	Q8N556;Q6ZRV0
PA30851	P51825;Q14C88
PA28192	P51816
PA30264	P51826;Q8NAP7
PA142672641	Q9UHB7
PA38404	Q8WV93
PA38294	Q8NB90
PA24612	Q9Y4W6
PA145149871	Q6ULP2
PA134732019	Q5BKT4
PA134936082	Q5I7T1
PA165696819	C9J202
PA164715011	Q8TF27
PA28707	P06280;Q53Y83
PA26412	Q9UPQ3
PA26411	Q99490
PA26413	Q96P47;Q86XV5
PA164715122	Q96P64
PA164715123	A6NIR3
PA29449	P52594
PA29451	O95081;A4D2D6
PA134951291	Q8N302
PA162375851	Q53H12;A4D1U5
PA33244	O95394
PA27693	Q9UL18
PA27694	Q9UKV8;A4FVC0
PA38329	Q9H9G7
PA38330	Q9HCK5;Q9NXV9
PA24625	O95994;Q4JM46
PA162375917	Q8TD06
PA134910893	Q86SQ6
PA134869404	Q96PE1
PA134919579	Q8IWK6
PA25247	O14514
PA25248	O60241
PA25249	O60242
PA134923933	Q6QNK2;Q9NSM3
PA134882616	Q7Z7M1
PA27773	Q14246
PA27774	Q9UHX3;Q9H7M4
PA134956879	Q9BY15
PA134948805	Q86SQ3
PA128394769	Q5T601;A0PJH0
PA134984088	Q8IZF7
PA134918027	Q8IZF5
PA134954617	Q8IZF3
PA134886165	Q8IZF2
PA28901	Q9Y653;B3KQN7;B3KQV4
PA28908	Q8IZP9
PA28936	Q86Y34
PA134885132	Q8IZF6
PA134896363	Q8IZF4
PA134878328	Q86SQ4
PA134982718	Q96K78;Q6ZMH4
PA24626	O00468;Q5XG79
PA134868822	O94910
PA38589	O95490
PA134968284	Q9HAR2
PA134946418	Q9HBW9
PA24627	O00253;C6SUN5
PA24634	Q9BYV1
PA43	P30556;Q53YY0
PA44	P50052
PA142672633	Q5TGY3
PA134874587	Q8N157
PA162376085	Q8IVF2
PA24640	Q09666;Q9BVU3;Q96EC4
PA24639	A9YTQ3
PA24641	P35869
PA25515	O95433
PA134913389	Q719I0
PA27842	Q9NZD4;Q549J4
PA24644	Q9GZX7;Q546Y9;Q7Z599
PA162376104	Q96BJ3
PA164715250	Q9BQI0
PA24646	P55008;Q4V347
PA162376129	O95831
PA162376173	Q96NN9
PA134991331	Q9NVV5
PA24651	O14862
PA35578	Q12904;B4DNK3
PA165617609	Q13155
PA29867	Q16352
PA24653	Q9NZN9;Q6ZZB5
PA24652	O00170
PA24654	O43918
PA142672629	Q9UKB5
PA165585544	C9J069
PA134978308	Q96IF1
PA162402969	Q02040;Q05DA9
PA24674	P14550
PA24676	O60218
PA165617622	C9JRZ8
PA24677	Q04828
PA24678	P52895
PA24679	P42330
PA24680	P17516
PA24681	P51857
PA24662	O43572
PA24663	Q9UKA4
PA24664	Q02952;Q86TJ9
PA134914893	Q86UN6
PA24671	O43687;Q9P0M2;Q2TAJ5
PA24661	Q92667
PA162398639	Q9Y2D5
PA24667	O75969
PA24668	Q5JQC9
PA24669	P24588;Q6PG46
PA24670	Q13023;B2RP22
PA24672	O43823;Q9UG73
PA24673	Q99996;Q6PJH3;Q5GIA7
PA165548224	Q96JD6
PA143485299	Q495B1;Q6PI29
PA134941469	Q9P2G1
PA25484	Q9NQ31
PA142672568	Q9NWT8
PA162376180	Q9H9L7
PA162376195	Q53H80;Q9NW35
PA134908332	Q7Z591;Q64FY1
PA165750356	Q5T1N1
PA24665	Q12802;A8MYJ1
PA134867364	Q9ULX6
PA24684	P31749;B0LPE5;B3KVH4
PA24685	P31751
PA24686	Q9Y243
PA162376210	Q9H8T0
PA134943587	Q96B36
PA142672291	Q8N8R7
PA24692	P00352
PA24693	O94788
PA24694	P47895
PA24695	P30837
PA28393	O75891
PA134928545	Q3SY69;B4DTU7
PA134949717	Q60I27
PA24697	P30838;Q6PKA6
PA24698	P51648
PA24699	P43353
PA24700	P48448
PA24701	P30038
PA47	P20292
PA24704	P49419
PA24705	Q9H2A2
PA24706	P49189
PA28947	P24298
PA28948	Q8TD30
PA24690	P02768
PA24696	P05091
PA24707	P04075
PA24710	P05062
PA24711	P09972
PA24675	P15121
PA175	P84996;Q5JWF2;P63092;O95467
PA134987771	Q9BV10
PA162376235	Q9NP73
PA142672628	Q96F25
PA165696816	Q6GMV1
PA134979319	Q9BT22
PA134956849	Q9H553
PA134897460	Q92685
PA134977026	Q9Y673
PA134925619	Q9Y672
PA134942124	Q9BVK2
PA134887582	Q9H6U8
PA134906996	Q13686;Q5XKL0
PA143485292	Q6NS38
PA143485293	Q96Q83
PA143485294	Q9NXW9
PA142671230	Q6P6C2
PA143485295	Q3KRA9
PA134905040	Q9BT30
PA143485296	Q96BT7
PA162386433	Q6UXT8
PA162386448	Q6UX46
PA162406334	Q6ZNB7
PA24719	Q9UM73
PA24720	Q8N6M5
PA24721	Q8TCU4
PA134891785	Q96QP1
PA134916108	Q86TB3
PA134921552	Q96L96
PA28648	P55789
PA24732	Q96Q42;A8K4R4
PA29702	P35858;Q8TAY0
PA162376294	Q15699
PA24754	O95076
PA24755	Q9H161
PA24757	Q9UHK6;Q6VRU3
PA24758	Q9NP70;Q546D7
PA24759	P02760
PA32926	P19021
PA24766	Q99217
PA24767	Q99218
PA145148904	Q5JTC6
PA145148898	Q8N7J2
PA162385791	Q8N944
PA162376350	Q6DCA0
PA24768	Q9UKV5
PA142672625	Q86WK6
PA142672626	Q86SJ2
PA142672627	Q86WK7
PA24770	Q16671
PA24772	Q9Y4X0
PA162376371	Q8IY45
PA134962814	Q9BXJ7
PA24774	Q8IY63
PA24775	Q9Y2J4
PA24773	Q4VCS5
PA34451	Q9H4A4
PA24776	P23109
PA24777	Q01433
PA24778	Q01432
PA27790	Q07075
PA24779	P49418
PA38537	P28838
PA24815	P15144;Q59E93
PA25978	Q8N6M6
PA162376307	Q9C0C7
PA30458	P30533
PA162376390	Q6UX39
PA24783	P04745
PA24785	P19961
PA24784	P04746
PA162376413	Q400G9;A4D202
PA162376414	Q86W34
PA134884324	Q8IZ07;Q3ZTS7;Q9Y5A3
PA142672616	Q86YJ7;B3KS27
PA142672617	Q8N6S4
PA142672618	Q6ZTN6
PA134889624	Q8IVF6
PA134974407	Q9BXX3
PA134980028	Q9BXX2
PA24811	P39687
PA24812	Q92688
PA24813	O43423
PA24814	O95626
PA134880751	Q9BTT0
PA164715326	A6NCL7
PA162376563	Q69YU3
PA162376576	A5PLL1
PA31437	P54802
PA134884359	Q9UJX6
PA134906967	Q96K21
PA57	P10275;Q9NUA2
PA31734	P16860
PA31735	P23582
PA134984226	Q9P2R3;B3KPZ0
PA256	P01160
PA134982299	Q9UNK9
PA142672620	Q5VTE6;Q96AL9
PA24790	P03950
PA24794	O95841
PA24795	Q9UKU9
PA24796	Q9Y5C1
PA24797	Q9BY76
PA134944139	Q86XS5
PA134950669	Q8NI99
PA134959516	O43827
PA24791	Q15389
PA24792	O15123
PA24793	Q9Y264
PA42	P01019;B0ZBE2;B2R5S1
PA24798	P16157;B3KX39
PA24799	Q01484
PA24800	Q12955
PA145149868	Q7Z5J8;Q70AK8
PA24806	Q9NU02
PA142672624	Q8N957
PA134947858	Q8IWZ3;Q7Z586
PA162376432	Q8IWZ3
PA24801	Q9HCJ1
PA134872551	Q8NFD2
PA162376509	Q8NAG6
PA162376532	Q86XL3
PA162387266	Q9BQD7
PA134882768	Q15327
PA24804	Q9GZV1
PA24807	Q9Y2G4
PA38591	Q92527
PA134971966	Q96BM1
PA143485303	Q6ZW76
PA134931829	Q68DC2;B3KXP1
PA134863258	A6NFN9
PA134925670	Q9P2S6
PA134893861	Q8IV38
PA143485305	Q9H8Y5
PA24809	Q9NQW6
PA29461	Q99873
PA29460	P55345
PA29462	O60678;Q8WUV3
PA35794	O14744
PA134992775	Q96LA8
PA143485581	Q9NVM4
PA134903406	Q9NR22;Q59GT2
PA165664476	Q6P2P2
PA164715433	Q9NW15
PA164715378	Q5XXA6;Q9NW72
PA25504	Q9NQ90
PA25489	Q9BYT9
PA164715582	Q32M45
PA164715641	Q75V66
PA164715690	Q4KMQ2;B4DZA5;B3KX12
PA32980	Q6IWH7
PA164715790	Q9HCE9
PA164715791	A1A5B4
PA31736	P16066
PA257	P20594
PA31737	P17342;Q60I31
PA134911073	Q9NXR5
PA134861925	Q6UB99;Q8IVY9
PA134899860	Q6UB98;Q6PG48
PA134916467	Q6P6B7
PA134943225	O75179
PA134954600	Q5VYY1
PA134960626	Q86SG2
PA134937612	Q8TF21
PA134926710	Q9UPS8
PA134893411	Q96NW4
PA134880251	O15084
PA134948058	Q8N6D5
PA134879237	Q8N7Z5
PA134896362	Q8N283
PA142672604	Q7Z713
PA142672606	Q53RE8
PA142672607	Q6AI12;A8IK34
PA142672609	Q8N9B4
PA142672611	Q8N8A2
PA142672612	Q5TZF3
PA142672613	Q86W74
PA142672615	Q8WVL7
PA128394695	Q9ULJ7;Q8TB46
PA143485302	Q8NB46;B3KWN0
PA144596517	Q8N9V6
PA145149843	Q6NXT1
PA145149863	Q3KP44
PA162376674	Q9BZ19
PA24803	Q9H9E1
PA134958476	Q92625;Q05CP0
PA128394692	Q7Z6G8
PA143485304	Q8N8V4
PA35026	P01008
PA134956382	Q9H6X2;Q53FL1;Q96EC6
PA128394752	P58335
PA24824	Q9UJ72
PA24825	P50995;Q5T0G8
PA24826	P27216
PA24823	P04083;Q5TZZ9
PA24827	P07355
PA24831	P12429
PA24832	P09525;Q6LES2
PA24833	P08758
PA24834	P08133
PA24835	P20073;B2R657
PA134881914	P13928
PA24836	P13928
PA24837	O76027
PA24838	P28039
PA24416	P19801
PA24839	O75106
PA24840	Q16853
PA236	P21397;Q53YE7
PA237	P27338
PA24842	Q06278
PA37956	O60641
PA165663153	Q63HQ0
PA24844	Q10567
PA24845	O43747;Q8IY97
PA24846	O75843
PA24848	Q9BXS5;Q59EK3;B3KNH5
PA24849	Q9Y6Q5
PA24850	P61966
PA24851	P56377;Q549M9
PA24852	O95782
PA24853	O94973
PA36459	P05549
PA24854	P63010;Q96EL6
PA36460	Q92481
PA36461	Q92754
PA37984	Q7Z6R9
PA134992283	Q6VUC0
PA24855	Q96CW1
PA24856	P53680
PA24857	O00203
PA24858	Q13367
PA24859	O14617;Q6PK82
PA24860	Q9Y2T2
PA24861	P53677
PA24862	Q92572
PA24863	P59780
PA142672239	Q96N21
PA31833	P50583
PA24864	Q9Y6B7
PA24865	Q9UPM8
PA24866	O00189
PA24867	Q9Y587
PA164723216	Q9H0R1
PA25744	Q9NUS5
PA162392841	O43299
PA24868	O14727
PA24869	Q02410
PA24870	Q99767;Q59G28
PA24872	O96018
PA24873	O00213
PA24874	Q92870;B4DJ88;B4E2F2
PA134958636	O95704;Q59EH2;Q96DX9
PA24912	Q92624
PA134938672	Q9UM13
PA24787	Q9NYG5
PA134949652	Q9BS18;A8K3Z6
PA143485346	P60006
PA165548225	Q96DE5;C5H3H2
PA134907013	Q9H1A4
PA134894250	Q9UJX5
PA24788	Q9UJX4
PA134901290	Q9UJX3;Q4KMX6;Q69YV3
PA24876	Q8J025
PA145149831	Q8NCL9
PA134906843	O95996
PA24875	P25054;Q4LE70
PA134984493	Q9ULZ1
PA201059	P27695;Q5TZP7
PA38474	Q9UBZ4
PA142672599	Q96BI3
PA142672600	Q8WW43
PA24881	Q9BZZ5
PA162376687	P35414;B3KQN4;B2RDH3
PA143485306	Q96LR9;A0AVN6
PA164715842	Q8IW19
PA24884	P51693
PA24885	Q06481;B4E3I5
PA25745	Q9HDC9
PA49	P02647
PA24886	P02652
PA24888	Q6Q788
PA30432	P08519
PA50	P04114;Q7Z7Q0;Q59HB3
PA51	P02654
PA52	P02655
PA53	P02656;A3KPE2
PA54	P55056
PA24900	P05090
PA55	P02649
PA24902	Q13790
PA24903	P02749
PA24904	O14791;B1AH95;Q2KHQ6
PA24905	Q9BQE5
PA24906	O95236
PA24907	Q9BPW4
PA24908	Q9BWW9
PA24909	Q9BWW8;B3KTP4
PA38370	O95445
PA142672396	Q8IVJ8
PA162376919	Q53RT3
PA33434	Q13794
PA24915	Q7Z2E3
PA24914	P07741
PA134977417	Q8IXF9
PA29902	A6NM10;Q8IUS6
PA24919	Q96PS8
PA134949682	Q8NBQ7
PA24918	P29972
PA24920	P41181
PA24921	Q92482
PA24922	P55087
PA24923	P55064
PA24924	Q13520
PA24925	O14520
PA24926	O94778
PA24927	O43315
PA134869224	O60306
PA134890660	Q5H913
PA134975272	Q3SXY8
PA134904608	Q9Y2Y0
PA162376894	Q15041
PA134879338	Q66PJ3
PA134866669	Q8N6S5;B3KMZ5
PA24928	P10398
PA134964154	Q6UW56
PA164715867	Q96P48
PA164715938	Q8WZ64
PA164715983	Q8WWN8;Q05CH1;Q9H7C1
PA40	P25098
PA41	P35626;Q8N433
PA24997	Q92747
PA24998	O15143;A4D275
PA142670540	Q8IWT0;A8K0B5
PA24930	Q7LC44
PA134985474	O15033
PA24934	P84077
PA24936	P61204
PA24937	P18085
PA24941	P84085;A4D0Z3
PA24942	P62330
PA164741246	Q8N6T3
PA162376868	Q8N6H7
PA35024	Q9NP61
PA134920621	P53367;B4E273
PA134879398	P53365
PA24946	Q13795;B3KTR4
PA106	Q8N726;P42771
PA165617645	A5YM69
PA134939297	Q8N4T4
PA142672586	Q9HCE6
PA142672588	A6NJG6
PA24947	P05089
PA24948	P78540
PA162376869	Q9NWB6
PA165660135	A1IGU5
PA165663186	Q9NXL2
PA24966	Q92888
PA24972	Q92974
PA24973	Q9NR81
PA24974	Q9NR80
PA24975	Q12774
PA24976	Q15052;Q8N4Q3
PA24977	Q14155
PA164742175	Q7Z628
PA24978	O43307
PA24967	O15013
PA24968	O15085
PA24969	Q9NZN5
PA24970	O94989
PA24971	Q5VV41;B3KTS4
PA134884537	Q96PE2
PA128394630	Q6ZSZ5
PA134887028	Q8IW93
PA134870688	Q8NDY3
PA134903576	Q9NX46
PA128394641	Q5SW96;B3KR97
PA35960	O14497
PA134909463	Q8NFD5
PA24982	Q9Y4X5
PA162379716	Q8N7S6
PA24983	O95376;Q6IBL8
PA27485	Q99856
PA134896829	Q8IVW6
PA134928507	A6NKF2
PA34249	P29374;Q05CG0
PA134940494	Q4LE39
PA134937822	Q03989
PA134943193	Q14865
PA134916396	Q68CP9
PA143485591	Q9Y4B4;B3KV54
PA24682	O43488
PA24683	O95154
PA164715300	Q8NHP1
PA134871031	Q8N8L6
PA134974627	Q969Q4
PA134971739	Q8N4G2
PA134960964	Q9NXU5
PA142672583	Q0P5N6
PA165431478	Q8IVW1
PA24985	P40616
PA24986	P36404;Q53YD8
PA24987	P36405
PA24988	P40617
PA24991	P56559
PA24938	P49703
PA24989	Q9Y689
PA134979161	Q96KC2;B0YIW9
PA134964408	A6NH57
PA134931939	Q9H0F7
PA134905021	Q96BM9
PA134959531	Q9NVJ2
PA134987258	Q6T311
PA25046	P04424
PA162376895	Q8N2F6
PA134885894	Q5T9G4
PA134882659	Q9NVT9
PA134943829	Q8NEN0
PA134917281	Q5W041
PA134877125	Q5T2S8
PA134926941	Q96C12
PA134884604	Q6NXE6
PA134901380	Q9H6L4
PA134984953	Q8IUR7
PA142672581	Q7Z3E5
PA164717053	Q6PIY5
PA134903060	Q5T2E6
PA134941886	Q86TY3
PA162376896	P0C7Q2
PA134870747	Q9H993
PA128394658	Q9P291
PA134985862	Q7L311
PA134977725	Q9UH62
PA134910322	Q6P1M9
PA134869551	Q7L4S7
PA24995	Q9HBZ2;Q7Z3A3;Q86TN1
PA24994	P27540
PA143485599	Q86WX3
PA134899463	Q9NZ32
PA165478498	P56211
PA24488	P61160
PA142672645	Q9P1U1
PA165617588	Q9C0K3
PA24489	P61158
PA134991012	Q9BPX5
PA24490	Q9H9F9
PA134984466	Q9GZN1
PA24491	Q9H981
PA24999	O15144;Q53R19
PA25000	O15145
PA25002	P59998
PA25003	O15511
PA142672274	Q7Z6K5
PA59	P49407
PA60	P32121
PA25004	P36575
PA134938267	Q8N5I2
PA134945141	Q8TBH0
PA134925765	Q96B67
PA134895338	Q8NCT1;A8K2F6
PA34929	P10523
PA25005	P15289;Q496J9
PA25006	P15848;A8K4A0
PA25008	P51689
PA25012	P54793
PA143485307	Q96EG1
PA143485308	Q5FYA8
PA143485309	Q5FYB1
PA143485310	Q5FYB0
PA143485311	Q6UWY0
PA25010	P51690
PA25017	Q5T4W7
PA134935092	Q9H2C2
PA25018	O00192
PA25024	Q96QS3
PA17	P18440;Q400J6
PA18	P11245;A4Z6T7
PA134896392	Q9HBK9
PA134977109	P0C7U1;Q9NR71
PA35025	Q13510;A8K0B6;Q53H01
PA164716055	Q9ULH1
PA164716118	O43150
PA164716179	Q8TDY4
PA142672248	Q495Z4
PA25028	Q8WXI3
PA25029	Q8WXH4;Q7Z670
PA134937084	Q8WXK4
PA134992129	Q8WXK3
PA134983884	A6NK59
