ANTIMONY+POTASSIUM+TARTRATE	C11340
DIMETHOATE	C14326
Morpholine	C14452
ETHEPHON	C18399
BENZTROPINE	C06846
TRIS(2,3-DIBROMO-1-PROPYL)+PHOSPHATE	C19182
CYAZOFAMID	C18573
FLUCYTHRINATE	C14524
Pyrithione+zinc	C13427
CREATINE	C00300
Lead,+elemental	C06696
ISOPROPANOL	C01845
4,6-DINITRO-O-CRESOL	C18653
ANTHRANILIC+ACID	C00108
THEOPHYLLINE	C07130
FENOXAPROP-ETHYL	C11024
C.I.+BASIC+RED+2	C19919
CALCIUM+PROPIONATE	C18379
ACENAPHTHENE	C19312
DECABROMOBIPHENYL+ETHER	C19383
ETHYL+TELLURAC	C19570
2-CHLOROPHENOL	C14219
ALLYL+ISOVALERATE	C19318
4-AMINOBENZOIC+ACID	C00568
4,4'-THIOBISBENZENAMINE	C19303
OLEANDRIN	C19987
TETRAETHYL+PYROPHOSPHATE	C19017
BROMODICHLOROMETHANE	C14708
AMARANTH	C14760
Dimethyl+sulfide	C00580
PHENYLPROPANOLAMINE	C07911
TYRAMINE	C00483
Methanesulfonic+acid	C11145
ETHOTOIN	C07839
1(2H)-PHTHALAZINONE	C14473
PROPOFOL	C07523
3-METHYL-1-PHENYL-2-PYRAZOLIN-5-ONE	C13008
AMINOCARB	C11071
CEPHALEXIN	C06895
CYPRODINIL	C10914
CHLOROPHACINONE	C18514
ALDRIN	C07552
1,1-Difluoroethene	C19547
OXADIAZON	C18496
HEXACHLOROCYCLOHEXANES	C18738
DIAMYL+PHTHALATE	C14300
DIALLYL+DISULFIDE	C08369
SUCCINIC+ANHYDRIDE	C19524
NITROGLYCERIN	C07455
ACETOCHLOR	C10925
DOXEPIN	C06971
2-NAPHTHYLAMINE,+N-PHENYL-	C14694
2-HYDROXY-4-METHOXYBENZOPHENONE	C14285
ANDROSTENEDIONE	C00280
BLASTICIDIN-S	C02010
2-Amino-3,4-dimethylimidazo[4,5-f]quinoline	C19254
PARATHION	C06604
2,4,5-TRIMETHYLANILINE	C19539
Cyclohexanol	C00854
CHLOROPROCAINE	C07877
2-Methylimidazole	C19261
DIHYDROSAFROLE	C19229
PROPANIL	C14229
NICOTINAMIDE	C00153
FLUORANTHENE	C19425
2-BROMO-2-CHLORO-1,1,1-TRIFLUOROETHANE	C07515
CALCIUM+FORMATE	C18586
GALACTARIC+ACID	C00879
ESTRADIOL+MUSTARD	C19493
CARISOPRODOL	C07927
CUPRIC+GLUCONATE	C12278
LINEZOLID	C08146
VITAMIN+A	C00473
MECLIZINE	C07116
BUTRALIN	C18582
2,4,6-TRINITROTOLUENE	C16391
Sulfur+dioxide	C09306
VINYL+TOLUENE	C19549
2,3-DIBROMOPROPANOL	C19224
MYRISTICIN	C10480
METHYLEUGENOL	C10454
DEXON	C18937
5-Nitroacenaphthene	C19269
FAMOXADONE	C18591
3-Aminophenol	C05058
4-METHYLBENZALDEHYDE	C06758
DIBENZ(C,H)ACRIDINE	C20122
Mancozeb	C15225
2,4-DINITROANILINE	C14713
TIGLIC+ACID	C08279
3-HYDROXY-2-NAPHTHALENECARBOXYLIC+ACID	C16212
COCAINE	C01416
Maneb	C15231
MONENSIN	C06693
ALL-TRANS-RETINOIC+ACID	C00777
BENSULIDE	C18703
IMIDODICARBONIC+DIAMIDE	C06555
TERFENADINE	C07463
CYANOPHOS	C18397
17-METHYLTESTOSTERONE	C07198
2,6-DIETHYLANILINE	C11001
4-CHLORO-1,2-BENZENEDIAMINE	C19207
3-CHLORO-2-METHYL-1-PROPENE	C19363
4-NITROTOLUENE	C14394
OXYDISULFOTON	C19009
P-CHLOROBENZOIC+ACID	C02370
TEFLON	C19507
OMEPRAZOLE	C07324
TERBUFOS	C18693
BETA-PHELLANDRENE	C19818
2,4,5-T	C07100
BUTOXYCARBOXIM	C18646
NIZATIDINE	C07270
PHENTERMINE	C07438
ENDRIN	C18124
BUSULFAN	C06862
2-(1-METHYLPROPYL)PHENOL	C14138
4-HYDROXYBENZOIC+ACID	C00156
QUERCETIN	C00389
PIPERONYL+SULFOXIDE	C19147
HC+BLUE+#2	C19429
CARBAZOLE	C08060
Thiopental	C07521
FUROSEMIDE	C07017
ETHCHLORVYNOL	C07833
SERTRALINE	C07246
TAUROCHOLIC+ACID	C05122
AMPHETAMINE	C07514
METHYL+METHANESULFONATE	C19181
FURFURYL+ALCOHOL	C20441
TUNGSTEN,+ELEMENTAL	C00753
DIETHYLPROPION	C06954
3,4,5-TRIMETHOXYPHENETHYLAMINE	C06546
Meloxicam	C08169
BUPROFEZIN	C10912
PREDNISONE	C07370
POTASSIUM+SULFATE	C13192
4-AMINO-2-NITROPHENOL	C19323
2,3,5,6-TETRACHLOROPHENOL	C15505
PEMOLINE	C07899
BENZO(GHI)PERYLENE	C14318
ANISOLE	C01403
MEDROXYPROGESTERONE	C07119
4-NITROSODIPHENYLAMINE	C19479
MUSK+AMBRETTE	C19461
FURYLFURAMIDE	C19558
MAGNOLOL	C10651
LINURON	C11007
LEVONORGESTREL	C08149
HYDROXYLAMINE	C00192
ANABASINE	C11357
Aniline	C00292
HEPTACHLOR	C14185
Pentobarbital	C07422
ETHOPROP	C18687
Thidiazuron	C18812
FEXOFENADINE	C06999
STERCULIC+ACID	C08366
SODIUM+FLUORIDE	C08142
d-METHAMPHETAMINE	C07164
METHYL+ISOTHIOCYANATE	C18587
5-METHOXYPSORALEN	C01557
STREPTOMYCIN	C00413
SIROLIMUS	C07909
BENZ(C)ACRIDINE	C19338
Maitotoxin	C16854
MGK+264	C18795
BROMOCHLOROACETONITRILE	C19353
CLOFIBRATE	C06916
ACETAMINOPHEN	C06804
ISOAMYL+NITRITE	C07457
1,8-Dinitropyrene	C14423
MEPIQUAT+CHLORIDE	C18475
1,4-DICHLORO-TRANS-2-BUTENE	C19398
MEFLOQUINE	C07633
ETHOFUMESATE	C18829
RICIN	C01362
CITRIC+ACID	C00158
MOLINATE	C11086
QUIZALOFOP-ETHYL	C18530
BIS(2-HYDROXYETHYL)DITHIOCARBAMIC+ACID,+POTASSIUM+SALT	C19511
2,5-DICHLOROPHENOL	C06602
LABETALOL	C07063
1-DECANOL	C01633
2,3,6-TRICHLOROPHENYLACETIC+ACID	C19114
2,4,6-TRICHLOROPHENOL	C07098
POTASSIUM+CYANATE	C19067
CLINDAMYCIN	C06914
CHOLECALCIFEROL	C05443
4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone	C16453
TRIBENURON-METHYL	C10962
BISPHENOL+A	C13624
PYRETHRIN+I	C07594
CICUTOXIN	C08402
LINALOOL	C03985
AMSACRINE	C01553
CARBONYL+SULFIDE	C07331
DIFLUBENZURON	C14427
BROMOPHOS-ETHYL	C18966
DIMETHIPIN	C18719
AFLATOXIN+G2	C16754
C.I.+SOLVENT+ORANGE+7	C19526
BENZIDINE	C16444
ANILINE+YELLOW	C19187
EPROSARTAN	C07467
DOXORUBICIN	C01661
PHENYLEPHRINE	C07441
DDE	C04596
KASUGAMYCIN	C17968
1,4-DICHLOROBENZENE	C07092
CYMOXYANIL	C18498
CYCLOTHIAZIDE	C12685
DOMOIC+ACID	C13732
TEBUTHIURON	C18436
TEBUFENOZIDE	C18526
XYLENES	C19551
HEXACHLOROACETONE	C19122
METHYL+GLYOXAL	C00546
CHLORIMURON-ETHYL	C10943
2-AMINOETHANOL	C00189
BETA-CADINENE	C09625
OMETHOATE	C18662
AZADIRACHTIN	C08748;C11047
FLUOROURACIL	C07649
TETRACYCLINE	C06570
LOMUSTINE	C07079
HYDROMORPHONE	C07042
DACARBAZINE	C06936
CARBOPHENOTHION	C18968
1,2-DICHLOROBENZENE	C14328
BENZOYL+PEROXIDE	C19346
CHLORANIL	C18933
PHORATE	C18690
Fluticasone	C07815
METHANE	C01438
YESSOTOXIN	C16872
TRIPHENYLTIN+HYDROXIDE	C18729
POLYETHYLENE	C19503
1,1,2,2-TETRACHLOROETHANE	C19534
1-CHLORO-2-METHYL-1-PROPENE	C19206
1,6-DIMETHYLNAPHTHALENE	C14217
4,4'-BIS(DIMETHYLAMINO)BENZOPHENONE	C19266
BUTYL+P-AMINOBENZOATE	C07875
PSEUDOEPHEDRINE	C02765
OXANDROLONE	C07346
MYRICETIN	C10107
VERNOLATE	C19097
4-HYDROXYBUTANOIC+ACID	C00989
CROTONIC+ACID	C01771
METHOXYFLURANE	C07517
DIBROMOACETONITRILE	C19396
Methylphenobarbital	C07829
IOPANOIC+ACID	C08217
TANNIC+ACID	C13452
SODIUM+ARSENITE	C11906
INDIUM+PHOSPHIDE	C19179
1,3-DICHLORO-2-PROPANOL	C14399
ALDICARB	C11015
ISOPROPYL+MERCAPTAN	C08391
2-PENTANONE	C01949
DIBENZOFURAN	C07729
PROSTAGLANDIN+F2ALPHA	C00639
2-CHLORO-1,3-BUTADIENE	C19208
IODOFORM	C13383
PHENAZOPYRIDINE	C07429
PHENOTHRIN	C14387
1,2-DINITROBENZENE	C14702
3,3'-DICHLOROBENZIDINE	C19225
ERUCIC+ACID	C08316
Ziprasidone	C07568
4-HYDROXYBIPHENYL	C14224
BENZONITRILE	C09814
IPODATE	C18093
METRONIDAZOLE	C07203
ASBESTOS	C16442
THALIDOMIDE	C07910
POLYVINYL+CHLORIDE	C19508
ASPHALT	C19200
BROMOFORM	C14707
1,2-DIETHYLHYDRAZINE	C19227
ALLYL+CHLORIDE	C19316
Acrylic+acid	C00511
PIRIMICARB	C11079
CLOTHIANIDIN	C18508
LINALYL+ACETATE	C09863
DITHIANON	C18574
ETHOATE-METHYL	C18983
PENTACHLOROETHANE	C19496
FIPRONIL	C11099
DELTAMETHRIN	C10985
Carbon+monoxide	C00237
CYANOCOBALAMIN	C02823
2,4-D	C03664
SELENIC+ACID	C05697
THIFENSULFURON-METHYL	C10957
THIO-TEPA	C07641
HEXACHLOROBENZENE	C11042
THIRAM	C11160
2-PHENYL-1,3-PROPANEDIOL+DICARBAMATE	C07501
TOLUENE	C01455
3-CHLORO-4-(DICHLOROMETHYL)-5-HYDROXY-2(5H)-FURANONE	C19205
O-METHYL+RED	C19459
N-METHYLFORMAMIDE	C11489
NIFURTHIAZOLE	C19240
METHYLDOPA	C07194
TOLMETIN	C07149
PYRANTEL	C07409
4-OCTYLPHENOL	C14132
LEUPROLIDE	C07612
(L)-EPHEDRINE	C01575
NITHIAZIDE	C19468
DIMETHYL+SULFATE	C19177
CALOTROPIN	C08855
SODIUM+CHLORATE	C18765
Tefluthrin	C10992
CALCIUM+CHLORIDE	C08130
DIETHYLSTILBESTROL	C07620
1-AZIRIDINEETHANOL	C19332
BENZOIC+ACID	C00180
GLUCONOLACTONE	C00198
CHROMIUM,+ELEMENTAL	C06268
1-NITROPYRENE	C14421
PYRETHRUM	C14941
AMANTADINE	C06818
Propiolic+acid	C00804
TRIMEPRAZINE	C07172
2,6-XYLIDINE	C11004
FLOCOUMAFEN	C18696
RINDERINE	C10378
OXYMETAZOLINE	C07363
CHLORFENAPYR	C18455
Glutaraldehyde	C12518
FLUORENE	C07715
DEXCHLORPHENIRAMINE	C06946
QUINOLINIC+ACID	C03722
ISOBUTYL+ALCOHOL	C14710
BROMOXYNIL	C04178
FENTHION	C14420
C.I.+DISPERSE+YELLOW+3	C19412
GLUCAGON	C01501
SALICYLALDEHYDE	C06202
THIACLOPRID	C18512
PONCEAU+3R	C19293
o-Phenylphenol	C02499
3-NITROPROPIONIC+ACID	C05669
7H-DIBENZO(C,G)CARBAZOLE	C19221
MENADIONE	C05377
ERYTHROMYCIN+ETHYL+SUCCINATE	C12796
COUMAPHOS	C11025
CARVEDILOL	C06875
PENTACHLORONITROBENZENE	C14338
METHYLAMINE	C00218
4-CHLORO-O-TOLUIDINE	C19169
NITRIC+ACID	C00244
CARRAGEENAN+GUM	C08818
2,4-DINITRO-6-CYCLOHEXYLPHENOL	C19038
PHOSFON	C18708
PILOCARPINE	C07474
TRICLOPYR	C11032
TEPA	C19543
DIMETHAZONE	C11095
ALPRAZOLAM	C06817
BENZAL+CHLORIDE	C19165
ECHIMIDINE	C10299
MENAZON	C19006
3,5-XYLYL+METHYLCARBAMATE	C18771
HYDROQUINONE	C00530
METHYL+SALICYLATE	C12305
OUABAIN	C01443
CYCLOHEXANONE	C00414
CEPHALORIDINE	C11754
DIBENZO(A,E)PYRENE	C19393
CASSAINE	C08670
NAPROAMIDE	C18868
TEMEPHOS	C18809
PIPERAZINE	C07973
CYSTEINE	C00097
ISONIAZID	C07054
SACCHARIN	C12283
1,3-DIOXOLAN-2-ONE	C20363
(Z)-9-OCTADECENAMIDE	C19670
TRIHEXYPHENIDYL	C07171
BRONOPOL	C13034
SODIUM+HYDROXIDE	C12569
BROMACIL	C10911
CONVALLATOXIN	C08858
CYCLOATE	C18780
QUERCITRIN	C01750
CROMOLYN	C06928
GLUCOSAMINE	C00329
ETHIONAMIDE	C07665
SEMICARBAZIDE+HYDROCHLORIDE	C19521
PHENCYCLIDINE	C07575
ETHYLENE+SULFIDE	C19419
DIMETHYL+ETHER	C11144
ZINC+OXIDE	C12570
POLYVINYL+ACETATE	C12282
HYPERFORIN	C07608
ACETIC+ACID	C00033
TRIPHENYL+PHOSPHATE	C14235
HYALURONIC+ACID	C00518
CARBON+BLACK	C19202
BIS(2-BUTOXYETHYL)+PHTHALATE	C15438
TRIMETHOBENZAMIDE	C07178
C.I.+ACID+ORANGE+3	C19370
TIMOLOL	C07141
TRIS(2-CHLOROETHYL)+PHOSPHATE	C14445
CHLOROTHIAZIDE	C07461
BENZOYL+CHLORIDE	C19168
ACETAMIPRID	C18507
MONURON	C19087
BENZYLADENINE	C11263
STAVUDINE	C07312
AFLATOXIN+B2	C16753
2,4-DICHLOROPHENOL	C02625
IODOFENPHOS	C19002
ALPHA-METHYLBENZYL+ALCOHOL	C07112
INDOXACARB	C18569
CALCIUM+BIS(DIHYDROGEN+PHOSPHATE)	C13556
PANTOPRAZOLE	C11806
QUINAPRIL+HYDROCHLORIDE	C07340
ACROLEIN	C01471
N-BUTYL+ACETATE	C12304
URSOLIC+ACID	C08988
TERRAZOLE	C18460
CARFENTRAZONE-ETHYL	C11094
2,4-DIBROMOPHENOL	C14521
P-AMINOSALICYLIC+ACID	C02518
1,3-DIAMINO-2-THIOUREA	C11214
VANILLIN	C00755
CINEOLE	C09844
Norepinephrine	C00547
TETRAHYDROZOLINE	C07912
1,2-PROPYLENE+OXIDE	C15508
3-PHENYL-2-PROPEN-1-OL	C02394
2-AMINO-9H-PYRIDO(2,3-b)INDOLE+(A-alpha-C)	C19186
CYHALOTHRIN	C10983
CANTHARIDINE	C16778
Methyl+methacrylate	C14527
CLOPYRALID	C18779
BENTAZON	C10965
3-CHLORO-1,2-DIHYDROXYPROPANE	C18676
O-PHENYLENEDIAMINE	C14402
BENZOPHENONE	C06354
KEPONE	C01792
BIFENAZATE	C18589
PHENOXYBENZAMINE	C07435
CLORANSULAM-METHYL	C10907
MIREX	C14184
1-CHLORO-4-NITROBENZENE	C14456
GLYPHOSATE+ISOPROPYLAMINE+SALT	C18564
ETHION	C18725
C.I.+VAT+YELLOW+4	C19545
GUANETHIDINE	C07036
AMINOPYRINE	C07539
FOSPHENYTOIN	C07840
LEVETIRACETAM	C07841
ERGOSTEROL	C01694
4-FLUOROANILINE	C11014
DESETHYL+ATRAZINE	C06559
FLUOMETURON	C18853
PROFENOFOS	C18404
HYDROCORTISONE	C00735
TETRADIFON	C18451
CHLOROXYLENOL	C14715
(L)-AZETIDINE-2-CARBOXYLIC+ACID	C08267
TIAGABINE	C07503
3,4-DIHYDROCOUMARIN	C02274
DAMINOZIDE	C10996
TRIADIMEFON	C11156
CHLOROBENZILATE	C14574
AZASPIRACID	C16907
ACYCLOVIR	C06810
POLYMETHYLENE+POLYPHENYL+ISOCYANATE	C19571
LSD	C07542
TRIMETREXATE	C11154
(HYDROXYMETHYL)UREA	C06384
AMPHOTERICIN+B	C06573
RESERPINE	C06539
1,7-HEPTANEDICARBOXYLIC+ACID	C08261
EPINEPHRINE	C00788
DIAZINON	C14324
ASTAXANTHINE	C08580
HEXAZINONE	C10926
TRICHLORMETHIAZIDE	C07767
SULFUR+ELEMENTAL	C00087
DIMETHYL+TETRACHLOROTEREPHTHALATE	C14744
ETHYL+METHANESULFONATE	C19239
C.I.+ORANGE+G	C19372
NITROFURAZONE	C08042
TETRODOTOXIN	C11692
C.I.+DIRECT+BLUE+15	C19213
N-NITROSOMETHYLVINYLAMINE	C19282
DIHYDROXYACETONE	C00184
Botulinum+toxins	C07946
CIS-1,3-DICHLOROPROPENE	C06610
1,2-EPOXYHEXADECANE	C14499
2,4-HEXADIENAL	C19249
N-ETHYLANILINE	C14455
SULFAMETHIZOLE	C08050
PROMAZINE	C07379
4-NITRO-1,2-DIAMINOBENZENE	C19384
1,1'-Thiobisethane	C02272
DAUNORUBICIN	C01907
ACACIA	C08822
DIDECYL+DIMETHYL+AMMONIUM+CHLORIDE	C15436
VINYL+BROMIDE	C19184
CHLORFENSON	C19024
SPIRAMYCIN	C01754
PYRROLE	C19907
ZINGERONE	C17497
TRICLOSAN	C12059
n-BUTYLBENZENE	C18150
FORMIC+ACID	C00058
METHAZOLAMIDE	C07764
FORMAMIDE	C00488
ASIATIC+ACID	C08617
BENZOTRICHLORIDE	C19166
C.I.+BASIC+RED+9	C19210
BENZ(A)ANTHRACENE	C14317
PYRACLOSTROBIN	C18561
BUTYROLACTONE	C01770
ASPARAGINE	C00152
AMYGDALIN	C08325
QUININE	C06526
MITOMYCIN+C	C06681
CIODRIN	C18971
MEPHOSFOLAN	C19007
DIISODECYL+PHTHALATE	C14578
NAFCILLIN	C07250
Carminic+acid	C11254
1,2,3-TRICHLOROPROPANE	C14400
C.I.+PIGMENT+RED+531	C19382
LUCIDIN	C10369
2,4,5-TP	C14532
AZOCYCLOTIN	C11092
OLEIC+ACID	C00712
SULPROFOS	C19016
2-MERCAPTOETHANOL	C00928
DEOXYCHOLIC+ACID	C04483
D-Pantothenic+Acid	C00864
OCTANOIC+ACID	C06423
EPIRUBICIN	C11230
TRIFLURALIN	C14343
CYPERMETHRIN	C10984
NETILMICIN	C07657
ANTHRAQUINONE	C16207
GLYOXYLIC+ACID	C00048
QUINETHAZONE	C07342
ISATIDINE	C10333
MALEIC+ACID	C01384
GIBBERELLIC+ACID	C01699
RIFABUTIN	C07235
1,2-NAPHTHOQUINONE	C14783
1-HEXADECANOL	C00823
GYROMITRIN	C08305
NITROBENZENE	C06813
ACEPHATE	C14426
ETHAMBUTOL	C06984
ACETAZOLAMIDE	C06805
CYCLOPHOSPHAMIDE	C07888
PHENYL+GLYCIDYL+ETHER	C19291
TRIFLUOPERAZINE	C07168
KOJIC+ACID	C14516
TRIETHYLAMINE	C14691
BENZYL+ACETATE	C15513
Calcitonin	C06865
2-NAPHTHOL	C11713
TETRACHLOROETHYLENE	C06789
THIOACETAMIDE	C19302
PROPANTHELINE	C07506
DIPHENADIONE	C18698
ALPHA-METHYLBENZYLAMINE	C02455
RABEPRAZOLE	C07864
DICHLOROACETONITRILE	C19395
TOBRAMYCIN	C00397
3-NITROPHENOL	C14418
FENURON	C11224
C.I.+Acid+Red+114	C19209
CHLORAL	C14866
RUBRATOXIN+B	C16767
HISTAMINE	C00388
NEOSTIGMINE	C07258
BENZIMIDAZOLE	C02009
3,7-DINITROFLUORANTHENE	C19234
o-Anisidine	C19191
LOVOZAL	C19029
Benzylamine	C15562
AMODIAQUINE	C07626
POTASSIUM+NITRATE	C13557
VINCAMINE	C09251
MEFENAMIC+ACID	C02168
DICLOXACILLIN	C06950
METHYL+OLEATE	C03425
PROPYL+GALLATE	C11155
CHLOROACETYL+CHLORIDE	C14859
TRIMETHOATE	C19014
2-DEOXY-D-GLUCOSE	C00586
Carmustine	C06873
POLYTHIAZIDE	C07766
DOCOSANOIC+ACID	C08281
WARFARIN	C01541
NORBORMIDE	C19139
AGARITINE	C01550
PROTRIPTYLINE	C07408
ACETALDEHYDE	C00084
1,4-BENZOQUINONE	C00472
