Lepirudin	DB00001
Trimethadione	DB00347
Nitisinone	DB00348
Clobazam	DB00349
Minoxidil	DB00350
Megestrol	DB00351
Thioguanine	DB00352
Methylergonovine	DB00353
Buclizine	DB00354
Aztreonam	DB00355
Chlorzoxazone	DB00356
Aminoglutethimide	DB00357
Mefloquine	DB00358
Sulfadiazine	DB00359
Tetrahydrobiopterin	DB00360
Vinorelbine	DB00361;DB12586
Anidulafungin	DB00362
Clozapine	DB00363
Sucralfate	DB00364
Grepafloxacin	DB00365
Doxylamine	DB00366
Levonorgestrel	DB00367
Norepinephrine	DB00368
Cidofovir	DB00369
Mirtazapine	DB00370
Meprobamate	DB00371
Thiethylperazine	DB00372
Timolol	DB00373
Treprostinil	DB00374
Colestipol	DB00375
Trihexyphenidyl	DB00376
Palonosetron	DB00377
Dydrogesterone	DB00378
Mexiletine	DB00379
Dexrazoxane	DB00380
Amlodipine	DB00381
Tacrine	DB00382
Oxyphencyclimine	DB00383
Triamterene	DB00384
Valrubicin	DB00385
Procyclidine	DB00387
Phenylephrine	DB00388
Carbimazole	DB00389
Digoxin	DB00390
Sulpiride	DB00391
Ethopropazine	DB00392
Nimodipine	DB00393
Beclometasone_dipropionate	DB00394
Carisoprodol	DB00395
Progesterone	DB00396
Phenylpropanolamine	DB00397
Sorafenib	DB00398
Zoledronate	DB00399
Griseofulvin	DB00400
Nisoldipine	DB00401
Eszopiclone	DB00402
Ceruletide	DB00403
Alprazolam	DB00404
Dexbrompheniramine	DB00405
Gentian_Violet	DB00406
Ardeparin	DB00407
Loxapine	DB00408
Remoxipride	DB00409
Mupirocin	DB00410
Carbachol	DB00411
Rosiglitazone	DB00412
Pramipexole	DB00413
Acetohexamide	DB00414
Ampicillin	DB00415
Metocurine_Iodide	DB00416
Penicillin_V	DB00417
Secobarbital	DB00418
Miglustat	DB00419
Promazine	DB00420
Spironolactone	DB00421
Methylphenidate	DB00422
Methocarbamol	DB00423
Hyoscyamine	DB00424
Zolpidem	DB00425
Famciclovir	DB00426
Triprolidine	DB00427
Streptozocin	DB00428
Carboprost	DB00429
Cefpiramide	DB00430
Lindane	DB00431
Trifluridine	DB00432
Prochlorperazine	DB00433
Cyproheptadine	DB00434
Nitric_oxide	DB00435
Bendroflumethiazide	DB00436
Allopurinol	DB00437
Ceftazidime	DB00438
Cerivastatin	DB00439
Trimethoprim	DB00440
Gemcitabine	DB00441
Entecavir	DB00442
Betamethasone	DB00443
Teniposide	DB00444
Epirubicin	DB00445
Chloramphenicol	DB14658;DB07565;DB00446
Loracarbef	DB00447
Lansoprazole	DB00448
Dipivefrin	DB00449
Droperidol	DB00450
Levothyroxine	DB00451
Framycetin	DB00452
Clomocycline	DB00453
Meperidine	DB00454
Loratadine	DB00455
Cefalotin	DB00456
Prazosin	DB00457
Imipramine	DB00458
Acitretin	DB00459
Verteporfin	DB00460
Nabumetone	DB00461
Methylscopolamine	DB00462
Metharbital	DB00463
Sodium_tetradecyl_sulfate	DB00464
Ketorolac	DB00465
Picrotoxin	DB00466
Enoxacin	DB00467
Quinine	DB00468
Tenoxicam	DB00469
Dronabinol	DB00470
Montelukast	DB00471
Fluoxetine	DB00472
Hexylcaine	DB00473
Methohexital	DB00474
Chlordiazepoxide	DB00475
Duloxetine	DB00476
Chlorpromazine	DB00477
Rimantadine	DB00478
Amikacin	DB00479
Lenalidomide	DB00480
Raloxifene	DB00481
Celecoxib	DB00482
Gallamine_triethiodide	DB00483;DB13584
Brimonidine	DB00484
Dicloxacillin	DB00485
Nabilone	DB00486
Pefloxacin	DB00487
Altretamine	DB00488
Sotalol	DB00489
Buspirone	DB00490
Miglitol	DB00491
Fosinopril	DB00492;DB14207
Cefotaxime	DB00493
Entacapone	DB00494
Zidovudine	DB00495
Darifenacin	DB00496
Oxycodone	DB00497
Phenindione	DB00498
Flutamide	DB00499
Tolmetin	DB00500
Cimetidine	DB00501
Haloperidol	DB00502
Ritonavir	DB00503
Levallorphan	DB00504
Tridihexethyl	DB00505
Nitazoxanide	DB00507
Triflupromazine	DB00508
Dextrothyroxine	DB00509
Acetyldigitoxin	DB00511
Vancomycin	DB00512
Aminocaproic_acid	DB00513
Dextromethorphan	DB00514
Cisplatin	DB00515
Bentoquatam	DB00516
Anisotropine_Methylbromide	DB00517
Albendazole	DB13871;DB00518
Trandolapril	DB00519
Caspofungin	DB00520
Carteolol	DB00521
Bentiromide	DB00522
Alitretinoin	DB00523
Metolazone	DB00524
Tolnaftate	DB00525
Oxaliplatin	DB00526
Dibucaine	DB00527
Lercanidipine	DB00528
Foscarnet	DB00529
Erlotinib	DB00530
Cyclophosphamide	DB00531
Mephenytoin	DB00532
Rofecoxib	DB00533
Chlormerodrin	DB00534
Cefdinir	DB00535
Guanidine	DB00536
Ciprofloxacin	DB00537
Gadoversetamide	DB00538
Toremifene	DB00539
Nortriptyline	DB00540
Vincristine	DB00541
Benazepril	DB00542;DB14125
Amoxapine	DB00543
Fluorouracil	DB00544
Pyridostigmine	DB00545
Adinazolam	DB00546
Desoximetasone	DB00547
Azelaic_acid	DB00548
Zafirlukast	DB00549
Propylthiouracil	DB00550
Acetohydroxamic_acid	DB00551
Pentostatin	DB00552
Methoxsalen	DB00553
Piroxicam	DB00554
Lamotrigine	DB00555
Octafluoropropane	DB00556
Hydroxyzine	DB00557
Zanamivir	DB00558
Bosentan	DB00559
Tigecycline	DB00560
Doxapram	DB00561
Benzthiazide	DB00562
Methotrexate	DB00563
Carbamazepine	DB00564
Cisatracurium_besylate	DB00565
Succimer	DB00566
Cephalexin	DB00567
Cinnarizine	DB00568
Fondaparinux_sodium	DB00569
Vinblastine	DB00570
Propranolol	DB00571;DB03322
Atropine	DB00572
Fenoprofen	DB00573
Fenfluramine	DB00574
Clonidine	DB00575
Sulfamethizole	DB00576
Valaciclovir	DB00577
Carbenicillin	DB00578
Mazindol	DB00579
Valdecoxib	DB00580
Lactulose	DB00581
Voriconazole	DB00582
L-Carnitine	DB00583
Enalapril	DB00584
Nizatidine	DB00585
Diclofenac	DB00586
Fluticasone_propionate	DB00588
Lisuride	DB00589
Doxazosin	DB00590
Fluocinolone_acetonide	DB00591
Piperazine	DB00592
Ethosuximide	DB00593
Amiloride	DB00594
Oxytetracycline	DB00595
Ulobetasol	DB00596
Gadoteridol	DB00597
Labetalol	DB00598
Thiopental	DB00599
Monobenzone	DB00600
Linezolid	DB00601
Ivermectin	DB00602
Medroxyprogesterone	DB00603
Cisapride	DB00604
Sulindac	DB00605
Cyclothiazide	DB00606
Nafcillin	DB00607
Chloroquine	DB00608
Ethionamide	DB00609
Metaraminol	DB00610
Butorphanol	DB00611
Bisoprolol	DB00612
Amodiaquine	DB00613
Furazolidone	DB00614
Rifabutin	DB00615
Candoxatril	DB00616;DB11623
Paramethadione	DB00617
Demeclocycline	DB00618
Imatinib	DB00619
Triamcinolone	DB00620
Oxandrolone	DB00621
Nicardipine	DB00622
Fluphenazine	DB00623
Testosterone	DB00624
Efavirenz	DB00625
Bacitracin	DB00626
Niacin	DB00627
Clorazepate	DB00628
Guanabenz	DB00629
Alendronate	DB00630
Clofarabine	DB00631
Docosanol	DB00632
Dexmedetomidine	DB00633
Sulfacetamide	DB00634
Prednisone	DB00635
Clofibrate	DB00636
Astemizole	DB00637
Inulin	DB00638
Butoconazole	DB00639
Adenosine	DB00640
Simvastatin	DB00641
Pemetrexed	DB00642
Mebendazole	DB00643
Gonadorelin	DB00644
Dyclonine	DB00645
Nystatin	DB00646
Propoxyphene	DB00647
Mitotane	DB00648
Stavudine	DB00649
Folinic_acid	DB00650
Dyphylline	DB00651
Pentazocine	DB00652
Magnesium_sulfate	DB00653
Latanoprost	DB00654
Estrone	DB00655
Trazodone	DB00656
Mecamylamine	DB00657
Sevelamer	DB00658
Acamprosate	DB00659
Metaxalone	DB00660
Verapamil	DB00661
Trimethobenzamide	DB00662
Flumethasone	DB00663
Sulfametopyrazine	DB00664
Nilutamide	DB00665
Nafarelin	DB00666
Epinephrine	DB00668
Sumatriptan	DB00669
Pirenzepine	DB00670
Cefixime	DB00671
Chlorpropamide	DB00672
Aprepitant	DB00673
Galantamine	DB00674
Tamoxifen	DB00675
Benzyl_benzoate	DB00676
Isoflurophate	DB00677
Losartan	DB00678
Thioridazine	DB00679
Moricizine	DB00680
Amphotericin_B	DB00681
Warfarin	DB00682
Midazolam	DB00683
Tobramycin	DB00684
Trovafloxacin	DB00685
Pentosan_polysulfate	DB00686
Fludrocortisone	DB00687
Mycophenolate_mofetil	DB00688
Cephaloglycin	DB00689
Flurazepam	DB00690
Moexipril	DB00691
Phentolamine	DB00692
Fluorescein	DB00693
Daunorubicin	DB00694
Furosemide	DB00695
Ergotamine	DB00696
Tizanidine	DB00697
Nitrofurantoin	DB00698
Nicergoline	DB00699
Eplerenone	DB00700
Amprenavir	DB00701
Icodextrin	DB00702
Methazolamide	DB00703
Naltrexone	DB00704
Delavirdine	DB00705
Tamsulosin	DB00706
Porfimer	DB00707
Sufentanil	DB00708
Lamivudine	DB00709
Ibandronate	DB00710
Diethylcarbamazine	DB00711
Flurbiprofen	DB00712
Oxacillin	DB00713
Apomorphine	DB00714
Paroxetine	DB00715
Nedocromil	DB00716
Norethisterone	DB00717
Adefovir	DB00718;DB13868
Azatadine	DB00719
Clodronate	DB00720
Procaine	DB00721
Lisinopril	DB00722
Methoxamine	DB00723
Imiquimod	DB00724
Homatropine_methylbromide	DB00725
Trimipramine	DB00726
Nitroglycerin	DB00727
Rocuronium	DB00728
Thiabendazole	DB00730
Nateglinide	DB00731
Atracurium	DB13295;DB00732
Pralidoxime	DB00733
Risperidone	DB00734
Naftifine	DB00735
Esomeprazole	DB00736
Meclizine	DB00737
Pentamidine	DB00738
Hetacillin	DB00739
Riluzole	DB00740
Hydrocortisone	DB14543;DB00741
Mannitol	DB00742
Gadobenic_acid	DB00743
Zileuton	DB00744
Modafinil	DB00745
Deferoxamine	DB00746
Scopolamine	DB00747
Carbinoxamine	DB00748
Etodolac	DB00749
Prilocaine	DB00750
Epinastine	DB00751
Tranylcypromine	DB00752
Isoflurane	DB00753
Ethotoin	DB00754
Tretinoin	DB00755
Hexachlorophene	DB00756
Dolasetron	DB00757
Clopidogrel	DB00758
Tetracycline	DB00759
Meropenem	DB00760
Potassium_chloride	DB00761
Irinotecan	DB00762
Methimazole	DB00763
Mometasone	DB00764
Metyrosine	DB00765
Clavulanate	DB00766
Benzquinamide	DB00767
Olopatadine	DB00768
Hydrocortamate	DB00769
Alprostadil	DB00770
Clidinium	DB00771
Malathion	DB00772
Etoposide	DB00773
Hydroflumethiazide	DB00774
Tirofiban	DB00775
Oxcarbazepine	DB00776
Propiomazine	DB00777
Roxithromycin	DB00778
Nalidixic_acid	DB00779
Phenelzine	DB00780
Polymyxin_B	DB00781
Propantheline	DB00782
Estradiol_(medication)	DB00783
Mefenamic_acid	DB00784
Cryptenamine	DB00785
Marimastat	DB00786
Aciclovir	DB00787
Naproxen	DB00788
Gadopentetic_acid	DB00789
Perindopril	DB00790
Uracil_mustard	DB00791
Tripelennamine	DB00792
Haloprogin	DB00793
Primidone	DB00794
Sulfasalazine	DB00795
Candesartan	DB13919;DB00796
Tolazoline	DB00797
Gentamicin	DB00798
Tazarotene	DB00799
Fenoldopam	DB00800
Halazepam	DB00801
Alfentanil	DB00802
Colistin	DB00803
Dicyclomine	DB00804
Minaprine	DB00805
Pentoxifylline	DB00806
Proparacaine	DB00807
Indapamide	DB00808
Tropicamide	DB00809
Biperiden	DB00810
Ribavirin	DB00811
Phenylbutazone	DB00812
Fentanyl	DB00813
Meloxicam	DB00814
Sodium_lauryl_sulfate	DB00815
Orciprenaline	DB00816
Rosoxacin	DB00817
Propofol	DB00818
Acetazolamide	DB00819
Tadalafil	DB00820
Carprofen	DB00821
Disulfiram	DB00822
Ethynodiol_diacetate	DB00823
Enprofylline	DB00824
Menthol	DB14123;DB00825
Natamycin	DB00826
Cinoxacin	DB00827
Fosfomycin	DB00828
Diazepam	DB00829
Phenmetrazine	DB00830
Trifluoperazine	DB00831
Phensuximide	DB00832
Cefaclor	DB00833
Mifepristone	DB00834
Brompheniramine	DB00835
Loperamide	DB00836
Progabide	DB00837
Clocortolone	DB00838
Tolazamide	DB00839
Hydroxypropyl_cellulose	DB00840
Dobutamine	DB00841
Oxazepam	DB00842
Donepezil	DB00843
Nalbuphine	DB00844
Clofazimine	DB00845
Fludroxycortide	DB00846
Cysteamine	DB00847
Levamisole	DB00848
Mephobarbital	DB00849
Perphenazine	DB00850
Dacarbazine	DB00851
Pseudoephedrine	DB00852
Temozolomide	DB00853
Levorphanol	DB00854
Aminolevulinic_acid	DB00855
Chlorphenesin	DB00856
Terbinafine	DB00857
Drostanolone	DB00858
Penicillamine	DB00859
Prednisolone	DB14633;DB00860
Diflunisal	DB00861
Vardenafil	DB00862
Ranitidine	DB00863
Tacrolimus	DB00864
Benzphetamine	DB00865
Alprenolol	DB00866
Ritodrine	DB00867
Benzonatate	DB00868
Dorzolamide	DB00869
Suprofen	DB00870
Terbutaline	DB00871
Conivaptan	DB00872
Guaifenesin	DB00874
Flupenthixol	DB00875
Eprosartan	DB00876
Sirolimus	DB00877
Chlorhexidine	DB00878
Emtricitabine	DB00879
Chlorothiazide	DB00880
Quinapril	DB00881
Clomifene	DB00882
Isosorbide_dinitrate	DB00883
Risedronate	DB00884
Pemirolast	DB00885
Omapatrilat	DB00886
Bumetanide	DB00887
Mechlorethamine	DB00888
Granisetron	DB00889
Dienestrol	DB00890
Sulfapyridine	DB00891
Oxybuprocaine	DB00892
Iron_Dextran	DB00893
Testolactone	DB00894
Benzylpenicilloyl_polylysine	DB00895
Rimexolone	DB00896
Triazolam	DB00897
Ethanol	DB00898
Remifentanil	DB00899
Didanosine	DB00900
Bitolterol	DB00901
Methdilazine	DB00902
Ethacrynic_acid	DB00903
Ondansetron	DB00904
Bimatoprost	DB00905
Tiagabine	DB00906
Cocaine	DB00907
Quinidine	DB00908
Zonisamide	DB00909
Paricalcitol	DB00910
Tinidazole	DB00911
Repaglinide	DB00912
Anileridine	DB00913
Phenformin	DB00914
Amantadine	DB00915
Metronidazole	DB00916
Dinoprostone	DB00917
Almotriptan	DB00918
Spectinomycin	DB00919
Ketotifen	DB00920
Buprenorphine	DB00921
Levosimendan	DB12286;DB00922
Ceforanide	DB00923
Cyclobenzaprine	DB00924
Phenoxybenzamine	DB00925
Etretinate	DB00926
Famotidine	DB00927
Azacitidine	DB00928
Misoprostol	DB00929
Colesevelam	DB00930
Methacycline	DB00931
Tipranavir	DB00932
Mesoridazine	DB00933
Maprotiline	DB00934
Oxymetazoline	DB00935
Salicylic_acid	DB00936
Diethylpropion	DB00937
Salmeterol	DB00938
Meclofenamic_acid	DB00939
Methantheline	DB00940
Hexafluronium_bromide	DB00941
Cycrimine	DB00942
Zalcitabine	DB00943
Demecarium_bromide	DB00944
Aspirin	DB00945
Phenprocoumon	DB00946
Fulvestrant	DB00947
Mezlocillin	DB00948
Felbamate	DB00949
Fexofenadine	DB00950
Isoniazid	DB00951
Naratriptan	DB00952
Rizatriptan	DB00953
Dirithromycin	DB00954
Netilmicin	DB00955
Hydrocodone	DB00956
Norgestimate	DB00957
Carboplatin	DB00958
Methylprednisolone	DB00959;DB14644
Pindolol	DB00960
Mepivacaine	DB00961
Zaleplon	DB00962
Bromfenac	DB00963
Apraclonidine	DB00964
Ethiodized_oil	DB00965
Telmisartan	DB00966
Desloratadine	DB00967
Methyldopa	DB00968
Alosetron	DB00969
Dactinomycin	DB00970
Azelastine	DB00972
Ezetimibe	DB00973
EDTA	DB00974
Dipyridamole	DB00975
Telithromycin	DB00976
Ethinylestradiol	DB00977
Lomefloxacin	DB00978
Cyclopentolate	DB00979
Ramelteon	DB00980
Physostigmine	DB00981
Isotretinoin	DB00982
Formoterol	DB00983
Nandrolone	DB00984;DB13169
Dimenhydrinate	DB00985
Glycopyrrolate	DB00986
Cytarabine	DB00987
Dopamine	DB00988
Rivastigmine	DB00989
Exemestane	DB00990
Oxaprozin	DB00991
Methyl_aminolevulinate	DB00992
Azathioprine	DB00993
Neomycin	DB00994
Auranofin	DB00995
Gabapentin	DB00996
Doxorubicin	DB00997
Frovatriptan	DB00998
Hydrochlorothiazide	DB00999
Cyclacillin	DB01000
Salbutamol	DB01001
Levobupivacaine	DB01002
Cromoglicate	DB01003
Ganciclovir	DB01004
Hydroxyurea	DB01005
Letrozole	DB01006
Tioconazole	DB01007
Busulfan	DB01008
Ketoprofen	DB01009
Edrophonium	DB01010
Metyrapone	DB01011
Cinacalcet	DB01012
Clobetasol_propionate	DB01013
Balsalazide	DB01014
Sulfamethoxazole	DB01015
Glibenclamide	DB01016
Minocycline	DB01017
Guanfacine	DB01018
Bethanechol	DB01019
Isosorbide_mononitrate	DB01020
Trichlormethiazide	DB01021
Phytonadione	DB01022
Felodipine	DB01023
Mycophenolic_acid	DB01024
Amlexanox	DB01025
Ketoconazole	DB01026
Methoxyflurane	DB01028
Irbesartan	DB01029
Topotecan	DB01030
Ethinamate	DB01031
Probenecid	DB01032
Mercaptopurine	DB01033
Cerulenin	DB01034
Procainamide	DB01035
Tolterodine	DB01036
Selegiline	DB01037
Carphenazine	DB01038
Fenofibrate	DB01039;DB13873
Thalidomide	DB01041
Melphalan	DB01042
Memantine	DB01043
Gatifloxacin	DB01044
Rifampin	DB01045
Lubiprostone	DB01046
Fluocinonide	DB01047
Abacavir	DB01048
Ergoloid	DB01049
Ibuprofen	DB01050
Novobiocin	DB01051
Benzylpenicillin	DB01053
Nitrendipine	DB01054
Mimosine	DB01055
Tocainide	DB01056
Echothiophate	DB01057
Praziquantel	DB01058
Norfloxacin	DB01059
Amoxicillin	DB01060
Azlocillin	DB01061
Oxybutynin	DB01062
Acetophenazine	DB01063
Isoproterenol	DB01064
Melatonin	DB01065
Cefditoren	DB01066
Glipizide	DB01067
Clonazepam	DB01068
Promethazine	DB01069
Dihydrotachysterol	DB01070
Mequitazine	DB01071
Atazanavir	DB01072
Fludarabine	DB01073
Perhexiline	DB01074
Diphenhydramine	DB01075
Atorvastatin	DB01076
Etidronic_acid	DB01077
Deslanoside	DB01078
Tegaserod	DB01079
Vigabatrin	DB01080
Diphenoxylate	DB01081
Streptomycin	DB01082
Orlistat	DB01083
Emedastine	DB01084
Pilocarpine	DB01085
Benzocaine	DB01086
Primaquine	DB01087
Iloprost	DB01088
Deserpidine	DB01089
Pentolinium	DB01090
Butenafine	DB01091
Ouabain	DB01092
Dimethyl_sulfoxide	DB01093
Hesperetin	DB01094
Fluvastatin	DB01095
Oxamniquine	DB01096
Leflunomide	DB01097
Rosuvastatin	DB01098
Flucytosine	DB01099
Pimozide	DB01100
Capecitabine	DB01101
Arbutamine	DB01102
Quinacrine	DB01103
Sertraline	DB01104
Sibutramine	DB01105
Levocabastine	DB01106
Methyprylon	DB01107
Trilostane	DB01108
Heparin	DB01109
Miconazole	DB01110
Colistimethate	DB01111
Cefuroxime	DB01112
Papaverine	DB01113
Chlorpheniramine	DB01114
Nifedipine	DB01115
Trimethaphan	DB01116
Atovaquone	DB01117
Amiodarone	DB01118
Diazoxide	DB01119
