UniRef100_P31946	P31946;V9HWD6
UniRef100_Q9NPC4	Q9NPC4;A0A0S2Z5J1
UniRef100_Q9UNA3	Q9UNA3
UniRef100_P05067	P05067;A0A140VJC8
UniRef100_Q96GX2	Q96GX2
UniRef100_P30542	P30542
UniRef100_P29274	P29274;C9JQD8;X5DNB4;B4DW87
UniRef100_P29275	P29275;Q2L7J7
UniRef100_P0DMS8	P0DMS8;H6VQ59
UniRef100_Q9NS82	Q9NS82
UniRef100_P22760	P22760
UniRef100_Q9NRG9	Q9NRG9
UniRef100_Q15758	Q15758
UniRef100_Q86V21	Q86V21;A0A024RBV2;Q9H7A6
UniRef100_P01011	P01011;A0A024R6P0;G3V595
UniRef100_Q8N5Z0	Q8N5Z0;Q4W5N8;D6RC56;D6RFY7
UniRef100_Q6PD74	Q6PD74;H0YL49
UniRef100_Q2M2I8	Q2M2I8
UniRef100_Q9Y478	Q9Y478;A0A024RBN1;F5H610;F5H2X8;B4DVP2
UniRef100_O43741	O43741
UniRef100_P54619	P54619;A0A024R125
UniRef100_Q9UGJ0	Q9UGJ0;A0A090N8Q6;A0A384MDZ2;A0A494C068
UniRef100_Q9UGI9	Q9UGI9;B4DT70
UniRef100_Q9H7C9	Q9H7C9;E9PNP3
UniRef100_Q13685	Q13685
UniRef100_Q13131	Q13131
UniRef100_P54646	P54646
UniRef100_Q9Y312	Q9Y312
UniRef100_Q4LEZ3	Q4LEZ3
UniRef100_P86434	P86434
UniRef100_Q9BTE6	Q9BTE6
UniRef100_Q9UDR5	Q9UDR5;A4D0W4
UniRef100_Q8NHS2	Q8NHS2
UniRef100_P17174	P17174;A0A140VK69
UniRef100_Q9NY61	Q9NY61;A0A087WWS8
UniRef100_P00505	P00505
UniRef100_Q7Z5M8	Q7Z5M8
UniRef100_Q96GS6	Q96GS6
UniRef100_Q5VST6	Q5VST6;A0A384MEH9
UniRef100_Q6PCB6	Q6PCB6
UniRef100_Q7Z5R6	Q7Z5R6
UniRef100_P31941	P31941;A0A0K0MJ49
UniRef100_Q9UH17	Q9UH17
UniRef100_Q9NRW3	Q9NRW3;Q59GY0
UniRef100_Q96AK3	Q96AK3;B2CML4
UniRef100_Q8IUX4	Q8IUX4;B4DGW8
UniRef100_Q9HC16	Q9HC16
UniRef100_Q6NTF7	Q6NTF7
UniRef100_O95477	O95477
UniRef100_Q9BZC7	Q9BZC7
UniRef100_Q99758	Q99758
UniRef100_P78363	P78363;F6TT59
UniRef100_Q8WWZ7	Q8WWZ7;A0A075B778;K7EPM3;K7EMV2;K7EJW6
UniRef100_Q8N139	Q8N139
UniRef100_Q8IZY2	Q8IZY2
UniRef100_O94911	O94911;A0A024R8L6
UniRef100_Q8IUA7	Q8IUA7
UniRef100_Q8WWZ4	Q8WWZ4;K7ERP5
UniRef100_Q4W5N1	Q4W5N1
UniRef100_Q86UK0	Q86UK0
UniRef100_Q86UQ4	Q86UQ4
UniRef100_Q2M3G0	Q2M3G0
UniRef100_Q9NP58	Q9NP58;A0A024R436
UniRef100_O75027	O75027
UniRef100_Q9NP78	Q9NP78;A0A024RBU1;Q8NCH1
UniRef100_Q9NRK6	Q9NRK6;Q6ZMF8
UniRef100_O95342	O95342
UniRef100_Q09428	Q09428
UniRef100_O60706	O60706;A0A024RAV7
UniRef100_Q96J66	Q96J66;A0A024R6Q6
UniRef100_P33897	P33897
UniRef100_Q9UBJ2	Q9UBJ2
UniRef100_P28288	P28288
UniRef100_O14678	O14678;A0A024R6B9;A0A024R6C8
UniRef100_P61221	P61221
UniRef100_Q8NE71	Q8NE71;A0A1U9X609;F5GYK6
UniRef100_Q9UG63	Q9UG63;A0A090N7Y2;A0A090N7X1;C9JZV3;C9JHK9
UniRef100_Q9NUQ8	Q9NUQ8;A0A0S2Z5L1
UniRef100_P45844	P45844
UniRef100_Q9UNQ0	Q9UNQ0;A1LUE4;F8S0F2
UniRef100_Q9H172	Q9H172
UniRef100_Q9H222	Q9H222;Q53QN9
UniRef100_Q9H221	Q9H221
UniRef100_Q8N2K0	Q8N2K0;A0A5F9ZH71;I3L206
UniRef100_Q0P651	Q0P651
UniRef100_P41238	P41238
UniRef100_Q9Y235	Q9Y235
UniRef100_Q8WW27	Q8WW27
UniRef100_Q6UXT9	Q6UXT9
UniRef100_Q96SE0	Q96SE0
UniRef100_P08910	P08910;A0A024RC89
UniRef100_Q8WU67	Q8WU67
UniRef100_Q8TB40	Q8TB40;F5H6T0;B4DW04
UniRef100_Q8WTS1	Q8WTS1;C9J1D1;F8W7B5;A0A0S2Z5D6;A0A0M3LN66
UniRef100_Q9BV23	Q9BV23;A0A024R323
UniRef100_Q96I13	Q96I13;B2C6G3
UniRef100_Q9NUJ1	Q9NUJ1
UniRef100_Q8NFV4	Q8NFV4
UniRef100_Q7L211	Q7L211;A0A024RDX1
UniRef100_Q9BUJ0	Q9BUJ0
UniRef100_Q96IU4	Q96IU4;V9HW87
UniRef100_O95870	O95870;A0A1U9X777;A0A0G2JJD3;B3KNX9
UniRef100_Q9H3Z7	Q9H3Z7
UniRef100_Q8IZP0	Q8IZP0
UniRef100_Q9NYB9	Q9NYB9
UniRef100_Q9P2A4	Q9P2A4
UniRef100_Q9NX38	Q9NX38
UniRef100_P00519	P00519;A0A024R8E2
UniRef100_P42684	P42684
UniRef100_O14639	O14639
UniRef100_Q6H8Q1	Q6H8Q1
UniRef100_O94929	O94929
UniRef100_Q9P1F3	Q9P1F3
UniRef100_Q8N0Z2	Q8N0Z2
UniRef100_Q6UWZ7	Q6UWZ7;D6REL5
UniRef100_Q15018	Q15018
UniRef100_Q12979	Q12979
UniRef100_Q9ULW3	Q9ULW3;A0A024R029
UniRef100_Q969K4	Q969K4
UniRef100_Q8N961	Q8N961
UniRef100_Q13085	Q13085;A0A0C4DGT1;A0A024R0Y2;Q7Z5W8;B4DWK9;B4DIW1;B4DK31
UniRef100_O00763	O00763;F5H5C3
UniRef100_Q9UKU7	Q9UKU7
UniRef100_Q9H845	Q9H845
UniRef100_P28330	P28330;B4DJN8
UniRef100_P11310	P11310;A0A0S2Z366
UniRef100_P16219	P16219;E5KSD5
UniRef100_P49748	P49748
UniRef100_Q15027	Q15027
UniRef100_Q15057	Q15057
UniRef100_Q96P50	Q96P50
UniRef100_O00400	O00400
UniRef100_Q8NC06	Q8NC06
UniRef100_Q5T8D3	Q5T8D3
UniRef100_Q9BR61	Q9BR61;A0A024R949
UniRef100_Q8N6N7	Q8N6N7
UniRef100_Q96GR2	Q96GR2
UniRef100_Q5FVE4	Q5FVE4;K7EL11;K7ERT0;K7ESC8;A0A140VJD4
UniRef100_P07108	P07108
UniRef100_Q6JQN1	Q6JQN1
UniRef100_Q709F0	Q709F0;B4DQ41;Q08AE9
UniRef100_P45954	P45954;A0A0S2Z3P9
UniRef100_Q96AP0	Q96AP0;A0A590TQL1
UniRef100_Q9BYF1	Q9BYF1
UniRef100_Q8TDN7	Q8TDN7
UniRef100_Q5QJU3	Q5QJU3
UniRef100_Q9NUN7	Q9NUN7;B7Z2V2;E9PIN9
UniRef100_P22303	P22303
UniRef100_P12821	P12821;D3DU13
UniRef100_Q9GZZ6	Q9GZZ6
UniRef100_Q15822	Q15822;E5RGP6;E5RK67;E5RHQ4;E5RGT4
UniRef100_P32297	P32297
UniRef100_P43681	P43681;Q4VAQ3;Q5EIV0;Q5EIU9
UniRef100_P30532	P30532
UniRef100_Q15825	Q15825;E9PP97
UniRef100_P36544	P36544
UniRef100_Q9UGM1	Q9UGM1
UniRef100_P02708	P02708
UniRef100_P17787	P17787;Q5SXY3;A0A1B0GTH5
UniRef100_Q05901	Q05901
UniRef100_P30926	P30926
UniRef100_P11230	P11230;B7Z2M6
UniRef100_Q07001	Q07001
UniRef100_Q04844	Q04844;Q8N731
UniRef100_P07510	P07510
UniRef100_Q9UKV3	Q9UKV3;S4R3H4
UniRef100_Q07912	Q07912
UniRef100_Q6P4H8	Q6P4H8
UniRef100_Q16570	Q16570;Q5Y7A2;A0A059TA82
UniRef100_O00590	O00590;A1LP82;V9GYM0;V9GZ70;V9GYB7;V9GYX0
UniRef100_P25106	P25106;A0A140T9K6
UniRef100_Q9NPB9	Q9NPB9;H0Y9Z2
UniRef100_Q5JWF8	Q5JWF8
UniRef100_O96019	O96019
UniRef100_O94805	O94805
UniRef100_Q9Y615	Q9Y615;A0A140VK03
UniRef100_Q9Y614	Q9Y614;A0A140VKC6
UniRef100_P53396	P53396;A0A024R1T9;Q4LE36
UniRef100_P11229	P11229;Q53XZ3
UniRef100_P08172	P08172;A4D1Q0;Q96RH0
UniRef100_P20309	P20309;A0A024R3W1;B1AN12
UniRef100_P08173	P08173
UniRef100_P08912	P08912;A0A024R9I2;H0YKC0
UniRef100_Q8TDX5	Q8TDX5
UniRef100_Q8WXI4	Q8WXI4
UniRef100_Q8WYK0	Q8WYK0
UniRef100_Q9NPJ3	Q9NPJ3
UniRef100_P21399	P21399;V9HWB7;Q9HBB2
UniRef100_O00767	O00767
UniRef100_Q99798	Q99798
UniRef100_Q86TX2	Q86TX2;E9KL42
UniRef100_P49753	P49753;A0A087X0W7;A0A087WT95
UniRef100_Q8N9L9	Q8N9L9
UniRef100_Q3I5F7	Q3I5F7;G3V3W6;A0A2R8Y7H3
UniRef100_O14734	O14734;A0A494C0N6
UniRef100_Q9Y305	Q9Y305;Q96EA2
UniRef100_Q15067	Q15067
UniRef100_Q99424	Q99424;C9JY29;B4DPM1
UniRef100_O15254	O15254
UniRef100_Q9NUZ1	Q9NUZ1
UniRef100_Q6ZNF0	Q6ZNF0
UniRef100_P13798	P13798
UniRef100_O14561	O14561;A4UCS3;A4UCS2
UniRef100_Q8NEB7	Q8NEB7;A0A140VJD6
UniRef100_Q96QF7	Q96QF7
UniRef100_P10323	P10323
UniRef100_Q08AH3	Q08AH3;I3L438;F5GWL3;I3L2Y5
UniRef100_Q68CK6	Q68CK6;H3BQ84;H3BTX9;H3BM61;H3BP79
UniRef100_Q9NUB1	Q9NUB1;Q658R1
UniRef100_Q9NR19	Q9NR19;Q4G0E8;Q6DKJ3
UniRef100_Q96CM8	Q96CM8
UniRef100_Q4G176	Q4G176;F5H5A1
UniRef100_Q4L235	Q4L235;R4GNB1
UniRef100_P33121	P33121;B7Z3Z9
UniRef100_O95573	O95573;A0A024R487;F5H062;C9JC11;F5GWH2;B3KMA6;Q6PIM8
UniRef100_O60488	O60488
UniRef100_Q9ULC5	Q9ULC5
UniRef100_Q9UKU0	Q9UKU0;C9J3Z0
UniRef100_Q08AH1	Q08AH1;E5RFK0
UniRef100_Q53FZ2	Q53FZ2
UniRef100_P0C7M7	P0C7M7
UniRef100_Q6NUN0	Q6NUN0
UniRef100_Q6P461	Q6P461
UniRef100_Q9H6R3	Q9H6R3;F8VZB4
UniRef100_P62736	P62736;D2JYH4;F6UVQ4;F6QUT6;B4DUI8
UniRef100_Q562R1	Q562R1
UniRef100_Q9BYX7	Q9BYX7;Q562Q0
UniRef100_P60709	P60709;Q1KLZ0
UniRef100_P68032	P68032;B3KPP5
UniRef100_P63261	P63261
UniRef100_Q01718	Q01718;R4GMM0
UniRef100_P63267	P63267;Q562S2
UniRef100_Q9H568	Q9H568
UniRef100_Q8TC94	Q8TC94;A0A140VJD5
UniRef100_P12814	P12814;A0A024R694
UniRef100_P35609	P35609;B7Z4P8
UniRef100_Q08043	Q08043
UniRef100_O43707	O43707;A0A0S2Z3G9
UniRef100_P68133	P68133
UniRef100_Q8TDG2	Q8TDG2
UniRef100_Q8TDY3	Q8TDY3
UniRef100_Q9BYD9	Q9BYD9
UniRef100_P42025	P42025
UniRef100_P61163	P61163;A0A384NQ21;B4DXP9
UniRef100_P36896	P36896
UniRef100_Q8NER5	Q8NER5;Q53SF5
UniRef100_P37023	P37023;G3V1W8;D9IPD9;A0A0S2Z310
UniRef100_Q04771	Q04771;D3DPA4;C9JHJ7;C9J1R3;F5GY91;Q53SV1;A0A1B0GXA9
UniRef100_Q03154	Q03154;V9HWA0;B4DNW0
UniRef100_P45381	P45381;Q6FH48;I3L0T3
UniRef100_Q96HD9	Q96HD9;A0A024R5L2
UniRef100_P07311	P07311;G3V2U7
UniRef100_P14621	P14621;A0A140VJD7
UniRef100_O14672	O14672;A0A024R5U5
UniRef100_O75078	O75078
UniRef100_O43184	O43184
UniRef100_Q13444	Q13444
UniRef100_P78536	P78536;B2RNB2
UniRef100_Q9Y3Q7	Q9Y3Q7;E5RK96;Q0VAI3
UniRef100_Q9H013	Q9H013
UniRef100_P35348	P35348;Q6LD06
UniRef100_P35368	P35368
UniRef100_P25100	P25100;B0ZBE0
UniRef100_O43506	O43506;A0A494C0E3
UniRef100_Q9UKJ8	Q9UKJ8
UniRef100_Q9P0K1	Q9P0K1
UniRef100_O75077	O75077;A0A024R3W8;Q53TK5
UniRef100_Q9UKQ2	Q9UKQ2;E5RGY1
UniRef100_Q9UKF5	Q9UKF5;A0A140VJD8;D6RIU9;D6RHU0;D6RBU0
UniRef100_P08913	P08913
UniRef100_P18089	P18089
UniRef100_P18825	P18825;Q4W594
UniRef100_Q9NZK5	Q9NZK5;B4E3Q4;A0A3B3IRN1;F5H7J3;A0A087X0I3;C9IZA8;B4DHM2
UniRef100_Q9UKF2	Q9UKF2
UniRef100_Q8TC27	Q8TC27
UniRef100_Q9BZ11	Q9BZ11
UniRef100_Q96M93	Q96M93;C9JGM6;C9JAT9
UniRef100_Q8NCV1	Q8NCV1
UniRef100_Q6DHV7	Q6DHV7;A0A024R9S2
UniRef100_Q99965	Q99965
UniRef100_Q6NVV9	Q6NVV9
UniRef100_Q9H2U9	Q9H2U9;A0A384MTL6
UniRef100_P78325	P78325
UniRef100_Q13443	Q13443
UniRef100_O75689	O75689
UniRef100_Q9NPF8	Q9NPF8
UniRef100_A8MUL3	A8MUL3
UniRef100_O00116	O00116;Q53SG6
UniRef100_Q9BUB4	Q9BUB4
UniRef100_Q7Z6V5	Q7Z6V5
UniRef100_Q96EY9	Q96EY9;D6W601;C9JFC1
UniRef100_P00813	P00813;A0A0S2Z381
UniRef100_Q86TW2	Q86TW2
UniRef100_Q7Z695	Q7Z695;A4D1T6
UniRef100_Q3MIX3	Q3MIX3
UniRef100_Q6P093	Q6P093
UniRef100_Q5VUY0	Q5VUY0
UniRef100_Q5VUY2	Q5VUY2
UniRef100_Q08828	Q08828;D3DVL8;Q8NFM5
UniRef100_Q08462	Q08462;Q7RTV6;Q71UM8
UniRef100_O60266	O60266
UniRef100_Q8NFM4	Q8NFM4;Q86TZ7
UniRef100_O95622	O95622;A0A384P5Q5;B7Z2C7;B7Z801
UniRef100_O43306	O43306;Q9NR74
UniRef100_P51828	P51828
UniRef100_P40145	P40145;A0A0K0K1K3
UniRef100_O60503	O60503
UniRef100_Q96PN6	Q96PN6;A0A0K0K1J8
UniRef100_P35611	P35611
UniRef100_P35612	P35612;C9J299;C9J080
UniRef100_Q9UEY8	Q9UEY8;Q5VU08
UniRef100_O15204	O15204;B7Z6U5
UniRef100_Q8N7X0	Q8N7X0
UniRef100_P07327	P07327
UniRef100_P00325	P00325;A0A024RDE3;B7ZB36
UniRef100_P00326	P00326;A0A087WU81
UniRef100_P08319	P08319;A0A0D9SFB5
UniRef100_P28332	P28332
UniRef100_P40394	P40394;A0A0C4DG85
UniRef100_P11766	P11766;Q6IRT1
UniRef100_Q0VDE8	Q0VDE8;A0A158RFT8
UniRef100_Q5T7M4	Q5T7M4
UniRef100_Q15848	Q15848;A8K660;A0A3B0J0F2
UniRef100_Q9Y2D8	Q9Y2D8
UniRef100_Q15847	Q15847;Q5TBU5
UniRef100_P55263	P55263;A0A5F9ZHJ1
UniRef100_Q7Z4H4	Q7Z4H4
UniRef100_C9JUS6	C9JUS6
UniRef100_P35318	P35318;E9PL83
UniRef100_Q6IQ32	Q6IQ32;A0A024R377
UniRef100_Q9H2P0	Q9H2P0;A0A2R8Y6X0
UniRef100_Q9BRR6	Q9BRR6;H3BU35
UniRef100_Q9NRN7	Q9NRN7
UniRef100_P54922	P54922
UniRef100_Q3LIE5	Q3LIE5;W0NWJ0
UniRef100_P08588	P08588
UniRef100_P07550	P07550;X5DQM5
UniRef100_P13945	P13945;A8KAG8
UniRef100_Q16186	Q16186
UniRef100_P22570	P22570;Q6GSK2
UniRef100_Q9Y6U3	Q9Y6U3;Q8NBV9;Q75MG0
UniRef100_P12235	P12235;A0A0S2Z3H3
UniRef100_P05141	P05141;Q6NVC0
UniRef100_P12236	P12236;Q6I9V5;Q59EI9
UniRef100_Q9H0C2	Q9H0C2
UniRef100_Q96IZ2	Q96IZ2
UniRef100_P10109	P10109
UniRef100_Q8IUX7	Q8IUX7;B4DJB3
UniRef100_Q6ZN18	Q6ZN18
UniRef100_Q96SZ5	Q96SZ5
UniRef100_Q6UXC1	Q6UXC1
UniRef100_Q8WTP8	Q8WTP8
UniRef100_P55197	P55197
UniRef100_P55198	P55198
UniRef100_Q8TED9	Q8TED9
UniRef100_Q8N4X5	Q8N4X5
UniRef100_Q13015	Q13015;Q6FGF7
UniRef100_P42568	P42568;A0A0S2Z448
UniRef100_P55196	P55196
UniRef100_P43652	P43652
UniRef100_Q8N556	Q8N556
UniRef100_Q9Y6Z5	Q9Y6Z5;B4E1B4
UniRef100_P51825	P51825
UniRef100_P51816	P51816
UniRef100_P51826	P51826;C9J622;A0A5F9ZHV2;C9JZ66
UniRef100_Q9UHB7	Q9UHB7
UniRef100_Q8WV93	Q8WV93
UniRef100_Q8NB90	Q8NB90
UniRef100_Q9Y4W6	Q9Y4W6
UniRef100_Q6ULP2	Q6ULP2
UniRef100_Q5BKT4	Q5BKT4
UniRef100_Q5I7T1	Q5I7T1
UniRef100_C9J202	C9J202
UniRef100_Q8TF27	Q8TF27;D3DWE7
UniRef100_P06280	P06280;Q53Y83
UniRef100_Q9UPQ3	Q9UPQ3;F5GXM9
UniRef100_Q99490	Q99490
UniRef100_Q96P47	Q96P47;A0A090N7Y0
UniRef100_Q96P64	Q96P64
UniRef100_A6NIR3	A6NIR3
UniRef100_Q5VW22	Q5VW22
UniRef100_Q5VUJ5	Q5VUJ5
UniRef100_Q5VTM2	Q5VTM2
UniRef100_P52594	P52594;A0A024R458;A0A0S2Z444
UniRef100_O95081	O95081;A4D2D6
UniRef100_Q8N302	Q8N302;A8K029
UniRef100_Q9H0P7	Q9H0P7
UniRef100_Q53H12	Q53H12;A4D1U5;A0A3B3ISY9;A0A0G2JLG5
UniRef100_O95394	O95394;A0A494C1E2;D6RF77;D6RC77
UniRef100_Q9UL18	Q9UL18;Q5TA58
UniRef100_Q9UKV8	Q9UKV8
UniRef100_Q9H9G7	Q9H9G7;A0A0U1RR19
UniRef100_Q9HCK5	Q9HCK5
UniRef100_O95994	O95994;Q4JM46;Q4JM47;C9J3E2
UniRef100_Q8TD06	Q8TD06
UniRef100_Q86SQ6	Q86SQ6
UniRef100_Q96PE1	Q96PE1
UniRef100_Q8IWK6	Q8IWK6;Q6JN45
UniRef100_O14514	O14514
UniRef100_O60241	O60241
UniRef100_O60242	O60242
UniRef100_Q6QNK2	Q6QNK2
UniRef100_Q7Z7M1	Q7Z7M1
UniRef100_Q14246	Q14246
UniRef100_Q9UHX3	Q9UHX3
UniRef100_Q9BY15	Q9BY15;M0R1G2
UniRef100_Q86SQ3	Q86SQ3
UniRef100_Q5T601	Q5T601
UniRef100_Q8IZF7	Q8IZF7
UniRef100_Q8IZF5	Q8IZF5
UniRef100_Q8IZF3	Q8IZF3
UniRef100_Q8IZF2	Q8IZF2
UniRef100_Q9Y653	Q9Y653;H3BNN3;H3BQ46;H3BSB8;A0A024R6U7;H3BS94;H3BVE9;H3BRI7;H3BTH7;H3BUH2;H3BSN7;H3BV52;H3BMF8;A0A5F9ZH94;H3BSR1;H3BT88;H3BRZ4;H3BRB4;H3BTK9;H3BV72;H3BS14;H3BRA1;H3BQW4;H3BQZ1;H3BSN3;H3BVD3;H3BRH0;H3BTD2;A0A1B0GX62
UniRef100_Q8IZP9	Q8IZP9
UniRef100_Q86Y34	Q86Y34;F8W8F7
UniRef100_Q8IZF6	Q8IZF6
UniRef100_Q8IZF4	Q8IZF4
UniRef100_Q86SQ4	Q86SQ4
UniRef100_Q96K78	Q96K78;Q6ZMH0
UniRef100_O00468	O00468;A0A087X208;Q5XG79;Q96QF8
UniRef100_O94910	O94910
UniRef100_O95490	O95490
UniRef100_Q9HAR2	Q9HAR2
UniRef100_Q9HBW9	Q9HBW9;A0A590UJX8;A0A590UJ41;A0A1W2PP07
UniRef100_O00253	O00253;C6SUN5
UniRef100_Q8WXG9	Q8WXG9
UniRef100_Q9BYV1	Q9BYV1
UniRef100_P30556	P30556;D3DNG8;Q53YY0;Q13063
UniRef100_P50052	P50052
UniRef100_Q5TGY3	Q5TGY3
UniRef100_Q8N157	Q8N157
UniRef100_Q8IVF2	Q8IVF2
UniRef100_Q09666	Q09666;E9PLK4;E9PKR9;E9PQE3
UniRef100_A9YTQ3	A9YTQ3;D6RF73
UniRef100_P35869	P35869;A0A024R9Z8
UniRef100_O95433	O95433;G3V438
UniRef100_Q719I0	Q719I0
UniRef100_Q9NZD4	Q9NZD4;Q549J4;H3BSK6
UniRef100_Q9GZX7	Q9GZX7;Q546Y9
UniRef100_Q96BJ3	Q96BJ3
UniRef100_Q9BQI0	Q9BQI0
UniRef100_P55008	P55008;Q4V347
UniRef100_O95831	O95831;E9PMA0;A0A140VK04
UniRef100_Q96NN9	Q96NN9
UniRef100_Q9NVV5	Q9NVV5
UniRef100_O14862	O14862;Q5T3W0
UniRef100_Q12904	Q12904;D6R937
UniRef100_Q13155	Q13155;A0A024QZY1;A8MU58
UniRef100_Q16352	Q16352;B4DE66
UniRef100_Q9NZN9	Q9NZN9;F1T0B6;F1T0C0
UniRef100_O00170	O00170;A7YDK7
UniRef100_O43918	O43918
UniRef100_Q9UKB5	Q9UKB5
UniRef100_C9J069	C9J069
UniRef100_Q96IF1	Q96IF1
UniRef100_Q02040	Q02040
UniRef100_P14550	P14550;V9HWI0
UniRef100_O60218	O60218
UniRef100_C9JRZ8	C9JRZ8
UniRef100_Q04828	Q04828
UniRef100_P52895	P52895;S4R3P0
UniRef100_P42330	P42330
UniRef100_P17516	P17516
UniRef100_P51857	P51857;C4PL35
UniRef100_Q53H64	Q53H64
UniRef100_O43572	O43572;A0A0S2Z4Z7
UniRef100_Q9UKA4	Q9UKA4;Q6AI61
UniRef100_Q02952	Q02952
UniRef100_Q86UN6	Q86UN6
UniRef100_O43687	O43687
UniRef100_Q9P0M2	Q9P0M2
UniRef100_P0CW23	P0CW23
UniRef100_Q92667	Q92667;I3L2N7;I3L2A2;A0A140VK05
UniRef100_Q9Y2D5	Q9Y2D5
UniRef100_O75969	O75969;V9HWD4;F5H7P4
UniRef100_Q5JQC9	Q5JQC9;A0A384MQY7;A0A075B6R4
UniRef100_P24588	P24588
UniRef100_Q13023	Q13023;D3DS91
UniRef100_O43823	O43823;Q9UG73
UniRef100_Q99996	Q99996
UniRef100_Q5T2L2	Q5T2L2
UniRef100_Q96JD6	Q96JD6
UniRef100_Q495B1	Q495B1;Q6PI29
UniRef100_A6NHY2	A6NHY2
UniRef100_Q9P2G1	Q9P2G1;Q4VBX8
UniRef100_Q9NQ31	Q9NQ31;E9PPN7
UniRef100_Q9NWT8	Q9NWT8
UniRef100_Q9H9L7	Q9H9L7
UniRef100_Q53H80	Q53H80
UniRef100_Q7Z591	Q7Z591
UniRef100_Q5T1N1	Q5T1N1;F8W8V4
