K16197	P31946;P27348;P63104;D0PNI1;V9HWD6
K05642	Q9BZC7
K05643	Q99758;Q4LE27
K05644	P78363;Q6AI28
K05648	Q8WWZ7
K05649	Q8N139
K05645	Q8IZY2;B3KUJ3
K05650	O94911;A0A024R8L6
K05651	Q8IUA7
K05652	Q8WWZ4
K05646	Q86UK0;B3KVV3
K05647	Q86UQ4;A0A0A0MT16
K05660	Q2M3G0
K05661	Q9NP58
K05662	O75027
K05656	Q9NP78;A0A024RBU1
K05657	Q9NRK6
K05664	O95342
K05032	Q09428
K05033	O60706;A0A024RAV7
K05671	Q96J66;A0A024R6Q6
K05675	P33897
K05676	Q9UBJ2
K05677	P28288
K05678	O14678;A0A024R6B9
K06174	P61221
K06184	Q8NE71;A0A1U9X609
K06185	Q9UG63;A0A090N7X1
K06158	Q9NUQ8;A0A0S2Z5L1
K05679	P45844
K05681	Q9UNQ0
K05680	Q9H172
K05683	Q9H222
K05684	Q9H221
K13704	Q8N2K0
K16932	P41238
K18772	Q9Y235
K18773	Q8WW27
K13707	Q6UXT9
K13696	Q96SE0;Q8WU67;A0A140VJD1
K13697	P08910;A0A024RC89
K13698	Q8TB40
K13699	Q8WTS1;A0A0S2Z5D6
K13700	Q9BV23;A0A024R323
K13701	Q96I13;B2C6G3
K13702	Q9NUJ1
K13703	Q8NFV4
K06889	Q7L211;A0A024RDX1
K13706	Q9BUJ0;Q96IU4;V9HW87
K23649	Q8IZP0
K05751	Q9NYB9;F8WAL6
K23710	Q9P2A4
K06619	P00519;A0A024R8E2;Q59FK4
K08887	P42684
K07520	O14639;Q6H8Q1;O94929
K20774	Q6UWZ7
K20799	Q15018
K20629	Q12979;Q6ZT60;B7Z7Z1
K14785	Q9ULW3;A0A024R029
K10520	Q969K4
K10521	Q8N961
K11262	Q13085
K01946	O00763
K11538	Q9UKU7
K15980	Q9H845
K00255	P28330
K00249	P11310;A0A0S2Z366
K00248	P16219;E5KSD5
K09479	P49748
K12489	Q15027;Q15057;Q96P50;Q8WTZ1
K03372	O00400
K15013	Q96GR2;Q5FVE4;A0A140VJD4;B3KNS7
K08762	P07108
K11729	Q6JQN1
K11730	Q709F0
K09478	P45954;A0A0S2Z3P9
K11114	Q96AP0
K09708	Q9BYF1
K01441	Q8TDN7;Q5QJU3;B3KVV5
K04711	Q9NUN7
K01049	P22303
K01283	P12821;B4DKH4
K04811	Q9GZZ6
K04804	Q15822
K04805	P32297
K04806	P43681;Q59FV0;B4DK78
K04807	P30532;Q6EWN4
K04808	Q15825
K04809	P36544
K04810	Q9UGM1
K04803	P02708;Q53SH4
K04813	P17787;Q5SXY3
K04814	Q05901
K04815	P30926
K04812	P11230
K04816	Q07001
K04817	Q04844
K04818	P07510
K12875	Q9UKV3
K08886	Q07912;B3KXJ4
K06574	Q16570;Q5Y7A2
K04187	O00590
K04304	P25106
K04186	Q9NPB9
K11340	O96019
K11652	O94805
K01648	P53396;A0A024R1T9
K04129	P11229;Q53XZ3
K04130	P08172;A4D1Q0;Q6SL56;Q86SJ1
K04131	P20309
K04132	P08173
K04133	P08912;A0A024R9I2
K03392	Q8TDX5
K12417	Q8WXI4
K01067	Q8WYK0
K17362	Q9NPJ3
K01681	P21399;Q99798;V9HWB7;Q9HBB2
K00507	O00767;Q86SK9;Q86UC8
K01068	Q86TX2;P49753;Q8N9L9;E9KL42
K11993	Q3I5F7
K11992	O14734
K17361	Q9Y305
K00232	Q15067;O15254
K10214	Q99424
K22390	Q6ZNF0
K01303	P13798
K03955	O14561
K01317	P10323
K01896	Q08AH3;Q68CK6;Q53FZ2;P0C7M7;Q6NUN0;Q6P461
K01895	Q9NUB1;Q9NR19;Q6DKJ3
K23617	Q96CM8
K18660	Q4G176
K00142	Q4L235;B4E2K0
K01897	P33121;O95573;O60488;Q9ULC5;Q9UKU0;A8K9T3;B2RB13
K23756	Q08AH1;B2RAP4
K01908	Q9H6R3
K12313	P62736;D2JYH4
K05692	P60709;P63261;Q1KLZ0
K12314	P68032;B3KPP5
K04200	Q01718
K12315	P63267
K05699	P12814;O43707;A0A024R694;A0A0S2Z3G9
K21073	P35609;Q08043;B4DZQ2
K10354	P68133
K16575	P42025;P61163;A0A384NQ21
K13567	P36896
K13568	Q8NER5
K13594	P37023;A0A0S2Z310
K04675	Q04771;D3DPA4
K14677	Q03154;V9HWA0;B4DNW0
K01437	P45381;Q6FH48
K18458	Q96HD9;A0A024R5L2
K01512	P07311;P14621;A0A140VJD7
K06704	O14672;A0A024R5U5
K16067	O75078
K06835	O43184
K06836	Q13444
K06059	P78536;B2RNB2
K16909	Q9Y3Q7
K08608	Q9H013;Q8TBU7
K04135	P35348
K04136	P35368
K04137	P25100;B0ZBE0
K08609	O43506;A0A494C0E3
K08610	Q9UKJ8
K16068	Q9P0K1
K06837	O75077;A0A024R3W8
K08614	Q9UKQ2
K16069	Q9UKF5;A0A140VJD8
K04138	P08913
K04139	P18089
K04140	P18825;Q4W594
K19572	Q9NZK5
K08615	Q9UKF2;Q8TBZ7
K16070	Q8TC27;A0A140VJD9
K08616	Q9BZ11
K06833	Q99965
K16071	Q9H2U9;A0A384MTL6
K06540	P78325;Q14C66
K06834	Q13443
K23781	O75689;Q9NPF8
K00803	O00116
K15440	Q9BUB4
K15441	Q7Z6V5
K15442	Q96EY9
K01488	P00813;A0A0S2Z381
K08869	Q86TW2;Q7Z695;Q3MIX3;Q8NI60;Q96D53;A4D1T6
K14350	Q6P093
K14351	Q5VUY0;Q5VUY2
K08041	Q08828
K08042	Q08462;Q71UM8
K08043	O60266
K08044	Q8NFM4
K08045	O95622;A0A384P5Q5;B7Z2C7
K08046	O43306
K08047	P51828;Q86YI0
K08048	P40145;A0A0K0K1K3;Q4F7X0
K08049	O60503
K11265	Q96PN6;A0A0K0K1J8
K18622	P35611;P35612;Q9UEY8;Q5VU08;Q05DK5;Q53FL4
K08634	O15204;B7Z6V5
K13951	P07327;P00325;P00326;P40394;V9HW50
K13980	P08319;V9HVX7
K13952	P28332;Q8IUN7
K00121	P11766;Q6IRT1
K21409	Q0VDE8;A0A158RFT8
K21410	Q5T7M4
K07296	Q15848;A8K660;B2R773
K06085	Q9Y2D8
K21408	Q15847;Q5TBU5
K00856	P55263
K12333	P35318
K22591	Q9H2P0
K08074	Q9BRR6
K06133	Q9NRN7
K01245	P54922
K01517	Q3LIE5;W0NWJ0
K04141	P08588
K04142	P07550
K04143	P13945;A8KAG8
K06691	Q16186
K18914	P22570;A0A0C4DFN8
K05768	Q9Y6U3;P06396;A0A384MEF1
K05863	P12235;P05141;P12236;Q9H0C2;Q6I9V5;Q6NVC0;A0A0S2Z3H3
K22070	P10109
K21392	Q8IUX7
K17452	Q6ZN18
K10712	Q96SZ5;B3KXN9
K18340	Q8WTP8
K23588	P55197;P55198;Q59EQ6;Q6N002
K23782	Q8TED9;Q8N4X5
K15187	P42568;Q03111;A0A0S2Z448
K05702	P55196;A8MQ02;G1UI22
K18616	Q8N556
K15184	P51825;Q14C88
K15194	P51816
K15195	P51826
K15185	Q9UHB7
K18798	Q8WV93
K14575	Q8NB90
K08956	Q9Y4W6;Q8TA92
K03850	Q5BKT4;Q5I7T1
K12491	Q8TF27;Q9UPQ3;Q96P47;Q96P64;A6NIR3;Q5VW22;Q5VTM2;B2RZG9;Q86XV5
K01189	P06280;Q53Y83
K17848	Q99490;F8VVT9
K15044	P52594;A0A0S2Z444
K09881	Q53H12;A4D1U5
K01836	O95394
K11593	Q9UL18;Q9UKV8;Q9H9G7;Q9HCK5;B4E1P5;B2RAD8
K20356	O95994;Q4JM46
K20357	Q8TD06
K08460	Q86SQ6
K08461	Q96PE1;Q6YN44
K08462	Q8IWK6
K04596	O14514
K04597	O60241
K04598	O60242
K08465	Q6QNK2;Q9NSM3
K04591	Q14246
K08443	Q9UHX3;A0JNV7
K08444	Q9BY15;Q0IJ53;B7Z5A1;A1L1B9
K08453	Q5T601
K08454	Q8IZF7
K08456	Q8IZF5
K08457	Q8IZF3
K08458	Q8IZF2
K08450	Q9Y653;A0A024R6U7
K08451	Q8IZP9
K08452	Q86Y34
K08455	Q8IZF6
K08459	Q8IZF4
K08463	Q86SQ4
K08464	Q96K78;Q6ZMH4
K06254	O00468
K04592	O94910
K04593	O95490
K04594	Q9HAR2
K04595	Q9HBW9
K05231	O00253;C6SUN5
K18263	Q8WXG9
K00827	Q9BYV1
K04166	P30556;Q53YY0
K04167	P50052
K22592	Q5TGY3
K16740	Q8N157
K09094	A9YTQ3
K09093	P35869;A0A024R9Z8
K10989	Q9GZX7;Q546Y9;Q7Z599
K18617	Q9BQI0;P55008;Q4V347
K04727	O95831
K22747	Q96NN9
K12966	O14862
K15437	Q12904;B4DNK3
K15438	Q13155;A0A024QZY1
K07608	Q16352
K17767	Q9NZN9;O00170;F1T0B6;G9I2H4
K10603	O43918
K21387	Q9UKB5
K16682	Q96IF1;Q9UGP4;A6NIX2
K13169	Q02040;Q05DA9
K00002	P14550;V9HWI0
K00011	O60218;P15121;A0A024R7A8
K00212	Q04828
K00089	P52895
K04119	P42330;A0A0A0MSS8
K00037	P17516
K00251	P51857
K16526	O43572;A0A0S2Z4Z7
K16527	Q9UKA4
K16528	Q02952;Q86TJ9
K16530	Q86UN6
K16524	Q9P0M2;Q2TAJ5
K16518	Q92667;B4DN86;A0A140VK05
K16520	O75969;V9HWD4
K16521	Q5JQC9;A0A384MQY7
K16522	P24588;Q6PG46
K16523	Q13023;B2RP22
K16525	O43823
K16551	Q99996;Q6PJH3;Q5GIA7
K13981	Q96JD6
K11967	Q9P2G1
K16830	Q9NWT8
K21404	Q7Z591;Q64FY1
K16529	Q12802
K15978	Q9ULX6
K04456	P31749;P31751;Q9Y243;B0LPE5
K16184	Q96B36;A0A024QZF6
K07249	P00352;O94788;V9HW83
K00129	P47895;P30838;P43353;A0A024RC95;A0A024R5D8;Q6PKA6
K00128	P30837;P51648;P05091;A0A384NPN7;A0A384MTJ7
K00289	O75891;Q3SY69;Q53H87;B4DTU7
K00294	P30038;A0A024RAC7
K20735	P20292
K14085	P49419
K23234	Q9H2A2
K00149	P49189
K00814	P24298;Q8TD30;A0A024R6R2
K16141	P02768
K01623	P04075;P05062;P09972;A0A024QZ64;V9HWN7;A0A024R145
K03844	Q2TAA5
K03847	Q9BV10;A0A024R4V6
K07432	Q9NP73
K07441	Q96F25
K03842	Q9BT22
K03843	Q9H553;A0A024R184
K03845	Q92685
K00729	Q9Y673
K03848	Q9Y672
K03849	Q9BVK2;A0A024R5K5
K03846	Q9H6U8
K10765	Q13686;Q5XKL0
K10859	Q6NS38
K10860	Q96Q83
K10766	Q9NXW9
K10767	Q6P6C2
K10768	Q3KRA9;B4E3P3
K10769	Q9BT30
K10770	Q96BT7
K15537	Q6ZNB7;X5D773
K05119	Q9UM73;B6D4Y2
K01477	Q8N6M5
K16741	Q8TCU4
K08868	Q96QP1;Q86TB3;Q96L96
K17783	P55789
K04575	Q96Q42;A8K4R4
K17256	P35858;Q8TAY0
K09334	Q15699;V9HWA7
K09323	O95076
K09451	Q9H161
K01796	Q9UHK6
K23442	Q9NP70;Q546D7
K23620	P02760
K00504	P19021
K18200	P19021
K23443	Q99217;Q99218
K19407	Q5JTC6
K10636	Q9UKV5
K22529	Q86WK6;Q86SJ2;Q86WK7;A0A024R127
K04672	Q16671
K18259	Q9BXJ7
K06104	Q8IY63;Q9Y2J4;A0A024R3A6
K16819	Q4VCS5
K01260	Q9H4A4
K01490	P23109;Q01433;Q01432
K11141	Q07075
K12562	P49418;O00499;A0A024RAF1
K11142	P28838
K11140	P15144;A0A024RC61;Q59E93
K09606	Q8N6M6
K13724	Q6Q4G3;Q0P5U8
K17985	Q9C0C7
K22290	P30533
K01176	P04745;P19961;P04746;Q53F26;Q6NSB3
K06974	Q400G9;Q86W34;A4D202
K21437	Q8IZ07;Q86YJ7;Q8N6S4;Q6ZTN6;A0A024R5D5;Q3ZTS7;A0A024QZ29;Q9Y5A3;B3KS27
K18646	P39687;O43423;O95626;A0A384P5U2
K18647	Q92688
K18648	Q9BTT0
K01205	P54802;A0A140VJE4
K03349	Q9UJX6
K08557	P10275;Q9NUA2
K12335	P16860
K12336	P23582;E5LCN7
K20129	Q9P2R3
K12334	P01160
K18729	Q9UNK9;Q5VTE6;A0A024R6B2;Q96AL9
K16631	P03950;W0UV28
K22288	Q9Y5C1
K08767	Q9BY76
K22289	Q6UXH0
K05465	Q15389
K05466	O15123
K05467	Q9Y264
K09821	P01019;B0ZBE2;B2R5S1
K10380	P16157;Q01484;Q12955
K16726	Q8IWZ3;O75179
K22734	Q9HCJ1
K16289	Q8NFD2
K21411	Q8NAG6;B4E124;A0A499FJM0
K21412	Q86XL3
K21433	Q15327;A0A384NYH5
K21434	Q9GZV1
K21435	Q9Y2G4;B7Z3D2
K21415	Q68DC2;B3KXP1
K18621	Q9NQW6;A0A024RA49
K11434	Q99873
K11435	P55345;A0A0S2Z3N3
K11436	O60678
K02516	O14744
K11437	Q96LA8
K11438	Q9NVM4;A0A024R726
K11439	Q9NR22;Q59GT2
K19737	Q6P2P2
K19327	Q9NW15
K19496	Q5XXA6;Q9NW72
K19497	Q9NQ90;F1T0L7
K19498	Q9BYT9
K19499	Q32M45;B7Z9Z0
K19480	Q75V66
K19500	Q4KMQ2;B3KX12
K19501	Q6IWH7
K19502	Q9HCE9
K19503	A1A5B4
K12323	P16066;A0A140VJE6
K12324	P20594
K12325	P17342;A8K4A5
K21436	Q6UB99;Q6UB98
K21438	Q86SG2
K20175	Q96NW4
K15502	O15084
K17593	Q8N9B4
K15503	Q8N8A2
K21439	Q8WVL7;A0A024R398
K21440	Q9ULJ7
K15504	Q8NB46;B3KWN0
K21441	Q8N9V6
K21442	Q6NXT1
K21486	Q9H9E1;A0A024RAN7
K21413	Q92625;Q7Z6G8;Q05CP0
K21414	Q8N8V4
K03911	P01008;A0A024R944
K20909	Q9H6X2;P58335;Q53FL1
K17097	Q9UJ72
K17095	P50995;P20073;Q5T0G8;B2R657
K17099	P27216;Q53FB5
K17091	P04083;Q5TZZ9
K17092	P07355;A0A024R5Z7
K17089	P12429
K17093	P09525;Q6LES2;Q6P452
K16646	P08758;V9HWE0
K17094	P08133;A0A0S2Z2Z6
K17096	P13928;Q5VT79
K17090	O76027
K01065	P28039
K11182	P19801
K00276	O75106;Q16853;Q9UEU7
K00274	P21397;P27338;Q53YE7;Q49A63
K00157	Q06278
K20043	O60641
K12392	Q10567
K12391	O43747;O75843;Q8IY97
K12393	Q9BXS5;Q9Y6Q5;A0A024R7K8;B3KNH5
K12394	P61966;P56377;Q549M9;A0A024QYT6
K12395	Q96PC3
K11824	O95782;O94973
K09176	P05549;Q92481
K11825	P63010
K09177	Q92754
K09178	Q7Z6R9
K09179	Q6VUC0
K11826	Q96CW1
K11827	P53680
K12397	O00203;Q13367;A0A0S2Z5J4
K12396	O14617
K12398	Q9Y2T2;P53677;A0A024QZR5;A0A384NYL6
K12399	Q92572;P59780;A0A024RC62
K01518	P50583
K12401	Q9Y6B7
K12400	Q9UPM8;B4DM48
K12402	O00189
K12403	Q9Y587
K19022	Q2VPB7
K19023	Q9H0R1;A0A024R654
K19024	Q9NUS5
K19025	O43299
K02084	O14727
K04531	Q02410
K20055	Q99767;Q59G28
K04529	O00213
K04530	Q92870;B4DJ88;B4E2F2
K03357	Q9UM13
K03358	Q9NYG5
K12456	Q9BS18;A8K3Z6
K03348	Q9H1A4
K03351	Q9UJX5
K03352	Q9UJX4
K03354	Q9UJX3;A0A024RBJ3;Q4KMX6;Q69YV3
K02085	O95996;P25054;Q4LE70
K05225	Q9ULZ1
K10771	P27695;Q5TZP7
K10772	Q9UBZ4;E5KN95
K06172	Q96BI3;Q8WW43
K04174	P35414;B3KQN4;B2RDH3
K13295	Q8IW19
K05639	P51693
K08117	Q06481
K21407	Q9HDC9
K08757	P02647;A0A024R3E3
K08758	P02652
K09025	Q6Q788;A0A0B4RUS7
K14462	P04114;Q7Z7Q0;Q59HB3
K22286	P02654;A0A024R0T8
K22287	P02655;A0A024R0T9
K08759	P02656;A3KPE2
K03098	P05090
K04524	P02649;A0A0S2Z3D5
K17305	P02749;A0A384NKM6
K23585	O14791
K14480	Q9BQE5;O95236;Q9BPW4;Q9BWW9;Q9BWW8;B3KTP4;A0A024R1M8
K10131	Q13794;A0A0S2Z490
K10863	Q7Z2E3
K00759	P07741
K09871	Q8IXF9;A6NM10;Q8IUS6
K09878	Q96PS8
K09870	Q8NBQ7
K09864	P29972;A0A024RA31
K09865	P41181
K09876	Q92482
K09866	P55087;F1DSG4
K09867	P55064
K09868	Q13520
K08771	O14520
K09869	O94778
K09877	O43315
K12874	O60306;A0A024R9L1
K07961	Q5H913
K07962	Q3SXY8
K16742	Q9Y2Y0;A0A024R6U9
K08845	P10398;A0A024R178
K18439	Q96P48
K18440	Q8WZ64;A7E2A5
K12490	Q8WWN8;Q05CH1;Q9H7C1
K00910	P25098;P35626;Q8N433;A0A024R1D8;A0A0S2Z392
K05757	Q92747;O15143;A4D275;V9HVZ6
K15867	Q7LC44
K09782	P15514
K22370	O15033
K07937	P84077
K07938	P61204;A0A024R0Y6
K07939	P18085
K07940	P84085;A4D0Z3
K07941	P62330
K12492	Q8N6T3;Q53F62
K12493	Q8N6H7;Q9NP61;A0A024R4U0
K20314	P53367;P53365;B4E273;B4DXH2;Q8N8M9
K07952	Q13795;A0A384P5U7;B7ZKY8
K21072	Q8N1W1
K23798	Q8N4T4
K16727	Q9HCE6;O15013
K01476	P05089;P78540;A0A024R6A0
K13173	Q9NWB6;A0A024RDW4
K20710	A1IGU5
K20711	Q9NXL2
K12330	Q92888;A0A024R0R1
K12791	Q92974
K20683	Q9NR81;Q7Z628;Q5SQI5
K05769	Q9NR80;Q96N96;A0A024RDM6;Q9NTG0
K20684	Q12774
K05729	Q15052;Q8N4Q3
K13710	Q14155;Q5W9H1
K20686	O43307
K12331	O15085
K07532	Q9NZN5;B4E2K6
K20687	O94989;A0A0S2Z547
K20688	Q5VV41;B3KTS4
K20689	Q96PE2
K21066	Q6ZSZ5;A0A3B3IPE9
K20691	Q8IW93;B4DN02
K20690	Q86VW2
K13744	Q96DR7;B3KXG0;A0A140VJU4
K11687	Q9NX46
K12474	Q5SW96;B3KR97
K11653	O14497;Q8NFD5
K11968	Q9Y4X5
K11969	O95376;Q6IBL8;Q53ET9
K19194	P29374;A0A024R657;Q05CG0
K19195	Q4LE39
K11765	Q68CP9
K10876	Q9Y4B4
K15303	O43488;O95154;A0A384MDN8;V9HWA2
K07958	Q8N8L6;Q6PCE2
K07959	Q969Q4
K17200	Q8N4G2
K17201	Q9NXU5
K07942	P40616
K07943	P36404;Q53YD8
K07944	P36405
K07945	P40617;P56559;P49703;A0A024R4C5;A0A024R9Z2
K07949	Q9Y689
K07950	Q96KC2;B0YIW9
K07960	A6NH57
K07951	Q9H0F7
K07955	Q96BM9;Q9NVJ2;A0A024R977
K07957	Q6T311
K01755	P04424;A0A024RDL8
K17306	Q9NVT9
K22499	Q96C12
K23336	Q8IUR7
K22864	Q7Z3E5;A0A024R486
K23114	Q9H993
K15589	Q9HBZ2;Q7Z3A3;X5DQN9;Q86TN1
K09097	P27540
K16576	Q9NZ32
K17260	P61160
K18584	Q9P1U1;Q9C0K3;P61158;A0A024RAI1;Q59GD5
K05754	Q9BPX5;O15511;A0A024R897;B3KPC7
K11672	Q9H9F9
K11662	Q9GZN1
K11673	Q9H981
K05758	O15144;Q53R19
K05756	O15145
K05755	P59998
K04439	P49407;P32121;B7Z1Q3
K13801	P36575
K19627	P10523
K01134	P15289;A0A0C4DFZ2;B4DVI5
K01135	P15848;A0A024RAJ9
K12374	P51689;P54793;Q5FYA8;A0A140VK06
K12381	Q96EG1;A0A024R8K1
K12375	Q5FYB1;Q5FYB0
K12376	Q6UWY0
K18222	P51690
K21848	Q9H2C2;A0A024R3V6
K09452	Q96QS3
K00622	P18440;P11245;A4Z6T7
K07755	Q9HBK9
K12348	Q13510;A8K0B6;Q53H01
K12349	Q9NR71
K12488	Q9ULH1;O43150;Q8TDY4;A0A024RAB1
K10332	Q8WXI3
K10333	Q8WXH4
K10334	Q8WXK4
K10335	Q8WXK3
K10336	A6NK59
K10337	Q8WXK1;A0A384NYV2
K10338	Q96NS5
K10339	Q8WXJ9
K10340	Q6ZVZ8
K10323	Q9Y576
K10324	Q96Q27
K10325	Q9Y575
K10326	Q9Y574
K10327	Q8WWX0;Q5HYF3
K10328	Q9NWX5
K10329	Q9H672;A0A024RC94
K10330	Q9H765
K10331	Q96DX5;A0A024RBW7
K18666	Q8N9N2
K18667	Q9H1I8;A0A024R1F9
K18663	Q8N3C0;B4DR60
K09067	P50553;Q99929;Q9NQ33;Q6XD76;M0R2M9
K12799	Q9ULZ3
K10753	Q9Y294;Q9NVP2;A0A024R7G4
K13051	Q7L266;A0A024R573
K10063	P07306;Q6FGQ5
K10064	P07307
K06101	Q9NR48
K14964	Q9UBL3
K15432	Q9BVC5
K04829	P78348;A8K1U5
K04828	Q16515
K04830	Q9UHC3;A0A090N7X8
K04831	Q96FT7
K04832	Q9NY37
K08725	P42127
K01128	Q92484;Q92485;B4DW34
K00543	P46597;A0A024RBT9
K12350	P17405;Q59EN6
K01551	O43681
K01953	P08243
K15627	Q9BZE9
K06989	A6ND91
K01444	P20933
K00476	Q12797
K16743	Q8IZT6;B3KWI2
K08120	Q9BXN1;Q6P528
K17554	Q96KQ4
K16823	Q13625
K01940	P00966;Q5T6L4
K08778	Q6HA08
K11471	Q8IXJ9;Q76L83;Q9C0F0
K18410	Q8WWH4
K01530	O60312;O94823;Q9P241;P98196;Q9Y2G3;Q8NB49;O43520;P98198;O60423;Q8TF62;O75110;O43861;Q2NLD0;B4E3T1;B3KSI8;Q659C3;B4DKX1;Q6PJ25;B4DR18;Q69YZ7;Q6PG43;Q7Z3J4
K01544	P54707;B4E0R9
K14950	Q9HD20;A0A024R7N2
K13526	Q9NQ11
K14951	Q9H7F0;Q4VNC1;Q4VNC0;B3KU47
K01539	P05023;P50993;P13637;Q13733;A0A0S2Z3W6;Q53ES0
K01540	P05026;P14415;P54709;Q9UN42;A3KLL5
K05853	O14983;P16615;Q93084;A0A0S2Z3L2;Q7Z675;A8K9K1
K05850	P20020;Q01814;Q16720;P23634;A0A024RBC7;A0A024R968
K01537	P98194;O75185
K14286	Q8TBG4
K18202	Q8IUZ5
K02127	P24539;Q08ET0
K02128	P05496;Q06055;P48201;Q6FIH7
K11318	Q9ULK2;Q5T6C5;O15265;Q9UPD8
K11363	Q14CW9
K14802	Q9Y2Q0;Q9NTI2;Q6ZU25
K22530	Q8NBU5
K22531	Q6PL18;Q9ULI0;A0A024R9G7;B3KWS5
K19573	Q5SQI0;A0A1U9X797
K18450	Q86WG3;A0A0S2Z5T8
K17681	Q9NVI7;Q5T9A4
K00685	O95260;B3KWA3
K09053	P18846
K04450	P15336
K09032	P18847
K04374	P18848
K09044	Q9Y2D1;A0A024QZG3
K09054	P18850;A8K383
K09049	Q99941;Q6AZW6
K09045	P17544
K17888	Q9H0Y0
K08336	O94817
K08331	O75143;A8K0S6
K17906	Q2TAZ0;Q96BY7
K08343	Q9NT62
K08342	Q8WYN0;Q9Y4P1;Q96DT6;Q86TL0;B3KVU2;A0A384MTY5
K08339	Q9H1Y0;A9UGY9;Q7Z3H3
K08337	O95352;B3KQM6
K17907	Q7Z3C6;Q674R7;A0A024R438
K19730	Q9BSB4;A0A024R128
K22255	Q9UII2
K23369	Q6UY14;Q9UFG7;B7ZMJ3
K17339	Q8WXF7;Q8NHH9;Q6DD88;A0A0S2Z5B0;Q53F53
K04728	Q13315;A0A024R3C7
K05626	P54259;Q86V38
K01538	P54710
K09083	Q92858;Q8N100;F1T0H4
K09084	Q96SQ7
K07213	O00244
K18156	Q9Y6H3
K01542	P20648;Q658V6;A0A384MR29
K01543	P51164
K02135	P56381
K02138	O75947;A0PJH2
K02129	P56385
K02131	P18859;Q6IB54;Q6NZ59
K02140	O75964
K07554	Q99766
K18193	P56378
K02126	P00846;Q0ZFE3
K17686	Q04656;P35670;B7ZLR4;A0A024RDX3;B4DRW0;Q762B6
K02125	P03928;U5YV54
K02132	P25705;V9HW26
K02133	P06576;V9HW31
K02134	P30049
K07555	Q5TC12;I3L448
K07556	Q8N5M1
K02136	P36542;Q8TAS0
K02130	P56134
K18194	Q96IX5
K02137	P48047
K10905	Q8WXE1;A0A024R2U4
K10779	P46100;A4LAA3;B4DLW1
K06640	Q13535
K08625	Q9H324;A0A0A0MQW6;Q6ZN14;Q59FE5
K08626	P58397
K08627	Q76LX8
K08628	Q8WXS8
K08629	Q8TE58
