DG00001	Chlorhexidine
DG00577	Cefixime
DG00578	Cefodizime
DG00579	Cefetamet
DG00580	Cefpiramide
DG00581	Cefoperazone
DG00582	Cefpodoxime
DG00583	Ceftibuten
DG00584	Cefditoren
DG00585	Cefcapene
DG00586	Cefepime
DG00587	Cefpirome
DG00588	Cefozopran
DG00589	Aztreonam
DG00590	Carumonam
DG00591	Meropenem
DG00592	Ertapenem
DG00593	Doripenem
DG00594	Faropenem
DG00595	Trimethoprim
DG00596	Iclaprim
DG00597	Sulfadimidine
DG00598	Sulfisoxazole;Sulfafurazole
DG00599	Sulfadiazine
DG00600	Sulfadimethoxine
DG00601	Sulfamethoxypyridazine
DG00602	Spiramycin
DG00603	Oleandomycin
DG00604	Josamycin
DG00605	Clarithromycin
DG00606	Azithromycin
DG00607	Lincomycin
DG00608	Tobramycin
DG00609	Netilmicin
DG00610	Sisomicin
DG00611	Dibekacin
DG00612	Ribostamycin
DG00613	Isepamicin
DG00614	Arbekacin
DG00615	Bekanamycin
DG00616	Ofloxacin
DG00617	Ciprofloxacin
DG00618	Pefloxacin
DG00619	Enoxacin
DG00620	Norfloxacin
DG00621	Lomefloxacin
DG00622	Rufloxacin
DG00623	Grepafloxacin
DG00624	Levofloxacin
DG00625	Trovafloxacin
DG00626	Moxifloxacin
DG00627	Gemifloxacin
DG00628	Gatifloxacin
DG00629	Pazufloxacin
DG00630	Nalidixic acid
DG00631	Pipemidic acid
DG00632	Oritavancin
DG00633	Fosfomycin
DG00634	Spectinomycin
DG00635	Methenamine
DG00636	Caspofungin
DG00637	Micafungin
DG00638	Aminosalicylic acid
DG00639	Rifampicin
DG00640	Rifamycin
DG00641	Capreomycin
DG00642	Isoniazid
DG00643	Ethambutol
DG00644	Bedaquiline
DG00645	Vidarabine
DG00646	Ganciclovir
DG00647	Valaciclovir
DG00648	Cidofovir
DG00649	Valganciclovir
DG00650	Rimantadine
DG00651	Foscarnet
DG00652	Fosfonet
DG00653	Saquinavir
DG00654	Indinavir
DG00655	Nelfinavir
DG00656	Fosamprenavir
DG00657	Atazanavir
DG00658	Tipranavir
DG00659	Darunavir
DG00660	Abacavir
DG00661	Entecavir
DG00662	Delavirdine
DG00663	Rilpivirine
DG00664	Zanamivir
DG00665	Oseltamivir
DG00666	Raltegravir
DG00667	Dolutegravir
DG00668	Diphtheria antitoxin
DG00669	Tetanus antitoxin
DG00670	Tetanus immunoglobulin
DG00671	Diphtheria toxoid
DG00672	Pneumococcus, purified polysaccharides antigen conjugated
DG00673	Tetanus toxoid
DG00674	Influenza, inactivated, whole virus
DG00675	Cyclophosphamide
DG00676	Melphalan
DG00677	Chlormethine
DG00678	Bendamustine
DG00679	Nimustine
DG00680	Dacarbazine
DG00681	Methotrexate
DG00682	Pemetrexed
DG00683	Mercaptopurine
DG00684	Tioguanine
DG00685	Fludarabine
DG00686	Cytarabine
DG00687	Fluorouracil
DG00688	Gemcitabine
DG00689	Vinblastine
DG00690	Vincristine
DG00691	Vindesine
DG00692	Vinorelbine
DG00693	Etoposide
DG00694	Docetaxel
DG00695	Cabazitaxel
DG00696	Doxorubicin
DG00697	Daunorubicin
DG00698	Epirubicin
DG00699	Aclarubicin
DG00700	Idarubicin
DG00701	Mitoxantrone
DG00702	Pirarubicin
DG00703	Amrubicin
DG00704	Pixantrone
DG00705	Bleomycin
DG00706	Procarbazine
DG00707	Methyl aminolevulinate
DG00708	Aminolevulinic acid
DG00709	Efaproxiral
DG00710	Imatinib
DG00711	Erlotinib
DG00712	Sunitinib
DG00713	Sorafenib
DG00714	Dasatinib
DG00715	Lapatinib
DG00716	Nilotinib
DG00717	Afatinib
DG00718	Bosutinib
DG00719	Ruxolitinib
DG00720	Regorafenib
DG00721	Dabrafenib
DG00722	Ponatinib
DG00723	Trametinib
DG00724	Estramustine
DG00725	Topotecan
DG00726	Irinotecan
DG00727	Anagrelide
DG00728	Oblimersen
DG00729	Buserelin
DG00730	Leuprorelin
DG00731	Goserelin
DG00732	Triptorelin
DG00733	Histrelin
DG00734	Tamoxifen
DG00735	Toremifene
DG00736	Degarelix
DG00737	Interferon gamma
DG00738	BCG vaccine
DG00739	Mycophenolic acid
DG00740	Gusperimus
DG00741	Fingolimod
DG00742	Tofacitinib
DG00743	Azathioprine
DG00744	Lenalidomide
DG00745	Phenylbutazone
DG00746	Oxyphenbutazone
DG00747	Tolmetin
DG00748	Bumadizone
DG00749	Lonazolac
DG00750	Proglumetacin
DG00751	Ketorolac
DG00752	Piroxicam
DG00753	Ketoprofen
DG00754	Fenoprofen
DG00755	Flurbiprofen
DG00756	Dexibuprofen
DG00757	Flufenamic acid
DG00758	Meclofenamic acid
DG00759	Parecoxib
DG00760	Glucosamine
DG00761	Tenidap
DG00762	Chondroitin sulfate
DG00763	Penicillamine
DG00764	Felbinac
DG00765	Bendazac
DG00766	Tolperisone
DG00767	Tubocurarine
DG00768	Suxamethonium
DG00769	Pancuronium
DG00770	Vecuronium
DG00771	Atracurium
DG00772	Botulinum toxin
DG00773	Tizanidine
DG00774	Pridinol
DG00775	Cyclobenzaprine
DG00776	Eperisone
DG00777	Fenyramidol
DG00778	Dantrolene
DG00779	Allopurinol
DG00780	Etidronic acid
DG00781	Clodronic acid
DG00782	Pamidronic acid
DG00783	Alendronic acid
DG00784	Tiludronic acid
DG00785	Ibandronic acid
DG00786	Risedronic acid
DG00787	Zoledronic acid
DG00788	Hydroquinine
DG00789	Methohexital
DG00790	Thiopental
DG00791	Fentanyl
DG00792	Alfentanil
DG00793	Sufentanil
DG00794	Anileridine
DG00795	Remifentanil
DG00796	Ketamine
DG00797	Propofol
DG00798	Hydroxybutyric acid
DG00799	Xenon
DG00800	Chloroprocaine
DG00801	Bupivacaine
DG00802	Mepivacaine
DG00803	Prilocaine
DG00804	Etidocaine
DG00805	Articaine
DG00806	Ropivacaine
DG00807	Levobupivacaine
DG00808	Cocaine
DG00809	Dyclonine
DG00810	Morphine
DG00811	Hydromorphone
DG00812	Nicomorphine
DG00813	Oxycodone
DG00814	Dihydrocodeine
DG00815	Ketobemidone
DG00816	Pethidine
DG00817	Dextromoramide
DG00818	Dextropropoxyphene;Propoxyphene
DG00819	Pentazocine
DG00820	Buprenorphine
DG00821	Butorphanol
DG00822	Nalbuphine
DG00823	Tilidine
DG00824	Tramadol
DG00825	Meptazinol
DG00826	Tapentadol
DG00827	Metamizole sodium
DG00828	Propacetamol
DG00829	Viminol
DG00830	Nefopam
DG00831	Flupirtine
DG00832	Ziconotide
DG00833	Dihydroergotamine
DG00834	Ergotamine
DG00835	Methysergide
DG00836	Sumatriptan
DG00837	Naratriptan
DG00838	Rizatriptan
DG00839	Almotriptan
DG00840	Eletriptan
DG00841	Frovatriptan
DG00842	Pizotifen
DG00843	Dimetotiazine
DG00844	Oxetorone
DG00845	Phenobarbital
DG00846	Phenytoin
DG00847	Fosphenytoin
DG00848	Eslicarbazepine
DG00849	Valproic acid
DG00850	Tiagabine
DG00851	Trihexyphenidyl
DG00852	Biperiden
DG00853	Metixene
DG00854	Procyclidine
DG00855	Profenamine
DG00856	Dexetimide
DG00857	Mazaticol
DG00858	Tropatepine
DG00859	Benzatropine
DG00860	Amantadine
DG00861	Pergolide
DG00862	Ropinirole
DG00863	Pramipexole
DG00864	Selegiline
DG00865	Rasagiline
DG00866	Budipine
DG00867	Chlorpromazine
DG00868	Levomepromazine
DG00869	Promazine
DG00870	Acepromazine
DG00871	Triflupromazine
DG00872	Cyamemazine
DG00873	Chlorproethazine
DG00874	Fluphenazine
DG00875	Perphenazine
DG00876	Prochlorperazine
DG00877	Trifluoperazine
DG00878	Acetophenazine
DG00879	Thioproperazine
DG00880	Butaperazine
DG00881	Perazine
DG00882	Thioridazine
DG00883	Mesoridazine
DG00884	Pipotiazine
DG00885	Haloperidol
DG00886	Trifluperidol
DG00887	Melperone
DG00888	Moperone
DG00889	Pipamperone
DG00890	Bromperidol
DG00891	Molindone
DG00892	Ziprasidone
DG00893	Flupentixol
DG00894	Chlorprothixene
DG00895	Tiotixene
DG00896	Zuclopenthixol
DG00897	Loxapine
DG00898	Olanzapine
DG00899	Quetiapine
DG00900	Sultopride
DG00901	Tiapride
DG00902	Remoxipride
DG00903	Lithium
DG00904	Prothipendyl
DG00905	Mosapramine
DG00906	Aripiprazole
DG00907	Paliperidone
DG00908	Chlordiazepoxide
DG00909	Medazepam
DG00911	Adinazolam
DG00912	Hydroxyzine
DG00913	Buspirone
DG00914	Etifoxine
DG00915	Pentobarbital
DG00916	Amobarbital
DG00917	Secobarbital
DG00918	Cyclobarbital
DG00919	Flurazepam
DG00920	Midazolam
DG00921	Loprazolam
DG00922	Zolpidem
DG00923	Clomethiazole
DG00924	Propiomazine
DG00925	Triclofos
DG00926	Dexmedetomidine
DG00927	Desipramine
DG00928	Imipramine
DG00929	Clomipramine
DG00930	Opipramol
DG00931	Trimipramine
DG00932	Lofepramine
DG00933	Dibenzepin
DG00934	Amitriptyline
DG00935	Nortriptyline
DG00936	Protriptyline
DG00937	Doxepin
DG00938	Melitracen
DG00939	Butriptyline
DG00940	Dosulepin
DG00941	Maprotiline
DG00942	Fluoxetine
DG00943	Citalopram
DG00944	Paroxetine
DG00945	Sertraline
DG00946	Fluvoxamine
DG00947	Escitalopram
DG00948	Phenelzine
DG00949	Tranylcypromine
DG00950	Iproniazide
DG00951	Mianserin
DG00952	Trazodone
DG00953	Nefazodone
DG00954	Minaprine
DG00955	Bifemelane
DG00956	Viloxazine
DG00957	Bupropion
DG00958	Tianeptine
DG00959	Venlafaxine
DG00960	Milnacipran
DG00961	Reboxetine
DG00962	Duloxetine
DG00963	Desvenlafaxine
DG00964	Vilazodone
DG00965	Vortioxetine
DG00966	Amfetamine
DG00967	Dexamfetamine
DG00968	Metamfetamine
DG00969	Methylphenidate
DG00970	Atomoxetine
DG00971	Fenetylline;Fenethylline
DG00972	Dexmethylphenidate
DG00973	Lisdexamfetamine
DG00974	Caffeine
DG00975	Meclofenoxate
DG00976	Pyritinol
DG00977	Deanol
DG00978	Citicoline
DG00979	Pirisudanol
DG00980	Nizofenone
DG00981	Pramiracetam
DG00982	Tacrine
DG00983	Donepezil
DG00984	Rivastigmine
DG00985	Galantamine
DG00986	Memantine
DG00987	Neostigmine
DG00988	Pyridostigmine
DG00989	Distigmine
DG00990	Ambenonium
DG00991	Bethanechol
DG00992	Pilocarpine
DG00993	Cevimeline
DG00994	Nicotine
DG00995	Varenicline
DG00996	Acamprosate
DG00997	Naltrexone
DG00998	Nalmefene
DG00999	Methadone
DG01000	Levacetylmethadol
DG01001	Lofexidine
DG01002	Levomethadone
DG01003	Diamorphine
DG01004	Betahistine
DG01005	Cinnarizine
DG01006	Flunarizine
DG01007	Tirilazad
DG01008	Xaliproden
DG01009	Tafamidis
DG01010	Diloxanide
DG01011	Emetine
DG01012	Mepacrine
DG01013	Trimetrexate
DG01014	Chloroquine
DG01015	Hydroxychloroquine
DG01016	Primaquine
DG01017	Amodiaquine
DG01018	Proguanil
DG01019	Quinine
DG01020	Mefloquine
DG01021	Halofantrine
DG01022	Albendazole
DG01023	Piperazine
DG01024	Diethylcarbamazine
DG01025	Pyrantel
DG01026	Levamisole
DG01027	Pyrvinium
DG01028	Pyrethrum
DG01029	Oxymetazoline
DG01030	Tetrahydrozoline;Tetryzoline
DG01031	Xylometazoline
DG01032	Naphazoline
DG01033	Tramazoline
DG01034	Tymazoline
DG01035	Levocabastine
DG01036	Azelastine
DG01037	Antazoline
DG01038	Nedocromil
DG01039	Olopatadine
DG01040	Flunisolide
DG01041	Phenylpropanolamine
DG01042	Pseudoephedrine
DG01043	Gramicidin
DG01044	Metaproterenol;Orciprenaline
DG01045	Albuterol;Salbutamol
DG01046	Terbutaline
DG01047	Hexoprenaline
DG01048	Pirbuterol
DG01049	Tretoquinol
DG01050	Tulobuterol
DG01051	Salmeterol
DG01052	Formoterol
DG01053	Clenbuterol
DG01054	Reproterol
DG01055	Procaterol
DG01056	Bitolterol
DG01057	Indacaterol
DG01058	Olodaterol
DG01059	Fenspiride
DG01060	Bambuterol
DG01061	Theophylline
DG01062	Aminophylline
DG01063	Etamiphylline
DG01064	Bamifylline
DG01065	Pranlukast
DG01066	Montelukast
DG01067	Senega
DG01068	Guaiacolsulfonate
DG01069	Acetylcysteine
DG01070	Bromhexine
DG01071	Carbocisteine
DG01072	Eprazinone
DG01073	Ambroxol
DG01074	Ethylmorphine
DG01075	Hydrocodone
DG01076	Codeine
DG01077	Noscapine
DG01078	Dextromethorphan
DG01079	Thebacon
DG01080	Dimemorfan
DG01081	Benproperine
DG01082	Clobutinol
DG01083	Isoaminile
DG01084	Pentoxyverine
DG01085	Oxolamine
DG01086	Oxeladin
DG01087	Clofedanol
DG01088	Butamirate
DG01089	Dibunate
DG01090	Prenoxdiazine
DG01091	Cloperastine
DG01092	Tipepidine
DG01093	Dimethoxanate
DG01094	Diphenylpyraline
DG01095	Carbinoxamine
DG01096	Doxylamine
DG01097	Brompheniramine
DG01098	Dexchlorpheniramine
DG01099	Chlorphenamine
DG01100	Pheniramine
DG01101	Alimemazine
DG01102	Thiethylperazine
DG01103	Methdilazine
DG01104	Buclizine
DG01105	Cyclizine
DG01106	Meclozine
DG01107	Cetirizine
DG01108	Levocetirizine
DG01109	Cyproheptadine
DG01110	Phenindamine
DG01111	Triprolidine
DG01112	Azatadine
DG01113	Mebhydrolin
DG01114	Deptropine
DG01115	Ketotifen
DG01116	Epinastine
DG01117	Fexofenadine
DG01118	Rupatadine
DG01119	Doxapram
DG01120	Almitrine
DG01121	Dimefline
DG01122	Dihydrostreptomycin
