C00001	H2O;Water
C00087	S;Elemental sulfur;Sulfur
C00088	Nitrite
C00089	Saccharose;Sucrose;Cane sugar;1-alpha-D-Glucopyranosyl-2-beta-D-fructofuranoside
C00090	1,2-Benzenediol;Catechol;o-Benzenediol;1,2-Dihydroxybenzene;Pyrocatechol;Brenzcatechin
C00091	Succinyl coenzyme A;Succinyl-CoA
C00092	D-Glucose 6-phosphate;Glucose 6-phosphate;Robison ester
C00093	sn-Glycerol 3-phosphate;D-Glycerol 1-phosphate;Glycerophosphoric acid
C00094	Sulfite;Sulfurous acid
C00095	Levulose;D-arabino-Hexulose;Fruit sugar;D-Fructose
C00096	GDP-mannose;GDP-D-mannose;GDP-alpha-D-mannose
C00097	L-Cysteine;L-2-Amino-3-mercaptopropionic acid
C00098	Oligopeptide
C00099	3-Aminopropionic acid;3-Aminopropanoate;beta-Alanine
C00100	Propanoyl-CoA;Propionyl coenzyme A;Propionyl-CoA
C00101	(6S)-Tetrahydrofolic acid;5,6,7,8-Tetrahydrofolate;(6S)-Tetrahydrofolate;(6S)-THFA;Tetrahydrofolic acid;THF;Tetrahydrofolate
C00102	DCIP;2,6-Dichlorophenolindophenol;2,6-Dichloroindophenol
C00103	Cori ester;D-Glucose 1-phosphate;D-Glucose alpha-1-phosphate;alpha-D-Glucose 1-phosphate
C00104	Inosine diphosphate;Inosine 5'-diphosphate;IDP
C00105	Uridine 5'-monophosphate;Uridylic acid;5'Uridylic acid;UMP;Uridine monophosphate
C00106	Uracil
C00107	Dipeptide
C00108	Vitamin L1;2-Aminobenzoate;o-Aminobenzoic acid;Anthranilate;Anthranilic acid
C00109	2-Oxobutanoate;2-Oxobutyric acid;alpha-Ketobutyric acid;alpha-Ketobutyrate;2-Oxobutanoic acid;2-Oxobutyrate;2-Ketobutyric acid
C00110	Dolichyl phosphate;Dolichol phosphate
C00111	3-Hydroxy-2-oxopropyl phosphate;Glycerone phosphate;Dihydroxyacetone phosphate
C00112	Cytidine 5'-diphosphate;CDP;Cytidine diphosphate
C00113	Pyrroloquinoline quinone;Pyrrolo-quinoline quinone;Pyrroloquinoline-quinone;Methoxatin;PQQ;4,5-Dioxo-4,5-dihydro-1H-pyrrolo[2,3-f]quinoline-2,7,9-tricarboxylate
C00114	Bilineurine;Choline
C00116	1,2,3-Propanetriol;Glycerol;Glycerin;1,2,3-Trihydroxypropane
C00117	Ribose 5-phosphate;D-Ribose 5-phosphate
C00118	Glyceraldehyde 3-phosphate;(2R)-2-Hydroxy-3-(phosphonooxy)-propanal;D-Glyceraldehyde 3-phosphate
C00119	5-Phosphoribosyl diphosphate;PRPP;5-Phosphoribosyl 1-pyrophosphate;5-Phospho-alpha-D-ribose 1-diphosphate
C00120	D-Biotin;Biotin;Coenzyme R;Vitamin H
C00121	D-Ribose
C00122	Fumarate;trans-Butenedioic acid;Fumaric acid
C00123	L-Leucine;(2S)-alpha-Leucine;2-Amino-4-methylvaleric acid;(2S)-alpha-2-Amino-4-methylvaleric acid
C00124	D-Galactose;D-Galactopyranose
C00125	Ferricytochrome c;Cytochrome c3+
C00126	Cytochrome c2+;Ferrocytochrome c;Reduced cytochrome c
C00127	GSSG;Oxiglutatione;Oxidized glutathione;Glutathione disulfide
C00128	CMP-N-acetylneuraminate;CMP-N-acetyl-beta-neuraminate
C00129	Delta3-Isopentenyl diphosphate;Delta3-Methyl-3-butenyl diphosphate;Isopentenyl diphosphate
C00130	Inosine monophosphate;Inosine 5'-monophosphate;IMP;5'-IMP;Inosinic acid;5'-Inosinic acid;5'-Inosinate;Inosine 5'-phosphate;5'-Inosine monophosphate
C00131	2'-Deoxyadenosine 5'-triphosphate;Deoxyadenosine 5'-triphosphate;dATP;Deoxyadenosine triphosphate
C00132	CH3OH;Methyl alcohol;Methanol
C00133	D-2-Aminopropionic acid;D-Alanine;D-Ala
C00134	1,4-Butanediamine;Putrescine;Butane-1,4-diamine;Tetramethylenediamine;1,4-Diaminobutane
C00135	(S)-alpha-Amino-1H-imidazole-4-propionic acid;L-Histidine
C00136	Butanoyl-CoA;Butyryl-CoA
C00137	1D-myo-Inositol;L-myo-Inositol;Dambose;Meat sugar;Bios I;meso-Inositol;Inositol;myo-Inositol;Cyclohexitol;1L-myo-Inositol;D-myo-Inositol
C00138	Reduced ferredoxin [iron-sulfur] cluster;Reduced ferredoxin
C00139	Oxidized ferredoxin [iron-sulfur] cluster;Oxidized ferredoxin
C00140	GlcNAc;N-Acetylchitosamine;2-Acetamido-2-deoxy-D-glucose;N-Acetyl-D-glucosamine
C00141	3-Methyl-2-oxobutyric acid;2-Oxoisovalerate;2-Oxo-3-methylbutanoate;2-Oxoisopentanoate;3-Methyl-2-oxobutanoate;2-Ketovaline;2-Keto-3-methylbutyric acid;3-Methyl-2-oxobutanoic acid;alpha-Ketovaline
C00143	5,10-Methylene-THF;5,10-Methylenetetrahydrofolate;(6R)-5,10-Methylenetetrahydrofolate
C00144	Guanosine 5'-monophosphate;GMP;Guanylic acid;Guanosine 5'-phosphate;Guanosine monophosphate
C00145	Mercaptan;Thiol
C00146	Phenylic acid;Benzenol;Phenol;Hydroxybenzene;Phenic acid
C00147	Adenine;6-Aminopurine
C00148	2-Pyrrolidinecarboxylic acid;L-Proline
C00149	Malate;(S)-Malate;L-Malic acid;L-Apple acid;L-Malate;Malic acid;L-2-Hydroxybutanedioic acid
C00150	Molybdenum
C00151	L-Amino acid;L-2-Amino acid
C00152	2-Aminosuccinamic acid;L-Asparagine
C00153	Vitamin PP;Niacinamide;Nicotinic acid amide;Nicotinamide
C00154	Hexadecanoyl-CoA;Palmitoyl-CoA
C00155	Homocysteine;L-Homocysteine;L-2-Amino-4-mercaptobutyric acid
C00156	Hydroxybenzoic acid;4-Hydroxybenzoate;4-Hydroxybenzoic acid;Hydroxybenzenecarboxylic acid
C00157	Phosphatidyl-N-trimethylethanolamine;Phosphatidylcholine;Choline phosphatide;3-sn-Phosphatidylcholine;1,2-Diacyl-sn-glycero-3-phosphocholine;Lecithin
C00158	2-Hydroxytricarballylic acid;Citric acid;2-Hydroxy-1,2,3-propanetricarboxylic acid;Citrate
C00159	Carubinose;Mannose;D-Mannose;D-Mannopyranose;Seminose
C00160	Hydroxyacetic acid;Glycolic acid;Glycolate
C00161	2-Oxocarboxylic acid;2-Oxo acid;2-Oxo carboxylate;2-Oxocarboxylate
C00162	Fatty acid
C00163	Propanoic acid;Propanoate;Propionic acid;Propionate
C00164	beta-Ketobutyric acid;Acetoacetate;3-Oxobutanoic acid;Acetoacetic acid
C00165	Diglyceride;Diacylglycerol
C00166	3-Phenyl-2-oxopropanoate;Phenylpyruvic acid;2-Oxo-3-phenylpropanoate;alpha-Ketohydrocinnamic acid;Phenylpyruvate;keto-Phenylpyruvate
C00167	UDP-D-glucuronate;UDP-glucuronate;UDP-alpha-D-glucuronate;UDPglucuronate
C00168	3-Hydroxypyruvate;Hydroxypyruvate;Hydroxypyruvic acid;3-Hydroxypyruvic acid
C00169	Carbamoyl phosphate
C00170	5'-Methylthioadenosine;MTA;5'-Deoxy-5'-(methylthio)adenosine;Methylthioadenosine;S-Methyl-5'-thioadenosine;5-Methylthioadenosine;Thiomethyladenosine
C00171	5'-Phosphomononucleotide;5'-Nucleotide
C00172	3'-Phosphooligonucleotide
C00173	Acyl-[acyl-carrier protein]
C00174	Acid
C00175	Cobalt ion;Cobalt(2+);Co(II);Co2+
C00176	Flavin
C00177	Cyano;Cyanide ion;Prussiate;Cyanide;CN-
C00178	5-Methyluracil;Thymine
C00179	(4-Aminobutyl) guanidine;Agmatine
C00180	Dracylic acid;Benzoic acid;Benzoate;Benzenecarboxylic acid;Phenylformic acid
C00181	Wood sugar;D-Xylose
C00182	Glycogen
C00183	2-Amino-3-methylbutyric acid;L-Valine
C00184	Dihydroxyacetone;1,3-Dihydroxypropan-2-one;1,3-Dihydroxyacetone;Glycerone;1,3-Dihydroxy-2-propanone
C00185	Cellobiose;1-beta-D-Glucopyranosyl-4-D-glucopyranose
C00186	L-Lactic acid;L-Lactate;(S)-Lactate
C00187	Cholest-5-en-3beta-ol;Cholesterol
C00188	2-Amino-3-hydroxybutyric acid;L-Threonine
C00189	Aminoethanol;2-Hydroxyethylamine;Ethanolamine
C00190	UDP-alpha-D-xylose;UDP-xylose;UDP-D-xylose
C00191	Glucuronic acid;Glucuronate;D-Glucuronate
C00192	Hydroxylamine;NH2OH
C00193	Aromatic aldehyde
C00194	Cobamamide;Vitamin B12 coenzyme;Coenzyme B12;Adenosylcob(III)alamin;Cobamide coenzyme;Cobalamin coenzyme;Calomide;5,6-Dimethylbenzimidazolyl-5-deoxyadenosyl-cobamide;alpha-(5,6-Dimethylbenzimidazolyl)cobamide coenzyme;Adenosylcobalamin;5,6-Dimethylbenzimidazolyl-Co-5'-deoxy-5'-adenosylcobamide;Dibencozide;Funacomide;Deoxyadenosylcobalamin;5'-Deoxy-5'-adenosyl vitamin B12;5'-Deoxy-5'-adenosyl-5,6-dimethylbenzimidazolylcobamide;5'-Deoxy-5'-adenosylcobalamin;(5'-Deoxy-5'-adenosyl)cobamide coenzyme;DMBC coenzyme;(5,6-Dimethylbenzimidazolyl)cobamide coenzyme
C00195	(4E)-Sphing-4-enine ceramide;Ceramide;N-Acylsphing-4-enine;N-Acylsphingosine
C00196	2,3-Dihydroxybenzoic acid;2,3-Dihydroxybenzoate
C00197	3-Phospho-D-glycerate;D-Glycerate 3-phosphate;3-Phospho-(R)-glycerate;3-Phosphoglycerate
C00198	1,5-Gluconolactone;D-Glucono-1,5-lactone;Gluconolactone;delta-Gluconolactone;Gluconic acid lactone;D-Gluconolactone;Gluconic lactone
C00199	D-Ribulose 5-phosphate
C00200	N-Methylphenazonium methosulfate;5-Methylphenazinium methyl sulphate;Phenazine methosulfate
C00201	NTP;Nucleoside 5'-triphosphate;Nucleoside triphosphate
C00202	Isoflurophate;DFP;Diisopropyl fluorophosphate
C00203	UDP-N-acetyl-alpha-D-galactosamine;UDP-N-acetyl-D-galactosamine
C00204	2-Keto-3-deoxy-D-gluconate;2-Dehydro-3-deoxy-D-gluconate
C00205	Light;hn;hnu;Photon
C00206	dADP;2'-Deoxyadenosine 5'-diphosphate
C00207	Acetone;Dimethyl ketone;2-Propanone
C00208	Malt sugar;alpha-D-Glucopyranosyl-(1->4)-D-glucopyranose;Maltose
C00209	Oxalate;Oxalic acid;Ethanedioic acid
C00210	Cobamide
C00211	Collagen
C00212	Adenosine
C00213	N-Methylglycine;Sarcosine
C00214	Deoxythymidine;Thymidine
C00215	Nucleotide
C00216	D-Arabinose
C00217	D-Glutaminic acid;D-2-Aminoglutaric acid;D-Glutamic acid;D-Glutamate
C00218	Methylamine;Methanamine
C00219	(5Z,8Z,11Z,14Z)-Icosatetraenoic acid;Arachidonic acid;(5Z,8Z,11Z,14Z)-Icosa-5,8,11,14-tetraenoic acid;5Z,8Z,11Z,14Z-Eicosatetraenoic acid;cis-5,8,11,14-Eicosatetraenoic acid;Arachidonate
C00220	Methylthioninium chloride;Methylene blue
C00221	beta-D-Glucose;beta-D-Glucopyranose
C00222	Malonate semialdehyde;3-Oxopropanoate
C00223	4-Hydroxycinnamoyl-CoA;4-Coumaroyl-CoA;(E)-4-Coumaroyl-CoA;trans-4-Coumaroyl-CoA;p-Coumaroyl-CoA
C00224	Adenosine 5'-phosphosulfate;APS;Adenylyl sulfate;5'-Adenylyl sulfate
C00225	Paraquat dichloride;Methyl viologen;1,1'-Dimethyl-4,4'-bipyridinium dichloride
C00226	1-Alcohol;Primary alcohol
C00227	Acetyl phosphate
C00229	[Acyl-carrier protein];Acyl-carrier protein;Holo-[acyl-carrier protein];ACP
C00230	3,4-Dihydroxybenzoate;3,4-Dihydroxybenzoic acid;Protocatechuic acid;Protocatechuate
C00231	D-Xylulose 5-phosphate
C00232	Succinate semialdehyde;4-Oxobutanoate;Succinic semialdehyde
C00233	4-Methyl-2-oxopentanoate;2-Oxoisocaproate
C00234	10-Formyl-THF;10-Formyltetrahydrofolate
C00235	Monoprenyl diphosphate;Delta2-Isopentenyl diphosphate;Dimethylallyl pyrophosphate;Dimethylallyl diphosphate;Prenyl diphosphate;2-Isopentenyl diphosphate;DMAPP
C00236	D-Glycerate 1,3-diphosphate;1,3-Bisphospho-D-glycerate;(R)-2-Hydroxy-3-(phosphonooxy)-1-monoanhydride with phosphoric propanoic acid;3-Phospho-D-glyceroyl phosphate
C00237	CO;Carbon monoxide
C00238	Potassium(1+);K+;Potassium cation;Potassium ion
C00239	Deoxycytidine monophosphate;dCMP;2'-Deoxycytidine 5'-monophosphate;Deoxycytidylate;Deoxycytidylic acid
C00240	rRNA;Ribosomal RNA
C00241	Amide
C00242	2-Amino-6-hydroxypurine;Guanine
C00243	1-beta-D-Galactopyranosyl-4-D-glucopyranose;Lactose;beta-D-Gal-(1->4)-D-Glc;Milk sugar
C00244	Nitrate;Nitric acid
C00245	Aminoethylsulfonic acid;2-Aminoethanesulfonic acid;Taurine
C00246	Butyrate;Butyric acid;Butanoic acid;Butanoate
C00247	L-Sorbose;L-xylo-Hexulose
C00248	Thioctic acid amide;Lipoamide
C00249	Hexadecylic acid;Palmitate;Hexadecanoic acid;Hexadecanoate;Palmitic acid;Cetylic acid
C00250	Pyridoxal
C00251	Chorismic acid;(3R,4R)-3-[(1-Carboxyethenyl)oxy]-4-hydroxycyclohexa-1,5-diene-1-carboxylate;Chorismate
C00252	Isomaltose;Brachiose
C00253	Nicotinic acid;Niacin;3-Pyridinecarboxylic acid;Nicotinate
C00254	Prephenic acid;Prephenate
C00255	Lactoflavin;Riboflavin;7,8-Dimethyl-10-ribitylisoalloxazine;Vitamin B2
C00256	D-2-Hydroxypropionic acid;D-Lactic acid;D-2-Hydroxypropanoic acid;(R)-Lactate;D-Lactate
C00257	D-Gluconate;D-Gluconic acid;D-gluco-Hexonic acid
C00258	Glycerate;Glyceric acid;D-Glycerate;(R)-Glycerate
C00259	L-Arabinopyranose;L-Arabinose
C00261	Benzaldehyde;Benzoic aldehyde
C00262	Purine-6-ol;Hypoxanthine
C00263	L-Homoserine;2-Amino-4-hydroxybutyric acid
C00264	3-Oxoacyl-CoA
C00265	DL-threo-1,4-Dimercapto-2,3-butanediol;threo-1,4-Dimercapto-2,3-butanediol;Dithiothreitol;1,4-Dithiothreitol
C00266	Hydroxyacetaldehyde;Glycolaldehyde
C00267	alpha-D-Glucose
C00268	Quinoid-dihydrobiopterin;Dihydrobiopterin;6-[(1R,2S)-1,2-Dihydroxypropyl]-6,7-dihydropterin;6,7-Dihydrobiopterin
C00269	CDP-1,2-diacylglycerol;1,2-Diacyl-sn-glycero-3-cytidine-5'-diphosphate;CDP-diacylglycerol
C00270	5-Acetamido-3,5-dideoxy-D-glycero-D-galacto-2-nonulosonic acid;N-Acetylneuraminic acid;N-Acetylneuraminate;Neu5Ac
C00272	L-erythro-Tetrahydrobiopterin;Tetrahydrobiopterin;5,6,7,8-Tetrahydrobiopterin;2-Amino-6-(1,2-dihydroxypropyl)-5,6,7,8-tetrahydoro-4(1H)-pteridinone
C00273	5-Dehydro-D-fructose
C00275	D-Mannose 6-phosphate
C00279	D-Erythrose 4-phosphate
C00280	4-Androstene-3,17-dione;Androst-4-ene-3,17-dione;Androstenedione
C00282	H2;Hydrogen
C00283	Sulfide;H2S;Hydrogen-sulfide;Hydrogen sulfide
C00284	EDTA;Edetic acid;Ethylenediaminetetraacetate;Ethylenediaminetetraacetic acid
C00286	dGTP;Deoxyguanosine 5'-triphosphate;Deoxyguanosine triphosphate;2'-Deoxyguanosine 5'-triphosphate
C00288	Hydrogen carbonate;Bicarbonate;Hydrogencarbonate;HCO3-;Acid carbonate
C00290	Fibrin
C00291	Nickel
C00292	Arylamine;Phenylamine;Benzenamine;Aniline
C00294	Inosine
C00295	Uracil-6-carboxylic acid;Orotic acid;Orotate
C00296	L-Quinic acid;Chinic acid;Quinic acid;L-Quinate;(-)-Quinic acid;Quinate;Kinic acid
C00297	Sulfide;Thioether
C00298	Trypsin;Trypsin crystallized
C00299	Uridine
C00300	alpha-Methylguanidino acetic acid;Creatine;Methylglycocyamine
C00301	ADP-ribose;ADP-D-ribose;Adenosine diphosphate ribose
C00302	Glutamate;2-Aminoglutaric acid;Glutaminic acid
C00303	Glutamine;2-Aminoglutaramic acid
C00304	Kanamycin
C00305	Magnesium cation;Magnesium ion;Mg2+;Magnesium(2+)
C00306	Bradykinin
C00307	CDP-choline;Citicoline;Cytidine 5'-diphosphocholine
C00308	2-Amino-4-(guanidinooxy)butyric acid;Canavanine;L-Canavanine
C00309	D-Arabinulose;D-erythro-2-Pentulose;D-Ribulose;D-Riboketose;D-Arabinoketose
C00310	D-Lyxulose;D-threo-Pentulose;D-Xylulose
C00311	1-Hydroxytricarballylic acid;Isocitric acid;1-Hydroxypropane-1,2,3-tricarboxylic acid;Isocitrate
C00312	L-Lyxulose;L-threo-Pentulose;L-Xylulose
C00313	Oxalyl-CoA
C00314	Pyridoxol;Pyridoxine
C00315	N-(3-Aminopropyl)-1,4-butane-diamine;Spermidine
C00317	Amylopectin
C00318	L-Carnitine;3-Carboxy-2-hydroxy-N,N,N-trimethyl-1-propanaminium hydroxide, inner salt;(R)-Carnitine;Levocarnitine;L-gamma-Trimethyl-beta-hydroxybutyrobetaine;Vitamin BT
C00319	Sphingoid;Sphingenine;Sphing-4-enine;Sphingosine
C00320	Hyposulfite;Thiosulfate
C00322	2-Oxoadipic acid;2-Oxoadipate
C00323	(2E)-3-(3,4-Dihydroxyphenyl)prop-2-enoyl-CoA;Caffeoyl-CoA
C00324	Ferricyanide;Hexacyanoferrate(III)
C00325	GDP-L-fucose;GDP-beta-L-fucose
C00326	Glycoprotein
C00327	2-Amino-5-ureidovaleric acid;Citrulline;L-Citrulline
C00328	L-Kynurenine;3-Anthraniloyl-L-alanine
C00329	Chitosamine;D-Glucosamine;2-Amino-2-deoxy-D-glucose
C00330	Deoxyguanosine;2'-Deoxyguanosine
C00331	Indolepyruvate;Indole-3-pyruvate;3-(Indol-3-yl)pyruvate;Indolepyruvic acid;(Indol-3-yl)pyruvate
C00332	Acetoacetyl coenzyme A;3-Acetoacetyl-CoA;Acetoacetyl-CoA
C00333	D-Galacturonate;D-Galacturonic acid
C00334	4-Aminobutyrate;4-Aminobutanoic acid;4-Aminobutyric acid;GABA;gamma-Aminobutyric acid;4-Aminobutanoate
C00337	Dihydro-L-orotic acid;L-Dihydroorotate;(S)-4,5-Dihydroorotate;L-Dihydroorotic acid;(S)-Dihydroorotate
C00338	Lipopolysaccharide;LPS
C00339	Long-chain alcohol
C00340	Reduced rubredoxin
C00341	Geranyl diphosphate
C00342	Thioredoxin;Reduced thioredoxin
C00343	Thioredoxin disulfide;Thioredoxin sulfide;Oxidized thioredoxin
C00344	3(3-Phosphatidyl-)glycerol;Phosphatidylglycerol;3-(3-sn-Phosphatidyl)glycerol;PtdGro
C00345	6-Phospho-D-gluconate
C00346	Phosphoethanolamine;O-Phosphoethanolamine;Ethanolamine phosphate;O-Phosphorylethanolamine
C00347	Long-chain carboxylic acid;Long-chain carboxylate
C00348	all-trans-Undecaprenyl phosphate
C00349	Methylmalonate semialdehyde;2-Methyl-3-oxopropanoate;3-Oxo-2-methylpropanoate
C00350	Cephalin;O-(1-beta-Acyl-2-acyl-sn-glycero-3-phospho)ethanolamine;(3-Phosphatidyl)ethanolamine;(3-Phosphatidyl)-ethanolamine;L-1-Phosphatidylethanolamine;Phosphatidylethanolamine;1-Acyl-2-acyl-sn-glycero-3-phosphoethanolamine
C00351	5'-Phosphooligonucleotide
C00352	D-Glucosamine phosphate;D-Glucosamine 6-phosphate
C00353	all-trans-Geranylgeranyl pyrophosphate;(2E,6E,10E)-3,7,11,15-Tetramethylhexadeca-2,6,10,14-tetraen-1-yl diphosphate;Geranylgeranyl diphosphate;Geranylgeranyl pyrophosphate;all-trans-Geranylgeranyl diphosphate
C00354	D-Fructose 1,6-bisphosphate
C00355	3,4-Dihydroxy-L-phenylalanine;L-beta-(3,4-Dihydroxyphenyl)alanine;Levodopa;3-Hydroxy-L-tyrosine;Dihydroxy-L-phenylalanine;L-Dopa
C00356	3-Hydroxy-3-methylglutaryl-CoA;Hydroxymethylglutaroyl coenzyme A;Hydroxymethylglutaryl-CoA;HMG-CoA;(S)-3-Hydroxy-3-methylglutaryl-CoA
C00357	N-Acetyl-D-glucosamine 6-phosphate
C00360	dAMP;Deoxyadenosine monophosphate;2'-Deoxyadenosine 5'-monophosphate;Deoxyadenylic acid;2'-Deoxyadenosine 5'-phosphate
C00361	2'-Deoxyguanosine 5'-diphosphate;dGDP
C00362	Deoxyguanosine monophosphate;2'-Deoxyguanosine 5'-phosphate;2'-Deoxyguanosine 5'-monophosphate;dGMP;Deoxyguanylic acid
C00363	dTDP;Deoxythymidine 5'-diphosphate
C00364	Thymidine 5'-phosphate;Thymidine monophosphate;Deoxythymidylic acid;Deoxythymidine 5'-phosphate;Thymidylate;5'-Thymidylic acid;Thymidylic acid;dTMP
C00365	2'-Deoxyuridine 5'-phosphate;Deoxyuridine 5'-phosphate;Deoxyuridine monophosphate;dUMP;Deoxyuridylic acid
C00366	Urate;Uric acid
C00367	Casein
C00369	Starch;Glycogen
C00370	Sterol
C00371	Zeatin;N6-(4-Hydroxyisopentenyl)adenine;(E)-2-Methyl-4-(1H-purin-6-ylamino)but-2-en-1-ol;trans-Zeatin
