N00001	EGF-EGFR-RAS-ERK signaling pathway
N00069	p16-Cell cycle G1/S
N00070	Mutation-inactivated p16(INK4a) to p16-cell cycle G1/S
N00071	Deleted p16(INK4a) to p16-cell cycle G1/S
N00072	Amplified CDK4 to cell cycle G1/S
N00073	Mutation-activated CDK4 to cell cycle G1/S
N00074	Loss of RB1 to cell cycle G1/S
N00075	Mutation-inactivated RB1 to cell cycle G1/S
N00076	Mutation-inactivated p14(ARF) to p21-cell cycle G1/S
N00077	HRAS-overexpression to ERK signaling pathway
N00078	Mutation-activated HRAS to ERK signaling pathway
N00079	HIF-1 signaling pathway
N00080	Loss of VHL to HIF-1 signaling pathway
N00081	Mutation-inactivated VHL to HIF-1 signaling pathway
N00082	Loss of NKX3-1 to PI3K signaling pathway
N00083	Androgen receptor signaling pathway
N00084	Amplified AR to androgen receptor signaling pathway
N00085	Mutation-activated AR to androgen receptor signaling pathway
N00086	Notch signaling pathway
N00087	NOTCH-overexpression to Notch signaling pathway
N00088	Amplified MYC to p15-cell cycle G1/S
N00089	Amplified MYC to cell cycle G1/S
N00090	p15-Cell cycle G1/S
N00091	p27-Cell cycle G1/S
N00092	Amplified MYC to p27-cell cycle G1/S
N00093	Loss of CDKN1B to p27-cell cycle G1/S
N00094	EGF-Jak-STAT signaling pathway
N00095	ERBB2-overexpression to EGF-Jak-STAT signaling pathway
N00096	EGF-EGFR-RAS-RASSF1 signaling pathway
N00097	Loss of RASSF1 to RAS-RASSF1 signaling pathway
N00098	Intrinsic apoptotic pathway
N00099	Mutation-inactivated BAX to apoptotic pathway
N00100	BCL2-overexpression to intrinsic apoptotic pathway
N00101	DCC-apoptotic pathway
N00102	Loss of DCC to DCC-apoptotic pathway
N00103	EGF-EGFR-RAS-RalGDS signaling pathway
N00104	Mutation-activated KRAS to RalGDS signaling pathway
N00105	EML4-ALK fusion kinase to Jak-STAT signaling pathway
N00106	AML1-EVI1 fusion to TGF-beta signaling pathway
N00107	EVI-1 overexpression to TGF-beta signaling pathway
N00108	AML1-ETO fusion to transcriptional activtion
N00109	PML-RARA fusion to transcriptional activtion
N00110	PLZF-RARA fusion to transcriptional activtion
N00111	AML1-ETO fusion to CEBPA-mediated transcription
N00112	AML1-ETO fusion to PU.1-mediated transcription
N00113	PML-RARA fusion to transcriptional repression
N00114	PLZF-RARA fusion to transcriptional repression
N00115	Mutation-inactivated TP53 to transcription
N00116	Mutation-inactivated RUNX1 to transcription
N00117	E2A-PBX1 fusion to transcriptional activation
N00118	TEL-AML1 fusion to transcriptional repression
N00119	MLL-AF4 fusion to transcriptional activation
N00120	MLL-ENL fusion to transcriptional activation
N00121	LMO2-rearrangement to transcriptional activation
N00122	LMO2-rearrangement to transcriptional repression
N00123	Amplified REL to transcription
N00124	IGH-MAF fusion to transcriptional activation
N00125	IGH-MMSET fusion to transcriptional activation
N00126	PAX8-PPARG fusion to PPARG-mediated transcription
N00127	PRCC-TFE3 fusion to transcriptional activation
N00128	TMPRSS2-ERG fusion to transcriptional activation
N00129	TMPRSS2-ERG fusion to transcriptional repression
N00130	TMPRSS2-ETV5 fusion to transcriptional activation
N00131	Amplified MYCN to transcriptional activation
N00132	Amplified MYCN to transcriptional repression
N00133	EWSR1-FLI1 fusion to transcriptional activation
N00134	EWSR1-FLI1 fusion to transcriptional repression
N00135	EWSR1-ERG fusion to transcriptional activation
N00136	EWSR1-ATF1 fusion to transcriptional activation
N00137	EWSR1-WT1 fusion to transcriptional activation
N00138	EWSR1-NR4A3
N00139	FUS-DDIT3 fusion to CEBPB-mediated transcription
N00140	FUS-DDIT3 fusion to NFKB-mediated transcription
N00141	PAX3-FOXO1 fusion to transcriptional activation
N00142	SYT-SSX fusion to transcriptional repression
N00143	ASPL-TFE3 fusion to transcriptional activation
N00144	TLX1 rearrangement to transcriptional repression
N00145	Extrinsic apoptotic pathway
N00146	Crosstalk between extrinsic and intrinsic apoptotic pathways
N00147	EGF-EGFR-PLCG-calcineurin signaling pathway
N00148	TLR3-IRF7 signaling pathway
N00149	TLR3-IRF3 signaling pathway
N00150	Type I IFN signaling pathway
N00151	TNF-NFKB signaling pathway
N00152	CXCR-GNB/G-ERK signaling pathway
N00153	CCR/CXCR-GNB/G-PI3K-RAC signaling pathway
N00154	CXCR-GNB/G-PI3K-AKT signaling pathway
N00155	Autophagy-vesicle nucleation
N00156	Autophagy-vesicle elongation
N00157	KSHV vGPCR to GNB/G-ERK signaling pathway
N00158	KSHV vGPCR to GNB/G-PI3K-AKT signaling pathway
N00159	KSHV K1 to PI3K signaling pathway
N00160	KSHV K1 to RAS-ERK signaling pathway
N00161	KSHV vIRF1/2 to TLR3-IRF3 signaling pathway
N00162	KSHV vIRF3 to TLR3-IRF7 signaling pathway
N00163	KSHV KIE1/2 to TLR3-IRF7 signaling pathway
N00164	KSHV vBCL2 to crosstalk between extrinsic and intrinsic apoptotic pathways
N00165	KSHV vIAP to crosstalk between extrinsic and intrinsic apoptotic pathways
N00166	KSHV vFLIP to crosstalk between extrinsic and intrinsic apoptotic pathways
N00167	KSHV vIRF1/3 to p21-cell cycle G1/S
N00168	KSHV vCyclin to cell cycle G1/S
N00169	KSHV LANA to p21-cell cycle G1/S
N00170	KSHV LANA to cell cycle G1/S
N00171	KSHV vFLIP to NFKB signaling pathway
N00172	KSHV K15 to PLCG-calcineurin signaling pathway
N00173	KSHV K15 to TNF-NFKB signaling pathway
N00174	KSHV vFLIP to TNF-NFKB signaling pathway
N00175	KSHV LANA to Wnt signaling pathway
N00176	KSHV vFLIP to autophagy-vesicle elongation
N00177	KSHV vBCL2 to autophagy-vesicle nucleation
N00178	KSHV vGPCR to GNB/G-PI3K-JNK signaling pathway
N00179	KSHV K1 to PI3K-NFKB signaling pathway
N00180	KSHV K1 to PLCG-calcineurin signaling pathway
N00181	KSHV vIL-6 to Jak-STAT signaling pathway
N00182	IGF-IGFR-PI3K-NFKB signaling pathway
N00184	KSHV MIR1/2 to antigen processing and presentation by MHC class I molecules
N00185	KSHV MIR2 to cell surface molecule-endocytosis
N00186	IL1-IL1R-p38 signaling pathway
N00187	KSHV Kaposin B to p38 signaling pathway
N00188	IL1-IL1R-JNK signaling pathway
N00189	KSHV K15 to JNK signaling pathway
N00212	KSHV vCCL2 to CCR signaling pathway
N00213	KSHV Kaposin to alternative pathway of complement activation
N00215	KITLG-KIT-RAS-ERK signaling pathway
N00216	HGF-MET-RAS-ERK signaling pathway
N00217	FLT3LG-FLT3-RAS-ERK signaling pathway
N00218	FLT3LG-FLT3-RAS-PI3K signaling pathway
N00219	FLT3LG-FLT3-STAT5 signaling pathway
N00220	PTEN-PIP3-AKT signaling pathway
N00221	HTLV-1 Tax to spindle assembly checkpoint signaling
N00222	HTLV-1 Tax to spindle assembly checkpoint signaling
N00223	EBV EBNA1 to p53-mediated transcription
N00224	EBV EBNALP RBP-Jk-mediated transcription
N00225	EBV EBNA2 to RBP-Jk-mediated transcription
N00226	EBV EBNA3A/3B/3C to RBP-Jk-mediated transcription
N00227	TGFA-EGFR-PLCG-PKC signaling pathway
N00228	TGFA-overexpression to PLCG-PKC signaling pathway
N00229	TGFA-EGFR-RAS-ERK signaling pathway
N00230	TGFA-overexpression to RAS-ERK signaling pathway
N00231	TGFA-EGFR-PI3K signaling pathway
N00232	TGFA-overexpression to PI3K signaling pathway
N00233	IGF-IGF1R-RAS-ERK signaling pathway
N00234	IGF2-IGF1R-PI3K signaling pathway
N00235	IGF2-overexpression to RAS-ERK signaling pathway
N00236	IGF2-overexpression to PI3K signaling pathway
N00237	IGF1R-overexpression to RAS-ERK signaling pathway
N00238	IGF1R-overexpression to PI3K signaling pathway
N00239	Telomerase activity
N00240	TERT-overexpression to telomerase activity
N00241	TGFBR2-reduced expression to TGF-beta signaling pathway
N00242	Mutation-inactivated AXIN to Wnt signaling pathway
N00243	KEAP1-NRF2 signaling pathway
N00244	Mutation-inactivated KEAP1 to KEAP1-NRF2 signaling pathway
N00245	Mutation-activated NRF2 to KEAP1-NRF2 signaling pathway
N00246	HGF-overexpression to RAS-ERK signaling pathway
N00247	HGF-overexpression to PI3K signaling pathway
N00248	MET-overexpression to RAS-ERK signaling pathway
N00249	MET-overexpression to PI3K signaling pathway
N00250	CDX2-overexpression to transcriptional activation
N00251	CDX2-overexpression to transcriptional repression
N00252	Amplified ERBB2 to RAS-ERK signaling pathway
N00253	Amplified ERBB2 to PI3K signaling pathway
N00254	CDKN1B-reduced expression to p27-cell cycle G1/S
N00255	Amplified CCNE to cell cycle G1/S
N00256	TGFBR1-reduced expression to TGF-beta signaling pathway
N00257	Loss of CDH1 to beta-catenin signaling pathway
N00258	Mutation-inactivated CDH1 to beta-catenin signaling pathway
N00259	Amplified MET to RAS-ERK signaling pathway
N00260	Amplified MET to PI3K signaling pathway
N00261	KSHV vIRF2 to IFN signaling pathway
N00262	EBV EBNA3C to intrinsic apoptotic pathway
N00263	EBV EBNA3C to p53-mediated transcription
N00264	EBV EBNA3C to p27-Cell cycle G1/S
N00265	EBV LMP1 to NFKB signaling pathway
N00266	EBV LMP2A to PI3K signaling pathway
N00267	HBV HBx to PI3K signaling pathway
N00268	HBV HBx to RIG-I-like receptor signaling pathway
N00269	HCV core to TNF-NFKB signaling pathway
N00270	HCV Core to IFN signaling pathway
N00271	HCV NS3/4A to RIG-I-like receptor signaling pathway
N00272	HCV NS5A to PI3K signaling pathway
N00273	HCV NS5A to oligoadenylate synthetase (OAS)/RNase L pathway
N00274	HCV NS5A to RAS-ERK signaling pathway
N00275	Amplified CCND1 to cell cycle G1/S
N00276	EGF-overexpression to RAS-ERK signaling pathway
N00277	EREG-EGFR-RAS-ERK signaling pathway
N00278	EREG-overexpression to RAS-ERK signaling pathway
N00279	AREG-EGFR-RAS-ERK signaling pathway
N00280	AREG-overexpression to RAS-ERK signaling pathway
N00281	EGF-overexpression to PI3K signaling pathway
N00282	EREG-EGFR-PI3K signaling pathway
N00283	EREG-overexpression to PI3K signaling pathway
N00284	AREG-EGFR-PI3K signaling pathway
N00285	AREG-overexpression to PI3K signaling pathway
N00286	Nuclear-initiated estrogen signaling pathway
N00287	ESR1-positive to nuclear-initiated estrogen signaling pathway
N00288	PTH-PTH1R-PKA signaling pathway
N00289	Mutation-inactivated GNAS to PTH-PTH1R-PKA signaling pathway
N00290	Mutation-inactivated MEN1 to transcription
N00291	CaSR-PTH signaling pathway
N00292	Mutation-inactivated CASR to CasR-PTH signaling pathway
N00293	GCM2-mediated transcription
N00294	Mutation-activated GCM2 to transcription
N00295	Mutation-inactivated GCM2 to transcription
N00296	Mutation-inactivated PTH to degradation
N00297	ACTH-cortisol signaling pathway
N00298	CYP11B1-CYP11B2 fusion to ACTH-cortisol signaling pathway
N00299	Mutation-inactivated MC2R to ACTH-cortisol signaling pathway
N00300	Mutation-inactivated MRAP to ACTH-cortisol signaling pathway
N00301	Angiotensin-aldosterone signaling pathway
N00302	Mutation-activated CACNA1D/H to angiotensin-aldosterone signaling pathway
N00303	Mutation-activated KCNJ5 to angiotensin-aldosterone signaling pathway
N00304	Mutation-inactivated ATP1A1 to angiotensin-aldosterone signaling pathway
N00305	Mutation-inactivated ATP2B3 to angiotensin-aldosterone signaling pathway
N00306	SF-1-mediated transcription
N00307	Mutation-inactivated DAX1 to SF-1-mediated transcription
N00308	Mutation-inactivated SF-1 to transcription
N00309	Cortisone reduction
N00310	Mutation-inactivated HED11B1 to cortisone reduction
N00311	NADPH generation
N00312	Mutation-inactivated H6PD to NADPH production
N00313	Transport of cortisol
N00314	Mutation-inactivated CBG to transport of cortisol
N00315	Mutation-inactivated AIP to AhR-mediated transcription
N00316	Mutation-inactivated CDKN1B to p27-cell cycle G1/S
N00317	AhR signaling pathway
N00318	EGFR-ERK-ACTH signaling pathway
N00319	Mutation-activated USP8 to EGFR-ERK-ACTH signaling pathway
N00320	Mutation-activated PRKACA to ACTH-cortisol signaling pathway
N00321	Mutation-activated GNAS to ACTH-cortisol signaling pathway
N00322	Mutation-inactivated PRKAR1A to ACTH-cortisol signaling pathway
N00323	Mutation-inactivated PDE11A/PDE8B to ACTH-cortisol signaling pathway
N00324	CRHR-PKA-ACTH signaling pathway
N00325	Mutation-inactivated RASD1 to CRHR-PKA-ACTH signaling pathway
N00326	Mutation-activated GNAS to CRHR-PKA-ACTH signaling pathway
N00327	Mutation-inactivated PRKAR1A to CRHR-PKA-ACTH signaling pathway
N00328	Cleavage of prelamin A
N00329	Mutation-caused aberrant LMNA to cleavage of prelimin A
N00330	BANF1-mediated nuclear assembly
N00331	Mutation-caused aberrant BANF1 to BANF1-mediated nuclear assembly
N00332	Vesicular uptake of lipoproteins
N00333	Mutation-caused aberrant APOB to vesicular uptake of lipoproteins
N00334	Mutation-inactivated LDLR to vesicular uptake of lipoproteins
N00335	Mutation-inactivated LDLRAP1 to vesicular uptake of lipoproteins
N00336	PCSK9-mediated LDLR degradation
N00337	Mutation-activated PCSK9 to PCSK9-mediated LDLR degradation
N00338	Steroid hormone biosynthesis, progesterone to cortisol/cortisone
N00339	Steroid hormone biosynthesis, progesterone to aldosterone
N00340	The Scribble/Dlg/Lgl polarity module
N00341	HPV E6 to the Scribble/Dlg/Lgl polarity module
N00342	MAGI-PTEN signaling pathway
N00343	HPV E6 to MAGI-PTEN signaling pathway
N00344	CRB3-Pals1-PATJ complex
N00345	HPV E6 to CRB3-Pals1-PATJ complex
N00346	HPV E6 to TLR-IRF3 signaling pathway
N00347	p300-p21-Cell cycle G1/S
N00348	HPV E6 to p300-p21-Cell cycle G1/S
N00349	HPV E6 to p300-p21-Cell cycle G1/S
N00350	HPV E6 to extrinsic apoptotic pathway
N00351	HPV E6 to extrinsic apoptotic pathway
N00352	HPV E6 to extrinsic apoptotic pathway
N00353	HPV E6 to PTEN-PIP3-AKT signaling pathway
N00354	HPV E6 to PTEN-PIP3-AKT signaling pathway
N00355	PP2A-AKT signaling pathway
N00356	HPV E7 to PP2A-AKT signaling patyway
N00357	HPV E6 to MTOR signaling pathway
N00358	HPV E6 to p21-cell cycle G1/S
N00359	HPV E7 to p27-cell cycle G1/S
N00360	HPV E7 to p27-cell cycle G1/S
N00361	HPV E7 to cell cycle G1/S
N00362	HPV E5 to p21-cell cycle G1/S
N00363	Antigen processing and presentation by MHC class I molecules
N00364	HPV E5 to antigen processing and presentation by MHC class I molecules
N00365	HPV E7 to cell cycle G1/S
N00366	HPV E5 to EGFR-PI3K signaling pathway
N00367	HPV E5 to EGFR-RAS-ERK signaling pathway
N00368	HPV E5 to PDGFR-PI3K signaling pathway
N00369	HPV E5 to PDGFR-RAS-ERK signaling pathway
N00370	Pyruvate generation
N00371	HPV E7 to pyruvate generation
N00372	HPV E7 to p300-p21-Cell cycle G1/S
N00373	HPV E6 to NFX1-mediated transcription
N00374	TNF-IRF1 signaling pathway
N00375	HPV E7 to TNF-IRF1 signaling pathway
N00376	HPV E7 to TBP1-mediated transcription
N00377	HPV E6 to IFN signaling pathway
N00378	HPV E6 to IFN signaling pathway
N00379	HPV E7 to IFN signaling pathway
N00380	HPV E6 to Notch signaling pathway
N00381	HPV E6 to Notch signaling pathway
N00382	HPV E6 to Notch signaling pathway
N00383	HPV E6 to intrinsic apoptotic pathway
N00384	HPV E6 to intrinsic apoptotic pathway
N00385	HCMV gB to PDGFR-PI3K signaling pathway
N00386	HCMV gB to PDGFR-RAS-ERK signaling pathway
N00387	HCMV IE1-72/IE2-86 to PI3K signaling pathway
N00388	HCMV UL38 to MTOR signaling pathway
N00389	HCMV IE1-72 to transcription
N00390	EGF-EGFR-PI3K-NFKB signaling pathway
N00391	HCMV gB to EGFR-PI3K-NFKB signaling pathway
N00392	HCMV gB to EGFR-RAS-ERK signaling pathway
N00393	ITGA/B-RhoA signaling pathway
N00394	HCMV gH to ITGA/B-RhoA signaling pathway
N00395	cGAS-STING signaling pathway
N00396	HCMV UL82 to cGAS-STING signaling pathway
N00397	HCMV UL26 to NFKB signaling pathway
N00398	HCMV IE2-86 to TNF-NFKB signaling pathway
N00399	CCR2-GNB/G-PI3K-NFKB signaling pathway
N00400	HCMV US28 to GNB/G-PI3K-NFKB signaling pathway
N00401	CXCR4-GNAQ-PLCB/G-calcineurin signaling pathway
N00402	HCMV US28 to GNAQ-PLCB/G-calcineurin signaling pathway
N00403	CX3CR1-GNAI-AC-PKA signaling pathway
N00404	HCMV US28 to GNAI-AC-PKA signaling pathway
N00405	CXCR4-GNA12/13-Rho signaling pathway
N00406	HCMV US28 to GNA12/13-Rho signaling pathway
N00407	HCMV UL33 to GNAQ-PLCB/G-calcineurin signaling pathway
N00408	LPAR-GNB/G-Rho signaling pathway
N00409	HCMV UL33 to GNB/G-Rho signaling pathway
N00410	DRD1-GNAS-AC-PKA signaling pathway
N00411	HCMV UL33 to GNAS-AC-PKA signaling pathway
N00412	HCMV UL33 to GNAI-AC-PKA signaling pathway
N00413	CXCR4-GNB/G-PLCB-PKC signaling pathway
N00414	HCMV US27 to CXCR4-GNB/G-PLCB-PKC signaling pathway
N00415	IL10-Jak-STAT signaling pathway
N00416	HCMV IL10 to IL10-JAK-STAT signaling pathway
N00417	HCMV US6 to antigen processing and presentation by MHC class I molecules
N00418	HCMV US2/11 to antigen processing and presentation by MHC class I molecules
N00419	HCMV US3/10 to antigen processing and presentation by MHC class I molecules
N00420	HCMV IE2-86 to p21-cell cycle G1/S
N00421	HCMV IE2-86 to p21-cell cycle G1/S
N00422	HCMV IE2-86 to cell cycle G1/S
N00423	HCMV IE1-72 to cell cycle G1/S
N00424	HCMV pp71 to cell cycle G1/S
N00425	HCMV UL36 to crosstalk between extrinsic and intrinsic apoptotic pathways
N00426	HCMV UL37x1 to crosstalk between extrinsic and intrinsic apoptotic pathways
N00427	HCMV vCXCL to CXCR-GNB/G-PI3K-AKT signaling pathway
N00428	CCR5-GNB/G-PLCB/G-PKC signaling pathway
N00429	HCMV UL22A to CCR5-GNB/G-PLCB/G-PKC signaling pathway
N00430	CXCR4-GNAI-PI3K-BAD signaling pathway
N00431	HIV gp120 to CXCR4-GNAI-PI3K-BAD signaling pathway
N00432	HIV gp120 to CXCR4-GNAQ-PLCB/G-calcineurin
N00433	CXCR4-GNB/G-RAC signaling pathway
N00434	HIV gp120 to CXCR4-GNB/G-RAC signaling pathway
N00435	TLR2/4-NFKB signaling pathway
N00436	HIV Tat to TLR2/4-NFKB signaling pathway
N00437	HIV Vpu to TLR2/4-NFKB signaling pathway
N00438	TLR2/4-MAPK signaling pathway
N00439	HIV Nef to TLR2/4-MAPK signaling pathway
N00440	HIV Vpu/Vif/Vpr to cGAS-STING signaling pathway
N00441	HIV gp120 to TNF-NFKB signaling pathway
N00442	HIV Nef to TNF-NFKB signaling pathway
N00443	HIV Vpr/Nef/Tat to TNF-NFKB signaling pathway
N00444	TNF-p38 signaling pathway
N00445	HIV Tat/Nef to TNF-p38 signaling pathway
N00446	TNF-JNK signaling pathway
N00447	HIV Vpr/Tat to TNF-JNK signaling pathway
N00448	HIV Tat/Nef to crosstalk between extrinsic and intrinsic apoptotic pathways
N00449	HIV Tat/Nef to crosstalk between extrinsic and intrinsic apoptotic pathways
N00450	HIV Tat to intrinsic apoptotic pathway
N00451	HIV Tat to intrinsic apoptotic pathway
N00452	HIV Nef to intrinsic apoptotic pathway
N00453	HIV Vpr to intrinsic apoptotic pathway
N00454	HIV Vpr to intrinsic apoptotic pathway
N00455	CDC25-Cell cycle G2/M
N00456	HIV Vpr to CDC25-cell cycle G2M
N00457	HIV Vpr to cell cycle G2M
N00458	HIV Vpr to CDC25-cell cycle G2M
N00459	WEE1-Cell cycle G2/M
N00460	HIV Vpr to WEE1-cell cycle G2M
N00461	HIV Nef to antigen processing and presentation by MHC class I molecules
N00462	KSHV vCCL1/2/3 to CCR signaling pathway
N00463	Alternative pathway of complement activation
N00465	Deleted DMD to dystrophin-associated protein complex
N00466	EBV BPLF1 to TLR2/4-NFKB signaling pathway
N00467	EBV BPLF1 to TLR2/4-NFKB signaling pathway
N00468	EBV BPLF1 to TLR2/4-NFKB signaling pathway
N00469	RIG-I-IRF7/3 signaling pathway
N00470	EBV BGLF4 to RIG-I-like receptor signaling pathway
N00471	EBV LMP2A/2B to IFN signaling pathway
N00472	EBV LMP1 to IFN signaling pathway
N00473	EBV BGLF4 to IFN signaling pathway
N00474	EBV BHRF1 to intrinsic apoptotic pathway
N00475	EBV BHRF1 to intrinsic apoptotic pathway
N00476	EBV BHRF1 to intrinsic apoptotic pathway
N00477	EBV BHRF1 to crosstalk between extrinsic and intrinsic apoptotic pathways
N00478	EBV BARF1 to intrinsic apoptotic pathway
N00479	EBV BNLF2a to antigen processing and presentation by MHC class I molecules
N00480	EBV BILF1 to antigen processing and presentation by MHC class I molecules
N00481	EBV BZLF1 to p53-mediated transcription
N00482	EBV EBNA3C to p27-Cell cycle G1/S
N00483	EBV EBNA3C to cell cycle G1/S
N00484	EBV EBNA3C to cell cycle G1/S
N00485	EBV LMP1 to PI3K signaling pathway
N00486	EBV LMP1 to Jak-STAT signaling pathway
N00487	BCR-PLCG-Calcineurin signaling pathway
N00488	EBV LMP2A to BCR signaling pathway
N00489	HTLV-1 p30II to c-myc-mediated transcription
N00490	HTLV-1 p12 to calcineurin signaling pathway
N00491	HTLV-1 p12 to Jak-STAT signaling pathway
N00492	HTLV-1 p12 to antigen processing and presentation by MHC class I molecules
N00493	Spindle assembly checkpoint signaling
N00494	HTLV-1 Tax to p16-cell cycle G1/S
N00495	HTLV-1 Tax to p15-cell cycle G1/S
N00496	MDM2-p21-Cell cycle G1/S
N00497	HTLV-1 Tax to p21-cell cycle G1/S
N00498	HTLV-1 Tax to p21-cell cycle G1/S
N00499	ATR-p21-Cell cycle G2/M
N00500	HTLV-1 Tax to p21-cell cycle G2/M
N00501	HTLV-1 Tax to EGFR-PI3K-NFKB signaling pathway
N00502	HTLV-1 Tax to PTEN-PIP3-AKT signaling pathway
N00503	HTLV-1 Tax to TNF-JNK signaling pathway
N00504	HTLV-1 Tax to NFKB signaling pathway
N00505	CD40-NFKB signaling pathway
N00506	HTLV-1 Tax to CD40-NFKB signaling pathway
N00507	HTLV-1 Tax to TGF-beta signaling pathway
N00508	HTLV-1 Tax to NFY-mediated transcription
N00509	HTLV-1 Tax to SRF-mediated transcription
N00510	HTLV-1 Tax to CREB-mediated transcription
N00511	HTLV-1 Tax to E47-mediated transcription
N00512	HTLV-1 Tax to c-myc-mediated transcription
N00513	Mutation-activated EGFR to RAS-ERK signaling pathway
N00514	Mutation-activated EGFR to PI3K signaling pathway
N00515	Oligoadenylate synthetase (OAS)/RNase L pathway
N00516	HCV NS3/4A to TLR3-IRF3 signaling pathway
N00517	HCV NS3/4A to TLR3-IRF3 signaling pathway
N00518	HCV Core to ERK signaling pathway
N00519	HCV Core to ERK signaling pathway
N00520	HCV NS5A to p21-cell cycle G1/S
N00521	HCV Core to p21-cell cycle G1/S
N00522	HCV NS3 to p21-cell cycle G1/S
N00523	HCV Core to p21-cell cycle G1/S
N00524	HCV NS5A to extrinsic apoptotic pathway
N00525	HCV NS5A to TNF-NFKB signaling pathway
N00526	HCV NS3 to crosstalk between extrinsic and intrinsic apoptotic pathways
N00527	HCV Core to crosstalk between extrinsic and intrinsic apoptotic pathways
N00528	HCV core to extrinsic apoptotic pathway
N00529	HCV core to RXRA/PPARA-mediated transcription
N00530	HCV core to RXRA/LXRA-mediated transcription
N00531	HBV HBx to TGF-beta signaling pathway
N00532	HBV HBx to Egr-mediated transcription
N00533	HBV HBx to Crosstalk between extrinsic and intrinsic apoptotic pathways
N00534	HBV HBx to Crosstalk between extrinsic and intrinsic apoptotic pathways
N00535	HBV HBx to p53-mediated transcription
N00536	MDM2-p21-Cell cycle G1/S
N00537	HBV HBx to cell cycle G1/S
N00538	Ca2+-PYK2-RAS-ERK signaling pathway
N00539	HBV HBx to Ca2+-PYK2-RAS-ERK signaling pathway
N00540	HBV HBx to RAS-ERK signaling pathway
N00541	HBV HBx to RAS-ERK signaling pathway
