hsa:7529	P31946;V9HWD6
hsa:137362	Q8NHS2
hsa:2805	P17174;A0A140VK69
hsa:26574	Q9NY61
hsa:2806	P00505
hsa:145447	Q7Z5M8
hsa:81926	Q96GS6
hsa:51104	Q5VST6;A0A384MEH9
hsa:58489	Q6PCB6
hsa:54518	Q7Z5R6
hsa:100913187	P31941;A0A0K0MJ49
hsa:200315	P31941;A0A0K0MJ49
hsa:9582	Q9UH17
hsa:27350	Q9NRW3
hsa:200316	Q8IUX4
hsa:60489	Q9HC16
hsa:164668	Q6NTF7
hsa:19	O95477;B7XCW9;B2RUU2
hsa:20	Q9BZC7
hsa:21	Q99758;Q4LE27
hsa:24	P78363;Q6AI28
hsa:23461	Q8WWZ7
hsa:23460	Q8N139
hsa:10347	Q8IZY2;B3KUJ3
hsa:10351	O94911;A0A024R8L6
hsa:10350	Q8IUA7
hsa:10349	Q8WWZ4
hsa:26154	Q86UK0;B3KVV3
hsa:154664	Q86UQ4;A0A0A0MT16
hsa:340273	Q2M3G0
hsa:10058	Q9NP58
hsa:22	O75027
hsa:23457	Q9NP78;A0A024RBU1
hsa:23456	Q9NRK6
hsa:8647	O95342
hsa:6833	Q09428
hsa:10060	O60706;A0A024RAV7
hsa:85320	Q96J66;A0A024R6Q6
hsa:215	P33897
hsa:225	Q9UBJ2
hsa:5825	P28288
hsa:5826	O14678;A0A024R6B9
hsa:6059	P61221
hsa:23	Q8NE71;A0A1U9X609
hsa:10061	Q9UG63;A0A090N7X1
hsa:114483834	Q9UG63;A0A090N7Y2
hsa:55324	Q9NUQ8;A0A0S2Z5L1
hsa:9619	P45844
hsa:9429	Q9UNQ0
hsa:64137	Q9H172
hsa:64240	Q9H222
hsa:64241	Q9H221
hsa:26090	Q8N2K0
hsa:339	P41238
hsa:10930	Q9Y235
hsa:403314	Q8WW27
hsa:116236	Q6UXT9
hsa:84696	Q96SE0;A0A140VJD1
hsa:11057	P08910;A0A024RC89
hsa:171586	Q8WU67
hsa:63874	Q8TB40
hsa:51099	Q8WTS1;A0A0S2Z5D6
hsa:57406	Q9BV23;A0A024R323
hsa:79575	Q96I13;B2C6G3
hsa:55347	Q9NUJ1
hsa:83451	Q8NFV4
hsa:84945	Q7L211;A0A024RDX1
hsa:25864	Q9BUJ0
hsa:84836	Q96IU4;V9HW87
hsa:7920	O95870;A0A1U9X777
hsa:140701	Q9H3Z7
hsa:10006	Q8IZP0
hsa:10152	Q9NYB9;F8WAL6
hsa:51225	Q9P2A4
hsa:54942	Q9NX38
hsa:25	P00519;A0A024R8E2;Q59FK4
hsa:27	P42684
hsa:3983	O14639
hsa:84448	Q6H8Q1
hsa:22885	O94929
hsa:58527	Q9P1F3
hsa:137735	Q8N0Z2
hsa:84142	Q6UWZ7
hsa:23172	Q15018
hsa:29	Q12979;Q6ZT60;B7Z7Z1
hsa:29777	Q9ULW3;A0A024R029
hsa:80325	Q969K4
hsa:25841	Q8N961
hsa:31	Q13085
hsa:32	O00763
hsa:27034	Q9UKU7
hsa:28976	Q9H845
hsa:33	P28330
hsa:34	P11310;A0A0S2Z366
hsa:35	P16219;E5KSD5
hsa:37	P49748
hsa:9744	Q15027
hsa:23527	Q15057
hsa:116983	Q96P50;Q8WTZ1
hsa:9197	O00400
hsa:79777	Q8NC06
hsa:91452	Q5T8D3;B7Z2A7;Q8NCM9
hsa:84320	Q9BR61;B2RAA8
hsa:414149	Q8N6N7
hsa:23205	Q96GR2;B3KNS7
hsa:81616	Q5FVE4;A0A140VJD4
hsa:1622	P07108
hsa:80724	Q6JQN1
hsa:84129	Q709F0
hsa:36	P45954;A0A0S2Z3P9
hsa:65057	Q96AP0
hsa:59272	Q9BYF1
hsa:125981	Q8TDN7
hsa:340485	Q5QJU3;B3KVV5
hsa:55331	Q9NUN7
hsa:43	P22303
hsa:1636	P12821;B4DKH4
hsa:57053	Q9GZZ6
hsa:1135	Q15822
hsa:1136	P32297
hsa:1137	P43681;Q59FV0;B4DK78
hsa:1138	P30532;Q6EWN4
hsa:8973	Q15825
hsa:1139	P36544
hsa:55584	Q9UGM1
hsa:1134	P02708;Q53SH4
hsa:1141	P17787;Q5SXY3
hsa:1142	Q05901
hsa:1143	P30926
hsa:1140	P11230
hsa:1144	Q07001
hsa:1145	Q04844
hsa:1146	P07510
hsa:22985	Q9UKV3
hsa:10188	Q07912;B3KXJ4
hsa:134145	Q6P4H8
hsa:2532	Q16570;Q5Y7A2
hsa:1238	O00590
hsa:57007	P25106
hsa:51554	Q9NPB9
hsa:170487	Q5JWF8
hsa:86	O96019
hsa:51412	O94805
hsa:10881	Q9Y615;A0A140VK03
hsa:10880	Q9Y614;A0A140VKC6
hsa:47	P53396;A0A024R1T9
hsa:1128	P11229;Q53XZ3
hsa:1129	P08172;A4D1Q0;Q6SL56;Q86SJ1
hsa:1131	P20309
hsa:1132	P08173
hsa:1133	P08912;A0A024R9I2
hsa:130013	Q8TDX5
hsa:26027	Q8WXI4
hsa:134526	Q8WYK0
hsa:55856	Q9NPJ3
hsa:48	P21399;V9HWB7;Q9HBB2
hsa:6319	O00767
hsa:50	Q99798
hsa:641371	Q86TX2;E9KL42
hsa:10965	P49753
hsa:122970	Q8N9L9
hsa:641372	Q3I5F7
hsa:10005	O14734
hsa:23597	Q9Y305
hsa:51	Q15067
hsa:8309	Q99424
hsa:8310	O15254
hsa:55289	Q9NUZ1;B4DU63
hsa:390928	Q6ZNF0
hsa:327	P13798
hsa:4706	O14561
hsa:84519	Q8NEB7;A0A140VJD6
hsa:93953	Q96QF7
hsa:49	P10323
hsa:123876	Q08AH3
hsa:348158	Q68CK6
hsa:84532	Q9NUB1
hsa:55902	Q9NR19;Q6DKJ3
hsa:80221	Q96CM8
hsa:197322	Q4G176
hsa:132949	Q4L235;B4E2K0
hsa:2180	P33121;A8K9T3
hsa:2181	O95573
hsa:2182	O60488
hsa:51703	Q9ULC5
hsa:23305	Q9UKU0;B2RB13
hsa:116285	Q08AH1;B2RAP4
hsa:6296	Q53FZ2
hsa:341392	P0C7M7
hsa:54988	Q6NUN0
hsa:142827	Q6P461
hsa:79611	Q9H6R3
hsa:59	P62736;D2JYH4
hsa:345651	Q562R1
hsa:60	P60709;Q1KLZ0
hsa:70	P68032;B3KPP5
hsa:71	P63261
hsa:4158	Q01718
hsa:72	P63267
hsa:81569	Q9H568
hsa:284382	Q8TC94
hsa:87	P12814;A0A024R694
hsa:88	P35609
hsa:89	Q08043;B4DZQ2
hsa:81	O43707;A0A0S2Z3G9
hsa:58	P68133
hsa:139741	Q8TDG2
hsa:140625	Q8TDY3;Q96LK1
hsa:84517	Q9BYD9
hsa:10120	P42025
hsa:10121	P61163;A0A384NQ21
hsa:91	P36896
hsa:130399	Q8NER5
hsa:94	P37023;A0A0S2Z310
hsa:90	Q04771;D3DPA4
hsa:95	Q03154;V9HWA0
hsa:443	P45381;Q6FH48
hsa:91703	Q96HD9;A0A024R5L2
hsa:97	P07311
hsa:98	P14621;A0A140VJD7
hsa:102	O14672;A0A024R5U5
hsa:4185	O75078
hsa:8038	O43184
hsa:8751	Q13444
hsa:6868	P78536;B2RNB2
hsa:8749	Q9Y3Q7
hsa:8728	Q9H013;Q8TBU7
hsa:148	P35348
hsa:147	P35368
hsa:146	P25100;B0ZBE0
hsa:8748	O43506;A0A494C0E3
hsa:8747	Q9UKJ8
hsa:53616	Q9P0K1
hsa:8745	O75077;A0A024R3W8
hsa:10863	Q9UKQ2
hsa:11086	Q9UKF5;A0A140VJD8
hsa:150	P08913
hsa:151	P18089
hsa:152	P18825;Q4W594
hsa:51816	Q9NZK5
hsa:11085	Q9UKF2;Q8TBZ7
hsa:203102	Q8TC27;A0A140VJD9
hsa:80332	Q9BZ11
hsa:132612	Q96M93
hsa:161931	Q8NCV1
hsa:161823	Q6DHV7;A0A024R9S2
hsa:2515	Q99965
hsa:8756	Q9H2U9;A0A384MTL6
hsa:101	P78325;Q14C66
hsa:8754	Q13443
hsa:11033	O75689
hsa:55803	Q9NPF8
hsa:8540	O00116
hsa:23536	Q9BUB4
hsa:134637	Q7Z6V5
hsa:113179	Q96EY9
hsa:100	P00813;A0A0S2Z381
hsa:57143	Q86TW2
hsa:90956	Q7Z695;A4D1T6
hsa:203054	Q3MIX3
hsa:344752	Q6P093
hsa:126767	Q5VUY0
hsa:343066	Q5VUY2
hsa:107	Q08828
hsa:108	Q08462;Q71UM8
hsa:109	O60266
hsa:196883	Q8NFM4
hsa:111	O95622;A0A384P5Q5;B7Z2C7
hsa:112	O43306
hsa:113	P51828;Q86YI0
hsa:114	P40145;A0A0K0K1K3;Q4F7X0
hsa:115	O60503
hsa:55811	Q96PN6;A0A0K0K1J8
hsa:118	P35611
hsa:119	P35612;Q05DK5
hsa:120	Q9UEY8;Q5VU08;Q53FL4
hsa:27299	O15204;B7Z6V5
hsa:79747	Q8N7X0;Q9H5S1
hsa:124	P07327
hsa:125	P00325;V9HW50
hsa:126	P00326
hsa:127	P08319;V9HVX7
hsa:130	P28332;Q8IUN7
hsa:131	P40394
hsa:128	P11766;Q6IRT1
hsa:149685	Q0VDE8;A0A158RFT8
hsa:388581	Q5T7M4
hsa:9370	Q15848;A8K660;B2R773
hsa:117178	Q9Y2D8
hsa:10974	Q15847;Q5TBU5
hsa:132	P55263
hsa:79924	Q7Z4H4
hsa:199800	C9JUS6
hsa:133	P35318
hsa:22850	Q6IQ32;A0A024R377
hsa:23394	Q9H2P0
hsa:83440	Q9BRR6
hsa:60496	Q9NRN7
hsa:141	P54922
hsa:56985	Q3LIE5;W0NWJ0
hsa:153	P08588
hsa:154	P07550
hsa:155	P13945;A8KAG8
hsa:11047	Q16186
hsa:2232	P22570;A0A0C4DFN8
hsa:85477	Q9Y6U3
hsa:291	P12235;A0A0S2Z3H3
hsa:292	P05141;Q6NVC0
hsa:293	P12236;Q6I9V5
hsa:83447	Q9H0C2
hsa:84830	Q96IZ2
hsa:2230	P10109
hsa:165	Q8IUX7
hsa:121536	Q6ZN18
hsa:84890	Q96SZ5;B3KXN9
hsa:158056	Q6UXC1
hsa:64782	Q8WTP8
hsa:8028	P55197;Q59EQ6;Q6N002
hsa:4302	P55198
hsa:134265	Q8TED9
hsa:84632	Q8N4X5
hsa:10962	Q13015;Q6FGF7
hsa:4300	P42568;A0A0S2Z448
hsa:4301	P55196;A8MQ02;G1UI22
hsa:173	P43652
hsa:60312	Q8N556
hsa:4299	P51825;Q14C88
hsa:2334	P51816
hsa:3899	P51826
hsa:27125	Q9UHB7
hsa:246269	Q8WV93
hsa:166378	Q8NB90
hsa:10939	Q9Y4W6;Q8TA92
hsa:54812	Q6ULP2
hsa:84920	Q5BKT4
hsa:144245	Q5I7T1
hsa:644974	C9J202
hsa:119385	Q8TF27
hsa:2717	P06280;Q53Y83
hsa:116987	Q9UPQ3;B2RZG9
hsa:116986	Q99490;F8VVT9
hsa:116988	Q96P47;Q86XV5
hsa:119016	Q96P64
hsa:729092	A6NIR3
hsa:414189	Q5VW22
hsa:642517	Q5VTM2
hsa:3267	P52594;A0A0S2Z444
hsa:3268	O95081;A4D2D6
hsa:55109	Q8N302
hsa:55750	Q53H12;A4D1U5
hsa:5238	O95394
hsa:26523	Q9UL18;B2RAD8
hsa:27161	Q9UKV8
hsa:192669	Q9H9G7;B4E1P5
hsa:192670	Q9HCK5
hsa:10551	O95994;Q4JM46
hsa:155465	Q8TD06
hsa:84435	Q86SQ6
hsa:25960	Q96PE1;Q6YN44
hsa:166647	Q8IWK6
hsa:575	O14514
hsa:576	O60241
hsa:577	O60242
hsa:283383	Q6QNK2;Q9NSM3
hsa:2015	Q14246
hsa:30817	Q9UHX3;A0JNV7
hsa:84658	Q9BY15;Q0IJ53;B7Z5A1;A1L1B9
hsa:266977	Q5T601
hsa:222611	Q8IZF7
hsa:165082	Q8IZF5
hsa:221393	Q8IZF3
hsa:221395	Q8IZF2
hsa:9289	Q9Y653;A0A024R6U7
hsa:10149	Q8IZP9
hsa:222487	Q86Y34
hsa:139378	Q8IZF6
hsa:221188	Q8IZF4
hsa:57211	Q86SQ4
hsa:84873	Q96K78;Q6ZMH4
hsa:375790	O00468
hsa:22859	O94910
hsa:23266	O95490
hsa:23284	Q9HAR2
hsa:64123	Q9HBW9
hsa:181	O00253;C6SUN5
hsa:84059	Q8WXG9
hsa:64902	Q9BYV1
hsa:185	P30556;Q53YY0
hsa:186	P50052
hsa:27245	Q5TGY3
hsa:54806	Q8N157
hsa:113146	Q8IVF2
hsa:79026	Q09666
hsa:57491	A9YTQ3
hsa:196	P35869;A0A024R9Z8
hsa:10598	O95433
hsa:51327	Q9NZD4;Q549J4
hsa:57379	Q9GZX7;Q546Y9;Q7Z599
hsa:64853	Q96BJ3
hsa:83543	Q9BQI0
hsa:199	P55008;Q4V347
hsa:9131	O95831
hsa:150209	Q96NN9
hsa:51390	Q9NVV5
hsa:9447	O14862
hsa:9255	Q12904;B4DNK3
hsa:7965	Q13155;A0A024QZY1
hsa:9118	Q16352
hsa:23746	Q9NZN9;F1T0B6
hsa:9049	O00170;G9I2H4
hsa:326	O43918
hsa:55966	Q9UKB5
hsa:389813	C9J069
hsa:84962	Q96IF1
hsa:8227	Q02040;Q05DA9
hsa:10327	P14550;V9HWI0
hsa:57016	O60218
hsa:441282	C9JRZ8
hsa:1645	Q04828
hsa:1646	P52895
hsa:8644	P42330;A0A0A0MSS8
hsa:1109	P17516
hsa:6718	P51857
hsa:11216	O43572;A0A0S2Z4Z7
hsa:11215	Q9UKA4
hsa:9590	Q02952;Q86TJ9
hsa:158798	Q86UN6
hsa:9465	Q9P0M2;Q2TAJ5
hsa:642597	P0CW23
hsa:8165	Q92667;B4DN86;A0A140VK05
hsa:10566	O75969;V9HWD4
hsa:8852	Q5JQC9;A0A384MQY7
hsa:9495	P24588;Q6PG46
hsa:9472	Q13023;B2RP22
hsa:10270	O43823
hsa:10142	Q99996;Q6PJH3;Q5GIA7
hsa:83592	Q96JD6
hsa:348094	Q495B1
hsa:728780	A6NHY2
hsa:54467	Q9P2G1
hsa:56672	Q9NQ31
hsa:54998	Q9NWT8
hsa:79647	Q9H9L7
hsa:55122	Q53H80;Q9NW35
hsa:80709	Q7Z591;Q64FY1
hsa:254268	Q5T1N1
hsa:11214	Q12802
hsa:26993	Q9ULX6
hsa:207	P31749;B0LPE5
hsa:208	P31751
hsa:10000	Q9Y243
hsa:64400	Q9H8T0;A0A024R6T5
hsa:84335	Q96B36;A0A024QZF6
hsa:120534	Q8N8R7
hsa:216	P00352;V9HW83
hsa:8854	O94788
hsa:220	P47895;A0A024RC95
hsa:219	P30837;A0A384MTJ7
hsa:10840	O75891;Q53H87
hsa:160428	Q3SY69;B4DTU7
hsa:259173	Q60I27;A0A024R2U1
hsa:218	P30838;Q6PKA6
hsa:224	P51648
hsa:221	P43353;A0A024R5D8
hsa:8659	P30038;A0A024RAC7
hsa:241	P20292
hsa:501	P49419
hsa:64577	Q9H2A2
hsa:223	P49189
hsa:2875	P24298
hsa:84706	Q8TD30;A0A024R6R2
hsa:213	P02768
hsa:217	P05091;A0A384NPN7
hsa:226	P04075;V9HWN7
hsa:229	P05062;A0A024R145
hsa:230	P09972;A0A024QZ64
hsa:231	P15121;A0A024R7A8
hsa:440138	Q2TAA5
hsa:79087	Q9BV10;A0A024R4V6
hsa:79868	Q9NP73
hsa:199857	Q96F25
hsa:200810	Q6GMV1
hsa:56052	Q9BT22
hsa:85365	Q9H553;A0A024R184
hsa:10195	Q92685
hsa:29880	Q9Y673
hsa:29929	Q9Y672
hsa:79053	Q9BVK2;A0A024R5K5
hsa:79796	Q9H6U8
hsa:8846	Q13686;Q5XKL0
hsa:121642	Q6NS38
hsa:221120	Q96Q83
hsa:54784	Q9NXW9
hsa:54890	Q6P6C2
hsa:84964	Q3KRA9;B4E3P3
hsa:84266	Q9BT30
hsa:91801	Q96BT7
hsa:389658	Q6UXT8
hsa:285016	Q6UX46
hsa:392636	Q6ZNB7;X5D773
hsa:238	Q9UM73;B6D4Y2
hsa:55821	Q8N6M5
hsa:7840	Q8TCU4
hsa:80216	Q96QP1
hsa:115701	Q86TB3
hsa:57538	Q96L96
hsa:2671	P55789
hsa:57679	Q96Q42;A8K4R4
hsa:3483	P35858;Q8TAY0
hsa:8092	Q15699;V9HWA7
hsa:257	O95076
hsa:60529	Q9H161
hsa:23600	Q9UHK6
hsa:258	Q9NP70;Q546D7
hsa:259	P02760
hsa:5066	P19021
hsa:265	Q99217
hsa:266	Q99218
hsa:139285	Q5JTC6
hsa:219287	Q8N7J2
hsa:205147	Q8N944
hsa:83607	Q6DCA0;A0A024RAG1
hsa:267	Q9UKV5
hsa:57463	Q86WK6
hsa:347902	Q86SJ2;A0A024R127
hsa:386724	Q86WK7
hsa:269	Q16671
hsa:9949	Q9Y4X0;A0A0S2Z4X0
hsa:196394	Q8IY45
hsa:81693	Q9BXJ7
hsa:154810	Q8IY63;A0A024R3A6
hsa:51421	Q9Y2J4
hsa:154796	Q4VCS5
hsa:6051	Q9H4A4
hsa:270	P23109
hsa:271	Q01433
hsa:272	Q01432
hsa:2028	Q07075
hsa:273	P49418
hsa:51056	P28838
hsa:290	P15144;A0A024RC61;Q59E93
hsa:84909	Q8N6M6
hsa:206338	Q6Q4G3;Q0P5U8
hsa:55626	Q9C0C7
hsa:4043	P30533
hsa:401138	Q6UX39;F1T0L8
hsa:276	P04745;Q6NSB3
hsa:277	P04745
hsa:278	P04745
hsa:280	P19961
hsa:279	P04746;Q53F26
hsa:155185	Q400G9;A4D202
hsa:51321	Q86W34
hsa:88455	Q8IZ07;Q3ZTS7;Q9Y5A3
hsa:124930	Q86YJ7;A0A024QZ29;B3KS27
hsa:81573	Q8N6S4
hsa:338692	Q6ZTN6;A0A024R5D5
hsa:253650	Q8IVF6
hsa:91074	Q9BXX3;R4GNA2
hsa:8125	P39687;A0A384P5U2
hsa:10541	Q92688
hsa:23520	O43423
hsa:23519	O95626
hsa:81611	Q9BTT0
hsa:651746	A6NCL7
hsa:284615	Q69YU3
hsa:340120	A5PLL1
hsa:390616	P0C6C1
hsa:57730	Q8N2N9
hsa:4669	P54802;A0A140VJE4
hsa:29882	Q9UJX6
hsa:84936	Q96K21
hsa:367	P10275;Q9NUA2
hsa:4879	P16860
hsa:4880	P23582;E5LCN7
hsa:51479	Q9P2R3
hsa:4878	P01160
hsa:23357	Q9UNK9;A0A024R6B2
hsa:90806	Q5VTE6;Q96AL9
hsa:283	P03950;W0UV28
hsa:9068	O95841
hsa:23452	Q9UKU9;A0A024R868
hsa:27329	Q9Y5C1
hsa:51129	Q9BY76
hsa:253935	Q86XS5
hsa:83854	Q8NI99;A0A024R7A9
hsa:10218	O43827
hsa:55908	Q6UXH0
hsa:284	Q15389
hsa:285	O15123
hsa:51378	Q9Y264
hsa:183	P01019;B0ZBE2;B2R5S1
hsa:647589	E9PGG2
hsa:286	P16157
hsa:287	Q01484
hsa:288	Q12955
hsa:150709	Q7Z5J8;Q70AK8
hsa:63926	Q9NU02
hsa:162282	Q8N957
hsa:404734	Q8IWZ3
hsa:54882	Q8IWZ3
hsa:56172	Q9HCJ1
hsa:255239	Q8NFD2
hsa:126549	Q8NAG6;B4E124;A0A499FJM0
hsa:23141	Q86XL3
hsa:65990	Q9BQD7
hsa:27063	Q15327;A0A384NYH5
hsa:26287	Q9GZV1
hsa:22881	Q9Y2G4;B7Z3D2
hsa:56311	Q92527;A0A140VJE5
hsa:122416	Q96BM1
hsa:124401	Q6ZW76
hsa:203286	Q68DC2;B3KXP1
hsa:389161	A6NFN9
hsa:51281	Q9P2S6
hsa:57037	Q8IV38;A0A024R9Z6
hsa:55139	Q9H8Y5
hsa:54443	Q9NQW6;A0A024RA49
hsa:3276	Q99873
hsa:3275	P55345;A0A0S2Z3N3
hsa:10196	O60678
hsa:10419	O14744
hsa:55170	Q96LA8
hsa:54496	Q9NVM4;A0A024R726
hsa:56341	Q9NR22;Q59GT2
hsa:90826	Q6P2P2
hsa:55129	Q9NW15
hsa:55107	Q5XXA6;Q9NW72
hsa:57101	Q9NQ90;F1T0L7
hsa:63982	Q9BYT9
hsa:121601	Q32M45;B7Z9Z0
hsa:203859	Q75V66
hsa:196527	Q4KMQ2;B3KX12
hsa:50636	Q6IWH7
hsa:57719	Q9HCE9
hsa:338440	A1A5B4
hsa:4881	P16066;A0A140VJE6
hsa:4882	P20594
hsa:4883	P17342;A8K4A5
hsa:55608	Q9NXR5;A0A024RE01
hsa:29123	Q6UB99
hsa:23253	Q6UB98
hsa:54522	Q6P6B7
hsa:26057	O75179
hsa:118932	Q5VYY1
hsa:200539	Q86SG2
hsa:170961	Q8TF21
hsa:22852	Q9UPS8
hsa:84079	Q96NW4
hsa:23243	O15084
hsa:147463	Q8N6D5
hsa:256006	Q8N7Z5
hsa:148741	Q8N283;B4DFX6
hsa:353322	Q7Z713
hsa:51239	Q53RE8
hsa:91369	Q6AI12;A8IK34
hsa:338699	Q8N9B4
hsa:91526	Q8N8A2
hsa:339416	Q5TZF3
hsa:157567	Q86W74;A0A024R9G2
hsa:54851	Q8WVL7;A0A024R398
hsa:57182	Q9ULJ7
hsa:283373	Q8NB46;B3KWN0
hsa:79998	Q8N9V6
hsa:129138	Q6NXT1
hsa:79722	Q3KP44
hsa:140731	Q9BZ19
hsa:100310846	A6NGH8
hsa:342850	A6NC57
hsa:100131244	C9JTQ0
hsa:441869	E5RJM6
hsa:100287718	B4E2M5
hsa:57763	Q9H9E1;A0A024RAN7
hsa:23294	Q92625;Q05CP0
hsa:56899	Q7Z6G8
hsa:257629	Q8N8V4
hsa:462	P01008;A0A024R944
hsa:84168	Q9H6X2;Q53FL1
hsa:118429	P58335
hsa:195977	A6NF34;A0A2U7XUX1
hsa:11199	Q9UJ72
hsa:311	P50995;Q5T0G8
hsa:312	P27216;Q53FB5
hsa:301	P04083;Q5TZZ9
hsa:302	P07355;A0A024R5Z7
hsa:306	P12429
hsa:307	P09525;Q6LES2;Q6P452
hsa:308	P08758;V9HWE0
hsa:309	P08133;A0A0S2Z2Z6
hsa:310	P20073;B2R657
hsa:653145	P13928
hsa:728113	P13928;Q5VT79
hsa:8416	O76027
hsa:313	P28039
hsa:26	P19801
hsa:314	O75106
hsa:8639	Q16853;Q9UEU7
hsa:4128	P21397;Q53YE7;Q49A63
hsa:4129	P27338
hsa:316	Q06278
hsa:9892	O60641
hsa:55435	Q63HQ0
hsa:162	Q10567
hsa:164	O43747;Q8IY97
hsa:8906	O75843
hsa:8907	Q9BXS5;A0A024R7K8;B3KNH5
hsa:10053	Q9Y6Q5
hsa:1174	P61966;A0A024QYT6
hsa:8905	P56377;Q549M9
hsa:130340	Q96PC3
hsa:160	O95782
hsa:161	O94973
hsa:7020	P05549
hsa:163	P63010
hsa:7021	Q92481
hsa:7022	Q92754
hsa:83741	Q7Z6R9
hsa:339488	Q6VUC0
hsa:1173	Q96CW1
hsa:1175	P53680
hsa:8546	O00203;A0A0S2Z5J4
hsa:8120	Q13367
hsa:8943	O14617
hsa:26985	Q9Y2T2;A0A024QZR5
hsa:10947	P53677;A0A384NYL6
hsa:1176	Q92572
hsa:10239	P59780;A0A024RC62
hsa:146705	Q96N21
hsa:318	P50583
hsa:10717	Q9Y6B7
hsa:23431	Q9UPM8;B4DM48
hsa:9179	O00189
hsa:11154	Q9Y587
hsa:91056	Q2VPB7
hsa:55745	Q9H0R1;A0A024R654
hsa:55317	Q9NUS5
hsa:9907	O43299
hsa:317	O14727
hsa:320	Q02410
hsa:321	Q99767;Q59G28
hsa:9546	O96018
hsa:322	O00213
hsa:323	Q92870;B4DJ88;B4E2F2
hsa:10307	O95704;Q59EH2;Q96DX9
hsa:10513	Q92624;A0A024QZ47
hsa:10393	Q9UM13
hsa:51529	Q9NYG5
hsa:25847	Q9BS18;A8K3Z6
hsa:25906	P60006;A0A024R5G0
hsa:119504	Q96DE5;C5H3H2
hsa:64682	Q9H1A4
hsa:29945	Q9UJX5
hsa:51433	Q9UJX4
