dr:D00001	Water (JP17/USP)
dr:D00232	Anisotropine methylbromide (USAN)
dr:D00233	Anthralin (USP)
dr:D00234	Astemizole (JAN/USP/INN)
dr:D00235	Atenolol (JP17/USP/INN)
dr:D00236	Atovaquone (JAN/USP/INN)
dr:D00237	Auranofin (JP17/USAN/INN)
dr:D00238	Azathioprine (JP17/USP/INN)
dr:D00240	Aztreonam (JP17/USP/INN)
dr:D00241	Baclofen (JP17/USP/INN)
dr:D00242	Benzonatate (USP/INN)
dr:D00243	Benzquinamide (USAN)
dr:D00244	Betamethasone (JP17/USP/INN)
dr:D00245	Bisacodyl (JP17/USP/INN)
dr:D00246	Budesonide (JAN/USP/INN)
dr:D00247	Bumetanide (JP17/USP/INN)
dr:D00248	Busulfan (JP17/USP/INN)
dr:D00249	Calcitonin salmon (JP17/USP/INN)
dr:D00250	Capsaicin (JAN/USP)
dr:D00251	Captopril (JP17/USP/INN)
dr:D00252	Carbamazepine (JP17/USP/INN)
dr:D00253	Carbidopa hydrate and levodopa
dr:D00254	Carmustine (JAN/USP/INN)
dr:D00255	Carvedilol (JP17/USP/INN)
dr:D00256	Cefaclor (JP17)
dr:D00257	Cefadroxil (JP17)
dr:D00258	Cefixime (INN)
dr:D00259	Ceforanide (USP/INN)
dr:D00260	Cefotetan (JP17/USP/INN)
dr:D00261	Cefprozil (USP)
dr:D00262	Cefuroxime (USAN/INN)
dr:D00263	Cefalexin (JP17)
dr:D00264	Cephradine (USP)
dr:D00265	Chloral hydrate (JP17/USP)
dr:D00266	Chlorambucil (JAN/USP/INN)
dr:D00267	Chlordiazepoxide (JP17/USP/INN)
dr:D00268	Chlormezanone (JAN/INN)
dr:D00269	Chlorotrianisene (INN)
dr:D00270	Chlorpromazine (USP/INN)
dr:D00271	Chlorpropamide (JP17/USP/INN)
dr:D00272	Chlorthalidone (USP)
dr:D00273	Cidofovir (USAN/INN)
dr:D00274	Cisapride (USP/INN)
dr:D00275	Cisplatin (JP17/USP/INN)
dr:D00276	Clarithromycin (JP17/USP/INN)
dr:D00277	Clindamycin (USAN/INN)
dr:D00278	Clofazimine (JAN/USP/INN)
dr:D00279	Clofibrate (JP17/USP/INN)
dr:D00280	Clonazepam (JP17/USP/INN)
dr:D00281	Clonidine (JAN/USP/INN)
dr:D00282	Clotrimazole (JP17/USP/INN)
dr:D00283	Clozapine (JAN/USP/INN)
dr:D00284	Cosyntropin (USP)
dr:D00285	Co-Trimoxazole (BAN)
dr:D00286	Cyclandelate (JAN/USP/INN)
dr:D00287	Cyclophosphamide (USP)
dr:D00288	Dacarbazine (JAN/USP/INN)
dr:D00289	Danazol (JP17/USP/INN)
dr:D00290	Demeclocycline hydrochloride (USP)
dr:D00291	Desmopressin (INN)
dr:D00292	Dexamethasone (JP17/USP/INN)
dr:D00293	Diazepam (JP17/USP/INN)
dr:D00294	Diazoxide (JAN/USP/INN)
dr:D00295	Cimetidine (JP17/USP/INN)
dr:D00296	Didanosine (JAN/USP/INN)
dr:D00297	Digitoxin (JAN/USP/INN)
dr:D00298	Digoxin (JP17/USP)
dr:D00299	Dihydrotachysterol (JAN/USP/INN)
dr:D00300	Diphenhydramine (JP17/INN)
dr:D00301	Atropine sulfate and diphenoxylate hydrochloride
dr:D00302	Dipyridamole (JP17/USP/INN)
dr:D00303	Disopyramide (JP17/USAN/INN)
dr:D00304	Divalproex sodium (USP)
dr:D00305	Docusate sodium (USP)
dr:D00306	Dronabinol (USP/INN)
dr:D00307	Doxycycline (USP)
dr:D00308	Droperidol (JP17/USP/INN)
dr:D00309	Metoprine (USAN)
dr:D00310	Enoxacin (USAN/INN)
dr:D00311	Estazolam (JP17/USP/INN)
dr:D00312	Estrone sodium sulfate
dr:D00313	Ethacrynic acid (USP)
dr:D00314	Etidronate disodium (JP17/USP)
dr:D00315	Etodolac (JP17/USP/INN)
dr:D00316	Etretinate (JAN/USAN/INN)
dr:D00317	Famciclovir (JAN/USP/INN)
dr:D00318	Famotidine (JP17/USP/INN)
dr:D00319	Felodipine (JP17/USP/INN)
dr:D00320	Fentanyl (JAN/USP/INN)
dr:D00321	Finasteride (JAN/USP/INN)
dr:D00322	Fluconazole (JP17/USP/INN)
dr:D00323	Flucytosine (JP17/USP/INN)
dr:D00324	Flunisolide (JAN/USP)
dr:D00325	Fluocinonide (JP17/USP/INN)
dr:D00326	Fluoxetine (USAN/INN)
dr:D00327	Fluoxymesterone (JAN/USP/INN)
dr:D00328	Flurandrenolide (USP)
dr:D00329	Flurazepam (JAN/INN)
dr:D00330	Flurbiprofen (JP17/USP/INN)
dr:D00331	Furosemide (JP17/USP/INN)
dr:D00332	Gabapentin (JAN/USP/INN)
dr:D00333	Ganciclovir (JAN/USP/INN)
dr:D00334	Gemfibrozil (JAN/USP/INN)
dr:D00335	Glipizide (USP/INN)
dr:D00336	Glyburide (USP)
dr:D00337	Guaifenesin (JP17/USP/INN)
dr:D00338	Halazepam (USAN/INN)
dr:D00339	Haloprogin (JAN/USAN/INN)
dr:D00340	Hydrochlorothiazide (JP17/USP/INN)
dr:D00341	Hydroxyurea (USP)
dr:D00342	Idoxuridine (JP17/USP/INN)
dr:D00343	Ifosfamide (JAN/USP/INN)
dr:D00344	Imipenem and cilastatin sodium (JP17)
dr:D00345	Indapamide (JP17/USP)
dr:D00346	Isoniazid (JP17/USP/INN)
dr:D00347	Isosorbide (JP17/USP/INN)
dr:D00348	Isotretinoin (USP)
dr:D00349	Isradipine (USP/INN)
dr:D00350	Itraconazole (JP17/USP)
dr:D00351	Ketoconazole (JP17/USP)
dr:D00352	Lactulose (JP17/USP/INN)
dr:D00353	Lamivudine (JAN/USP/INN)
dr:D00354	Lamotrigine (JAN/USP/INN)
dr:D00355	Lansoprazole (JP17/USP/INN)
dr:D00356	Latanoprost (JAN/USP/INN)
dr:D00357	Losartan potassium (JP17/USP)
dr:D00358	Lidocaine (JP17/USP/INN)
dr:D00359	Lovastatin (USP/INN)
dr:D00360	Lindane (USP/INN)
dr:D00361	Liotrix (USP)
dr:D00362	Lisinopril (USP)
dr:D00363	Lomustine (USP/INN)
dr:D00364	Loratadine (JAN/USP/INN)
dr:D00365	Lorazepam (JP17/USP/INN)
dr:D00366	Lypressin (USAN/INN)
dr:D00367	Mazindol (JAN/USP/INN)
dr:D00368	Mebendazole (JAN/USP/INN)
dr:D00369	Melphalan (JP17/USP/INN)
dr:D00370	Temazepam (USP/INN)
dr:D00371	Theophylline (JP17)
dr:D00372	Thiabendazole (USP)
dr:D00373	Thioridazine (USP/INN)
dr:D00374	Thiothixene (USP)
dr:D00375	Mephenytoin (USP/INN)
dr:D00376	Meprobamate (JAN/USP/INN)
dr:D00377	Mesalamine (USP)
dr:D00378	Timolol (USAN)
dr:D00379	Tolazamide (JAN/USP/INN)
dr:D00380	Tolbutamide (JP17/USP/INN)
dr:D00381	Tolnaftate (JP17/USP/INN)
dr:D00382	Torsemide (USP)
dr:D00383	Trandolapril (JAN/USP/INN)
dr:D00384	Triacetin (USP/INN)
dr:D00385	Triamcinolone (JP17/USP/INN)
dr:D00386	Triamterene (JP17/USP/INN)
dr:D00387	Triazolam (JAN/USP/INN)
dr:D00388	Triclofos sodium (JP17/USAN)
dr:D00389	Metandienone (INN)
dr:D00390	Triflupromazine (USP/INN)
dr:D00391	Trifluridine (JAN/USP/INN)
dr:D00392	Trimethadione (JP17/INN)
dr:D00393	Methenamine (USP/INN)
dr:D00394	Trimipramine (USAN/INN)
dr:D00395	Troglitazone (JAN/USAN/INN)
dr:D00396	Tromethamine (USP)
dr:D00397	Tropicamide (JP17/USP/INN)
dr:D00398	Valacyclovir hydrochloride (USP)
dr:D00399	Valproic acid (USP)
dr:D00400	Valsartan (JP17/USP/INN)
dr:D00401	Methimazole (USP)
dr:D00402	Methocarbamol (JAN/USP/INN)
dr:D00403	Methotrimeprazine (USP)
dr:D00404	Methsuximide (USP)
dr:D00405	Methyldopa (USP)
dr:D00406	Vidarabine (USAN)
dr:D00407	Methylprednisolone (JP17/USP/INN)
dr:D00408	Methyltestosterone (JP17/USP/INN)
dr:D00409	Metronidazole (JP17/USP/INN)
dr:D00410	Metyrapone (JP17/USP/INN)
dr:D00411	Zafirlukast (JAN/USAN/INN)
dr:D00412	Zalcitabine (JAN/USP/INN)
dr:D00413	Zidovudine (JP17/USP/INN)
dr:D00414	Zileuton (USP/INN)
dr:D00415	Zolmitriptan (JAN/USP/INN)
dr:D00416	Miconazole (JP17/USP/INN)
dr:D00417	Milrinone (JAN/USP/INN)
dr:D00418	Minoxidil (JAN/USP/INN)
dr:D00419	Misoprostol (JAN/USP/INN)
dr:D00420	Mitotane (JAN/USP/INN)
dr:D00421	Ramipril (USP/INN)
dr:D00422	Ranitidine (USAN/INN)
dr:D00423	Ribavirin (JP17/USP/INN)
dr:D00424	Rifabutin (JAN/USP/INN)
dr:D00425	Nabumetone (JP17/USP/INN)
dr:D00426	Risperidone (JP17/USP/INN)
dr:D00427	Ritonavir (JAN/USP/INN)
dr:D00428	Salsalate (USP/INN)
dr:D00429	Saquinavir (JAN/USP/INN)
dr:D00430	Secobarbital (USP/INN)
dr:D00431	Metolazone (JAN/USP/INN)
dr:D00432	Nadolol (JP17/USP/INN)
dr:D00433	Sulfadiazine, silver (USP)
dr:D00434	Simvastatin (JP17/USP/INN)
dr:D00435	Nevirapine (JAN/USP/INN)
dr:D00436	Niclosamide (USAN/INN)
dr:D00437	Nifedipine (JP17/USP/INN)
dr:D00438	Nimodipine (USP/INN)
dr:D00439	Nitrofurantoin (JAN/USP/INN)
dr:D00440	Nizatidine (JP17/USP/INN)
dr:D00441	Octabenzone (USAN)
dr:D00442	Octreotide (USAN/INN)
dr:D00443	Spironolactone (JP17/USP/INN)
dr:D00444	Stanozolol (JAN/USP/INN)
dr:D00445	Stavudine (USAN/INN)
dr:D00446	Sucralfate (USP/INN)
dr:D00447	Sulfamethoxazole (JP17/USP/INN)
dr:D00448	Sulfasalazine (USP/INN)
dr:D00449	Sulfinpyrazone (JAN/USP/INN)
dr:D00450	Sulfisoxazole (JP17/USP)
dr:D00451	Sumatriptan (JAN/USP/INN)
dr:D00452	Suprofen (JAN/USP/INN)
dr:D00453	Ofloxacin (JP17/USP/INN)
dr:D00454	Olanzapine (JAN/USP/INN)
dr:D00455	Omeprazole (JP17/USP/INN)
dr:D00456	Ondansetron (JAN/USP/INN)
dr:D00457	Quazepam (JAN/USP/INN)
dr:D00458	Quetiapine fumarate (JP17/USP)
dr:D00459	Quinapril hydrochloride (JP17/USP)
dr:D00460	Oxamniquine (USAN/INN)
dr:D00461	Quinethazone (JAN/INN)
dr:D00462	Oxandrolone (JAN/USP/INN)
dr:D00463	Oxaprozin (JP17/USP/INN)
dr:D00464	Oxazepam (JAN/USP/INN)
dr:D00465	Oxybutynin (USAN/INN)
dr:D00466	Piperacillin sodium (JP17/USP)
dr:D00467	Pipobroman (JAN/USAN/INN)
dr:D00468	Plicamycin (USAN/INN)
dr:D00469	Pralidoxime chloride (USP)
dr:D00470	Prazepam (JP17/USAN/INN)
dr:D00471	Praziquantel (JAN/USP/INN)
dr:D00472	Prednisolone (JP17/USP/INN)
dr:D00473	Prednisone (USP)
dr:D00474	Primidone (JP17/USP/INN)
dr:D00475	Probenecid (JP17/USP/INN)
dr:D00476	Probucol (JP17/USP/INN)
dr:D00477	Procainamide hydrochloride (JP17/USP)
dr:D00478	Procarbazine hydrochloride (JP17/USP)
dr:D00479	Prochlorperazine maleate (JP17/USP)
dr:D00480	Promethazine hydrochloride (JP17/USP)
dr:D00481	Propantheline bromide (JP17/USP/INN)
dr:D00482	Propoxyphene hydrochloride (USAN)
dr:D00483	Propranolol hydrochloride (JP17/USP)
dr:D00484	Protriptyline hydrochloride (USP)
dr:D00485	Pseudoephedrine hydrochloride (USP)
dr:D00486	Pyrantel pamoate (JP17/USP)
dr:D00487	Pyridostigmine bromide (JP17/USP/INN)
dr:D00488	Pyrimethamine (JAN/USP/INN)
dr:D00489	Pyrvinium pamoate (JAN/USP)
dr:D00490	Oxymetholone (JP17/USP/INN)
dr:D00491	Paclitaxel (JAN/USP/INN)
dr:D00492	Pancuronium bromide (JP17/USP/INN)
dr:D00493	Prochlorperazine (JAN/USP/INN)
dr:D00494	Promethazine (JAN/INN)
dr:D00495	Paramethadione (INN)
dr:D00496	Penicillamine (JAN/USP/INN)
dr:D00497	Penicillin V potassium (USP)
dr:D00498	Pentazocine (JP17/USP/INN)
dr:D00499	Pentobarbital (USP/INN)
dr:D00500	Pentobarbital sodium (JAN/USP)
dr:D00501	Pentoxifylline (JAN/USP/INN)
dr:D00502	Pergolide mesylate (USP)
dr:D00503	Perphenazine (JP17/USP/INN)
dr:D00504	Phenacemide (JAN/INN)
dr:D00505	Phenelzine sulfate (USP)
dr:D00506	Phenobarbital (JP17/USP/INN)
dr:D00507	Phenoxybenzamine hydrochloride (USP)
dr:D00508	Phensuximide (USP/INN)
dr:D00509	Phentolamine mesylate (USP)
dr:D00510	Phenylbutazone (JP17/USP/INN)
dr:D00511	Phenylephrine hydrochloride (JP17/USP)
dr:D00512	Phenytoin (JP17/USP/INN)
dr:D00513	Pindolol (JP17/USP/INN)
dr:D00514	Dexmedetomidine (USAN/INN)
dr:D00515	Nitroglycerin (JP17/USP)
dr:D00516	Isosorbide dinitrate (JP17/USP/INN)
dr:D00517	Amyl nitrite (JP17/USP)
dr:D00518	Dichlorphenamide (USP)
dr:D00519	Chlorothiazide (JAN/USP/INN)
dr:D00520	Dimenhydrinate (JP17/USP/INN)
dr:D00521	Terfenadine (JAN/USAN/INN)
dr:D00522	Candesartan (USAN/INN)
dr:D00523	Irbesartan (JP17/USP/INN)
dr:D00524	Carbachol (JAN/USP/INN)
dr:D00525	Pilocarpine (JAN/USP)
dr:D00526	Cromolyn sodium (USP)
dr:D00527	Nedocromil sodium (USAN)
dr:D00528	Caffeine (USP)
dr:D00529	Montelukast sodium (JP17/USP)
dr:D00530	Zaleplon (JAN/USP/INN)
dr:D00531	Nitrazepam (JP17/USAN/INN)
dr:D00532	Glutethimide (JAN/INN)
dr:D00533	Oxcarbazepine (JAN/USP/INN)
dr:D00534	Malathion (USP)
dr:D00535	Vigabatrin (JAN/USP/INN)
dr:D00536	Felbamate (USPINN)
dr:D00537	Topiramate (JAN/USP/INN)
dr:D00538	Zonisamide (JP17/USP/INN)
dr:D00539	Ethosuximide (JP17/USP/INN)
dr:D00540	Glycopyrrolate (USP)
dr:D00541	Hycanthone (USAN/INN)
dr:D00542	Halothane (JP17/USP/INN)
dr:D00543	Enflurane (JP17/USP/INN)
dr:D00544	Methoxyflurane (USP/INN)
dr:D00545	Isoflurane (JP17/USP/INN)
dr:D00546	Desflurane (JAN/USP/INN)
dr:D00547	Sevoflurane (JP17/USAN/INN)
dr:D00548	Etomidate (USP/INN)
dr:D00549	Propofol (JAN/USP/INN)
dr:D00550	Midazolam (JAN/USP/INN)
dr:D00551	Tetracaine (USP/INN)
dr:D00552	Benzocaine (USP/INN)
dr:D00553	Prilocaine (USP/INN)
dr:D00554	Ethinyl estradiol (USP)
dr:D00555	Amobarbital (JP17/INN)
dr:D00556	Aminopyrine (JAN)
dr:D00557	Methaqualone (JAN/USAN/INN)
dr:D00558	Carbidopa (USP)
dr:D00559	Pramipexole dihydrochloride (USP)
dr:D00560	Pimozide (JP17/USP/INN)
dr:D00561	Sertindole (USAN/INN)
dr:D00562	Propylthiouracil (JP17/USP/INN)
dr:D00563	Mirtazapine (JAN/USP/INN)
dr:D00564	Warfarin sodium (USP)
dr:D00565	Fenofibrate (JAN/USP/INN)
dr:D00566	Sodium salicylate (JP17/USP)
dr:D00567	Celecoxib (JAN/USP/INN)
dr:D00568	Rofecoxib (JAN/USAN/INN)
dr:D00569	Phenacetin (JAN/INN)
dr:D00570	Colchicine (JP17/USP)
dr:D00571	Edetate calcium disodium anhydrous (USP)
dr:D00572	Succimer (USAN/INN)
dr:D00573	Goserelin acetate (JAN/USP)
dr:D00574	Aminoglutethimide (USP/INN)
dr:D00575	Mestranol (JP17/USP/INN)
dr:D00576	Quinestrol (USAN/INN)
dr:D00577	Diethylstilbestrol (USP/INN)
dr:D00578	Voriconazole (JP17/USP/INN)
dr:D00579	Foscarnet sodium (USP/INN)
dr:D00580	Sulfadoxine (JAN/USP/INN)
dr:D00581	Iodoquinol (USP)
dr:D00582	Sodium stibogluconate (INN)
dr:D00583	Thiotepa (JAN/USP/INN)
dr:D00584	Fluorouracil (JP17/USP/INN)
dr:D00585	Mifepristone (JAN/USAN/INN)
dr:D00586	Flutamide (JP17/USP/INN)
dr:D00587	Sulfadiazine (JAN/USP/INN)
dr:D00588	Levofloxacin (USP)
dr:D00589	Gatifloxacin (USAN)
dr:D00590	Sparfloxacin (JAN/USAN/INN)
dr:D00591	Ethionamide (JP17/USP/INN)
dr:D00592	Dapsone (USP)
dr:D00593	Glimepiride (JP17/USP/INN)
dr:D00594	Repaglinide (JAN/USP/INN)
dr:D00595	Buformin (USAN/INN)
dr:D00596	Rosiglitazone maleate (JAN/USP)
dr:D00597	Acebutolol hydrochloride (JP17/USP)
dr:D00598	Betaxolol hydrochloride (JP17/USP)
dr:D00599	Carteolol hydrochloride (JP17/USP)
dr:D00600	Labetalol hydrochloride (JP17/USP)
dr:D00601	Metoprolol tartrate (JP17/USP)
dr:D00602	Penbutolol sulfate (JP17/USP)
dr:D00603	Timolol maleate (JP17/USP)
dr:D00604	Clonidine hydrochloride (JP17/USP)
dr:D00605	Guanabenz acetate (JP17/USP)
dr:D00606	Guanfacine hydrochloride (JAN/USP)
dr:D00607	Guanadrel sulfate (USAN)
dr:D00608	Doxazosin mesylate (USP)
dr:D00609	Prazosin hydrochloride (JP17/USP)
dr:D00610	Terazosin hydrochloride (USP)
dr:D00611	Mecamylamine hydrochloride (USP)
