carnitine	CID100000085
cerivastatin	CID100002676
cetirizine	CID100002678
cevimeline	CID100002684
chlorambucil	CID100002708
chlordiazepoxide	CID100002712
chlorhexidine	CID100002713;CID100029089
chloroquine	CID100002719
thiazide	CID100002720
chlorpheniramine	CID100002725
chlorpromazine	CID100002726
chlorpropamide	CID100002727
chlorthalidone	CID100002732
chlorzoxazone	CID100002733
ciclopirox	CID100002749
cilazapril	CID100002751
cilostazol	CID100002754
cimetidine	CID100002756
cinoxacin	CID100002762
ciprofloxacin	CID100002764
cisplatin	CID100002767
citalopram	CID100002771
clemastine	CID100002781
clindamycin	CID100032603;CID100002786
clobazam	CID100002789
clobetasol	CID100002791;CID100032797
clobetasone	CID100002792
clofazimine	CID100002794
clomiphene	CID100002800
clomipramine	CID100002801
clonazepam	CID100002802
clonidine	CID100002803
clopidogrel	CID100002806
clorazepate	CID100002809
clotrimazole	CID100002812
clozapine	CID100002818
cocaine	CID100002826
codeine	CID100002828
colchicine	CID100002833
crotamiton	CID100002883
cyanocobalamin	CID100002891
cyclobenzaprine	CID100002895
cyclopentolate	CID100002905
cyclophosphamide	CID100002907
v	CID100002909
cyproheptadine	CID100002913
cyproterone	CID100003015;CID100002914
danazol	CID100002949
dantrolene	CID100002951
dapsone	CID100002955
anthracycline	CID100002958
deferiprone	CID100002972
deferoxamine	CID100002973
delta	CID100002978
desipramine	CID100002995
desoximetasone	CID100003000
amphetamine	CID100003007
dextromethorphan	CID100003008
DFMO	CID100003009
diazepam	CID100003016
diazoxide	CID100003019
diclofenac	CID100003032
dichlorphenamide	CID100003038
dicloxacillin	CID100003040
dicyclomine	CID100003042
didanosine	CID100003043
diethylenetriaminepentaacetic	CID100003053
diflorasone	CID100003056
diflunisal	CID100003059
epitopic	CID100003060
digoxin	CID100003062
dihydrocodeine	CID100003063
dihydroergotamine	CID100003066
diltiazem	CID100003075
dimercaprol	CID100003080
diphenhydramine	CID100003100
dipivefrin	CID100003105
dipyridamole	CID100003108
disopyramide	CID100003114
disulfiram	CID100003117
valproate	CID100003121
alpha-methyl-p-tyrosine	CID100003125
docetaxel	CID100003143
dolasetron	CID100003148
domperidone	CID100003151
donepezil	CID100003152
dorzolamide	CID100003154
dothiepin	CID100003155
doxapram	CID100003156
doxazosin	CID100003157
doxepin	CID100003158
droperidol	CID100003168
L-threo-DOPS	CID100003171
dyphylline	CID100003182
econazole	CID100003198
trabectedin	CID100003199
edrophonium	CID100003202
efavirenz	CID100003203
eicosapentaenoic	CID100003209
emedastine	CID100003219
CAS	CID100443379;CID100003222;CID100065281
enflurane	CID100003226
epinastine	CID100003241
vitamin	CID100003249;CID100004812
ergonovine	CID100003250
ergotamine	CID100003251
erythromycin	CID100071469;CID100003255;CID100012559
monomycin	CID100003256
estazolam	CID100003261
estramustine	CID100018140;CID100003268
estriol	CID100003269
ethacrynic	CID100003278
ethambutol	CID100003279
ethosuximide	CID100003291
ethotoin	CID100003292
etidronate	CID100003305
etodolac	CID100003308
etoposide	CID100003310;CID100060668
famciclovir	CID100003324
famotidine	CID100003325
felbamate	CID100003331
felodipine	CID100003333
fenofibrate	CID100003339
fenoldopam	CID100003340
fenoprofen	CID100003342
fentanyl	CID100003345
fexofenadine	CID100003348
finasteride	CID100003350
flavoxate	CID100003354
flecainide	CID100003355
FdUrd	CID100003363
flucloxacillin	CID100003364
fluconazole	CID100003365
5-fluorocytosine	CID100003366
fludarabine	CID100003367
FAMP	CID100003368
fludrocortisone	CID100031378;CID100003370
fluphenazine	CID100003388;CID100003372
flumazenil	CID100003373
flumethasone	CID100003375
flunisolide	CID100003379
flunitrazepam	CID100003380
fluocinolone	CID100091488;CID100003381
fluocinonide	CID100003382
fluorometholone	CID100003384
5-FU	CID100003385
fluoxetine	CID100003386
fluoxymesterone	CID100003387
flurandrenolone	CID100003392
flurazepam	CID100003393
flurbiprofen	CID100003394
flutamide	CID100003397
fluticasone	CID109854489;CID100062924;CID100003399
fluvastatin	CID100003403
fluvoxamine	CID100003404
folate	CID100003405
4-methylpyrazole	CID100003406
formoterol	CID100003410
foscarnet	CID100003414
fosfomycin	CID100003417;CID100054331
fosinopril	CID100003419
Romidepsin	CID100003425
furosemide	CID100003440
fusidic	CID100003443
gabapentin	CID100003446
galantamine	CID100003449
ganciclovir	CID100003454
gemcitabine	CID100003461
gemeprost	CID100003462
gemfibrozil	CID100003463
gentamicin	CID100003467
gliclazide	CID100003475
glimepiride	CID100003476
glipizide	CID100003478
glibenclamide	CID100003488
glycopyrrolate	CID100003494
granisetron	CID100003510
griseofulvin	CID100003512
guaifenesin	CID100003516
icodextrin	CID100003517
guanfacine	CID100003519
guanidinium	CID100003520
halcinonide	CID100003553
haloperidol	CID100003559
hexachlorophene	CID100003598
homatropine	CID100003623
Buscopan	CID100003636
hydralazine	CID100003637
hydrochlorothiazide	CID100003639
cortisol	CID100003640
hydrocortisone	CID100003642
hydroflumethiazide	CID100003647
hydromorphone	CID100003648
hydroxychloroquine	CID100003652
hydroxyurea	CID100003657
hydroxyzine	CID100003658
atropine	CID100003661
ibuprofen	CID100003672
phenelzine	CID100003675
lidocaine	CID100003676
idarubicin	CID100003685
IdUrd	CID100003687
ifosfamide	CID100003690
imipramine	CID100003696
indapamide	CID100003702
indinavir	CID100003706
indomethacin	CID100003715
iodixanol	CID100003724
iohexol	CID100003730
iopamidol	CID100003734
iopromide	CID100003736
iotrolan	CID100003738
iodipamide	CID100003739
ioversol	CID100003741
ioxaglate	CID100003742
ioxilan	CID100003743
ipratropium	CID100003746
irbesartan	CID100003749
irinotecan	CID100003750
isocarboxazid	CID100003759
isoflurane	CID100003763
isoniazid	CID100003767
isopropyl	CID100003777
isoproterenol	CID100003779
isosorbide	CID100003780
isoxsuprine	CID100003783
isradipine	CID100003784
itraconazole	CID100003793
ketamine	CID100003821
ketoconazole	CID100003823
ketoprofen	CID100003825
ketorolac	CID100003826;CID100084003
ketotifen	CID100003827
cytokinin	CID100003830
phenyllactate	CID100003848
labetalol	CID100003869
lactulose	CID100003872
lamivudine	CID100003877
lamotrigine	CID100003878
lansoprazole	CID100003883
latanoprost	CID100003890
leflunomide	CID100003899
letrozole	CID100003902
Leuprorelin	CID100003911
levobunolol	CID100003914
levocabastine	CID100003915
levomepromazine	CID100003916
dextrorphan	CID100003918
lincomycin	CID100003928
linezolid	CID100003929
Lisinopril	CID100003937
lisuride	CID100003938
LiOH	CID100003939
lomefloxacin	CID100003948
lomustine	CID100003950
loperamide	CID100003954
loratadine	CID100003957
lorazepam	CID100003958
losartan	CID100003961
lovastatin	CID100003962
loxapine	CID100003964
mafenide	CID100003998
malathion	CID100004004
maprotiline	CID100004011
mebendazole	CID100004030
mebeverine	CID100004031
mecamylamine	CID100004032
nitrogen	CID100004033
monamine	CID100004034
meclofenamate	CID100004036
medroxyprogesterone	CID100004042;CID100010631
medrysone	CID100004043
mefenamic	CID100004044
mefloquine	CID100004046
megestrol	CID100019090;CID100004048
meloxicam	CID100004051
melphalan	CID100004053
memantine	CID100004054
Cantril	CID100004057
meperidine	CID100004058
mephenytoin	CID100004060
mepivacaine	CID100004062
meprobamate	CID100004064
5-ASA	CID100004075
metaproterenol	CID100004086
metformin	CID100004091
methadone	CID100004095
methenamine	CID100004101;CID100021945
methocarbamol	CID100004107
methotrexate	CID100004112
8-MOP	CID100004114
N-methylscopolamine	CID100004120
methyclothiazide	CID100004121
methyldopa	CID100004138
methylene	CID100016124;CID100004139
methylergometrine	CID100004140
methylphenidate	CID100004158
methyltestosterone	CID100004160
methysergide	CID100004163
metoclopramide	CID100004168
metolazone	CID100004170
metoprolol	CID100004171
metronidazole	CID100004173
metyrapone	CID100004174
mexiletine	CID100004178
mianserin	CID100004184
miconazole	CID100004189
midazolam	CID100004192
midodrine	CID100004195
mifepristone	CID100004196
milrinone	CID100004197
minoxidil	CID100004201
mirtazapine	CID100004205
mitotane	CID100004211
mitoxantrone	CID100004212
moclobemide	CID100004235
modafinil	CID100004236
mometasone	CID100004240;CID100123620
montelukast	CID100004248
morphine	CID100004253
moxifloxacin	CID100004259
mupirocin	CID100004264
mycophenolate	CID100004271
mycophenolic	CID100004272
tetrofosmin	CID100004274
nabumetone	CID100004409
nadolol	CID100004411
nalbuphine	CID100004419
nalidixic	CID100004421
nalmefene	CID100004422
naloxone	CID100004425
naltrexone	CID100004428
nandrolone	CID100009904;CID100004432
naphazoline	CID100004436
naratriptan	CID100004440
nateglinide	CID100004443
nefazodone	CID100004449
nefopam	CID100004450
nelfinavir	CID100004451
neomycin	CID100004454
neostigmine	CID100004456
nevirapine	CID100004463
nicardipine	CID100004473
nifedipine	CID100004485
nilutamide	CID100004493
nimodipine	CID100004497
nisoldipine	CID100004499
nitrazepam	CID100004506
nitrofurantoin	CID100004509
nitroglycerin	CID100004510
nizatidine	CID100004513
norethisterone	CID100004536
norfloxacin	CID100004539
levonorgestrel	CID100004542
nortriptyline	CID100004543
repaglinide	CID100004547
nystatin	CID100004568
ofloxacin	CID100004583
olanzapine	CID100004585
omeprazole	CID100004594
ondansetron	CID100004595
orlistat	CID100004599
orphenadrine	CID100004601
oseltamivir	CID100004603
oxacillin	CID100004607
oxaliplatin	CID100004609
oxaprozin	CID100004614
oxazepam	CID100004616
oxiconazole	CID100004623
oxprenolol	CID100004631
oxybutynin	CID100004634
oxycodone	CID100004635
oxymetholone	CID100004638
oxymorphone	CID100004639
APAs	CID100004649
paclitaxel	CID100004666
pamidronate	CID100004673
pancuronium	CID100004675
dexpanthenol	CID100004678
pantoprazole	CID100004679
papaverine	CID100004680
paromomycin	CID100004689
paroxetine	CID100004691
isosulfan	CID100004695
penbutolol	CID100004724
penciclovir	CID100004725
D-penicillamine	CID100004727
pentamidine	CID100004735
pentazocine	CID100004736
pentobarbital	CID100004737
pentostatin	CID100004739
pentoxifylline	CID100004740
pergolide	CID100004745
perhexiline	CID100004746
propericiazine	CID100004747
perphenazine	CID100004748
phenylazo	CID100004756
phenobarbital	CID100004763
phenoxybenzamine	CID100004768
phentermine	CID100004771
4-PBA	CID100004775
phenylephrine	CID100004782
phenylpropanolamine	CID100004786
moxonidine	CID100004810
physostigmine	CID100004811
pilocarpine	CID100004819
pindolol	CID100004828
pioglitazone	CID100004829
piperacillin	CID100004834
pirbuterol	CID100004845
podophyllotoxin	CID100004865
polymyxin	CID100004868
polythiazide	CID100004870
pramipexole	CID100004885
pravastatin	CID100004889
praziquantel	CID100004891
prazosin	CID100004893
prednisolone	CID100004895;CID100004896;CID100004894
prednisone	CID100004900
prilocaine	CID100004906
primaquine	CID100004908
primidone	CID100004909
probenecid	CID100004911
procainamide	CID100004913
procaine	CID100004914;CID100022502
procarbazine	CID100004915
prochlorperazine	CID100004917
progesterone	CID100004920
proguanil	CID100004923
promethazine	CID100004927
propafenone	CID100004932
propantheline	CID100004934
proparacaine	CID100004935
propofol	CID100004943
propranolol	CID100004946
protriptyline	CID100004976
pyrantel	CID100004989
pyridostigmine	CID100004991
mepyramine	CID100004992
pyrimethamine	CID100004993
quazepam	CID100004999
quetiapine	CID100005002
quinapril	CID100005005
rabeprazole	CID100005029
ephedrine	CID100005032
raloxifene	CID100005035
ramipril	CID100005038
ranitidine	CID100005039
rapamycin	CID100005040
rescinnamine	CID100005051
reserpine	CID100005052
ribavirin	CID100005064
riluzole	CID100005070
rimantadine	CID100005071
risperidone	CID100005073
ritonavir	CID100005076
rivastigmine	CID100005077
rizatriptan	CID100005078
rofecoxib	CID100005090
ropinirole	CID100005095
roxithromycin	CID100005106
salmeterol	CID100005152
stavudine	CID100005155
salsalate	CID100005161
scopolamine	CID100005184
secobarbital	CID100005193
deprenyl	CID100005195
sertraline	CID100005203
sevoflurane	CID100005206
sibutramine	CID100005210
sildenafil	CID100005212
silver	CID100005214;CID100023954
sulfadiazine	CID100005215
risedronate	CID100005245
sotalol	CID100005253
sparfloxacin	CID100005257
spironolactone	CID100005267
imatinib	CID100005291
streptomycin	CID100005297
streptozotocin	CID100005300
vorinostat	CID100005311
succinylcholine	CID100005314
sulconazole	CID100005318
sulfacetamide	CID100005320
sulfamethoxazole	CID100005329
sulfonamide	CID100005333
sulindac	CID100005352
sumatriptan	CID100005358
suprofen	CID100005359
tacrolimus	CID100005372
tamoxifen	CID100005376
gatifloxacin	CID100005379
tazarotene	CID100005381
temazepam	CID100005391
temozolomide	CID100005394
teniposide	CID100005396
terazosin	CID100005401
terbinafine	CID100005402
terbutaline	CID100005403
terconazole	CID100005404
testolactone	CID100005407
testosterone	CID100005408;CID100005409;CID100005410;CID100065157
tetracaine	CID100005411
tetrahydrozoline	CID100005419
thalidomide	CID100005426
thiabendazole	CID100005430
thioridazine	CID100005452
thiotepa	CID100005453
thiothixene	CID100005454
tiagabine	CID100005466
tiaprofenic	CID100005468
tibolone	CID100005470
ticlopidine	CID100005472
timolol	CID100005478
tinidazole	CID100005479
tiopronin	CID100005483
tirofiban	CID100005486
tizanidine	CID100005487
tobramycin	CID100005496
tolazamide	CID100005503
tolbutamide	CID100005505
tolmetin	CID100005508
tolterodine	CID100005512
topiramate	CID100005514
topotecan	CID100005515
toremifene	CID100005516
tramadol	CID100005523
tramazoline	CID100005524
trandolapril	CID100005525
tranexamic	CID100005526
tranylcypromine	CID100005530
trazodone	CID100005533
retinoic	CID100005538
triamcinolone	CID100005544;CID100006436
triamterene	CID100005546
triazolam	CID100005556
triclosan	CID100005564
trien	CID100005565
trifluoperazine	CID100005566
trihexyphenidyl	CID100005572
trimethadione	CID100005576
trimethobenzamide	CID100005577
trimethoprim	CID100005578
trimetrexate	CID100005582
trimipramine	CID100005584
troglitazone	CID100005591
tropicamide	CID100005593
tropisetron	CID100005595
trospium	CID100005596
delavirdine	CID100005625
unoprostone	CID100005636
UDCA	CID100005645
VACV	CID100005647
valsartan	CID100005650
Vancocine	CID100005651
venlafaxine	CID100005656
vigabatrin	CID100005665
vinorelbine	CID100005672
zafirlukast	CID100005717
zalcitabine	CID100005718
zaleplon	CID100005719
zanamivir	CID100005721
zidovudine	CID100005726
ZnCl2	CID100005727
zolmitriptan	CID100005731
zolpidem	CID100005732
zonisamide	CID100005734
zopiclone	CID100005735
mitomycin	CID100005746
oxytocin	CID100005771
phentolamine	CID100005775
demethyl	CID100005877
oxandrolone	CID100005878
biguanide	CID100005939
vincristine	CID100005978
tetrabenazine	CID100006018
EDTA	CID100006049
cysteamine	CID100006058
17-hydroxyprogesterone	CID100006238
trifluorothymidine	CID100006256
Optison	CID100006432
bromcresol	CID100006451
phencyclidine	CID100006468
methsuximide	CID100006476
tris	CID100006503
cyclizine	CID100006726
phenylbutyric	CID100007012
diethylpropion	CID100007029
benzoyl	CID100007187
monobenzone	CID100007638
benzonatate	CID100007699
tetraen	CID100008197
argenine	CID100008230
chloroprocaine	CID100008612
nafcillin	CID100008982
methohexital	CID100009034
dimercaptosuccinic	CID100009354
aminophylline	CID100009433
propoxyphene	CID100010100;CID100028332
hydroxybutyrate	CID100010413
echothiophate	CID100010547
dimenhydrinate	CID100010660
lithium	CID100028486;CID100011125
Brolene	CID100011973
zuclopenthixol	CID100012453
phendimetrazine	CID100012460
desonide	CID100012536
benzydamine	CID100012555
isomannide	CID100012597
Tadenan	CID100012620
lormetazepam	CID100013314
vinblastine	CID100013342
ferumoxytol	CID100014789
arsenic	CID100014888;CID105359596
fluoride	CID100014917
benzathine	CID100015232
metaxalone	CID100015459
amiloride	CID100016230
pimozide	CID100016362
betamethasone	CID100021800;CID100016533
fluorescein	CID100016850
5-aza-2'-deoxycytidine	CID100016886
SonoVue	CID100017358
clocortolone	CID100020969
hydrocodone	CID100022258
gold	CID100022318
ogen	CID100023703
molindone	CID100023897
Fe(III	CID100023925
lanthanum	CID100023926;CID100168924
samarium	CID100023951
technetium-99m	CID100023957
chromium	CID100023976
copper	CID100023978
gadolinium	CID100023982
yttrium	CID100023993
zinc	CID100023994;CID100024424
selenium	CID100024087;CID106326970
barium	CID100024414;CID100083513
TlCl	CID100024642
Triphasil	CID100024706
iodide	CID100024841
clodronate	CID100025419
Prussian	CID100025959
HMDP	CID100027304
pizotifen	CID100027400
isosorbide-5-mononitrate	CID100027661
desmopressin	CID100027991
conjugated	CID100027993
dexrazoxane	CID100030623
carbimazole	CID100031072
paraldehyde	CID100031264
metipranolol	CID100031477
articaine	CID100032169
Protirelin	CID100032281
Asp-Tyr(SO3H)-Met-Gly-Trp-Met-Asp-Phe-NH2	CID100032800
oxcarbazepine	CID100034312
etomidate	CID100036339
gonadorelin	CID100036523
dobutamine	CID100036811
halofantrine	CID100037392
pentosan	CID100037720
carboplatin	CID100038904
bezafibrate	CID100039042
rimexolone	CID100039507
stiripentol	CID100039524
vecuronium	CID100039764
nabilone	CID100039860
permethrin	CID100040159
pirfenidone	CID100040632
pinaverium	CID100040703
desogestrel	CID100040973
Implanon	CID100040976
acitretin	CID100041317
nitazoxanide	CID100041684
sufentanil	CID100041693
valrubicin	CID100041744
acarbose	CID100041774
torasemide	CID100041781
desflurane	CID100042113
Westcort	CID100042395
Supremon	CID100042615
misoprostol	CID100042955
lodoxamide	CID100044563;CID100044564
atracurium	CID100047319
cisatracurium	CID100047320
butoconazole	CID100047471
nicorandil	CID100047528
naftifine	CID100047640
Goserelin	CID100047725
nedocromil	CID100050294
cefotetan	CID100050614
alfentanil	CID100051263
miglitol	CID100051577
miglustat	CID100051634
prednicarbate	CID100052421
mebrofenin	CID100054158
iloprost	CID100054313
Octreotide	CID100054373
simvastatin	CID100054454
cefpodoxime	CID100054547
clarithromycin	CID100054688
treprostinil	CID100054786
loteprednol	CID100054808
atomoxetine	CID100054840
NSC	CID100054949
moexiprilat	CID100055331
Gd-DTPA	CID100055466
milnacipran	CID100055480
fosphenytoin	CID100056338
ranolazine	CID100056959
Photofrin	CID100057166;CID103086257
imiquimod	CID100057469
rotigotine	CID100057537
pemirolast	CID100057697
levetiracetam	CID100059708
esmolol	CID100059768
tamsulosin	CID100060146
adapalene	CID100060164
adefovir	CID100060172;CID100060871
perindopril	CID100060183;CID100060184
exemestane	CID100060198
zileuton	CID100060490
dexmedetomidine	CID100060612
cidofovir	CID100060613
rocuronium	CID100060695
meropenem	CID100060706
gadoteridol	CID100060714
bromfenac	CID100060726
mTHPC	CID100060751
ibutilide	CID100060752
gadodiamide	CID100060754
saquinavir	CID100060787
aripiprazole	CID100060795
remifentanil	CID100060814
tiotropium	CID100060830
duloxetine	CID100060834
pemetrexed	CID100060843
ibandronate	CID100060852
ziprasidone	CID100060853
metaiodobenzylguanidine	CID100060860
olopatadine	CID100060864
levosimendan	CID100060867
emtricitabine	CID100060877
eprosartan	CID100060878
tiludronate	CID100060936
capecitabine	CID100060953
monomethylfumarate	CID100061799
doxycycline	CID154682541;CID100062305;CID125880656
ammonium	CID100062358
colestipol	CID100062816
Metrodin	CID100062819
fosinoprilat	CID100062956
trovafloxacin	CID100062959
benazeprilat	CID100063001
valganciclovir	CID100064147
Meropenem	CID100064778
fenofibric	CID100064929
tenofovir	CID100064987;CID100119830
AMD3100	CID100065014
Glat	CID100065370
bendamustine	CID100065628
colestimide	CID100065840
reboxetine	CID100065856
sertaconazole	CID100065863
lercanidipine	CID100065866
telmisartan	CID100065999
atosiban	CID100068613
zoledronic	CID100068740
brinzolamide	CID100068844
malvidin	CID100069512
acamprosate	CID100071158
ropivacaine	CID100071273
nebivolol	CID100071301
mivacurium	CID100071316
dofetilide	CID100071329
lanreotide	CID100071348
iloperidone	CID100071360
Hoe	CID100071362
TPGS	CID100071406
Lutalyse	CID100071436
voriconazole	CID100071616
perindoprilat	CID100072022
darifenacin	CID100072054
Terlipressin	CID100072081
rifaximin	CID100072111
bleomycin	CID100072466
gemifloxacin	CID100072938
doripenem	CID100073303
telithromycin	CID100073658
atovaquone	CID100074989
frovatriptan	CID100077992
eletriptan	CID100077993
paricalcitol	CID100077996
MK-462	CID100077997
rosiglitazone	CID100077998
Vallergan	CID100078032
bexarotene	CID100082146
agomelatine	CID100082148
Ge-132	CID100083030
strontium	CID100083606;CID106918182
bortezomib	CID100093860
nelarabine	CID100096312
rasburicase	CID100102258
dextran	CID100102399
ICI	CID100104741
raltitrexed	CID100104758
levodopa/carbidopa	CID100104778
fotemustine	CID100104799
rimonabant	CID100104849
bosentan	CID100104865
68Ga	CID100105145
Diane-35	CID100107694
FTY720	CID100107969
quinaprilat	CID100107994
vardenafil	CID100110634
tadalafil	CID100110635
eslicarbazepine	CID100179344;CID100114709
paliperidone	CID100115237
NTBC	CID100115355
clofarabine	CID100119182
benzylpenicilloyl	CID100119212
valdecoxib	CID100119607
parecoxib	CID100119828
N-carbamylglutamate	CID100121396
ustekinumab	CID100121749
retigabine	CID100121892
FP-CIT	CID100122197
rasagiline	CID100122316
SU5416	CID100123015
travoprost	CID100123597
almotriptan	CID100123606
Eptifibatide	CID100123610
fondaparinux	CID100123611
etoricoxib	CID100123619
Cancidas	CID100123623
gefitinib	CID100123631
Trisequens	CID100123634
Madopar	CID100123809
desloratadine	CID100124087
desvenlafaxine	CID100125017
pregabalin	CID100125889
bimatoprost	CID100127909
trandolaprilat	CID100128549
rufinamide	CID100129228
rosuvastatin	CID100129806
esomeprazole	CID100130564
olmesartan	CID100130881;CID100158781
fosamprenavir	CID100131535
pitavastatin	CID100132804
abiraterone	CID100132971
ivabradine	CID100132999
febuxostat	CID100134018
pixantrone	CID100134019
pomalidomide	CID100134780
sacrosidase	CID100135113
nitric	CID100145068
drospirenone	CID100147740
posaconazole	CID100147912
pralatrexate	CID100148121
ospemifene	CID100148127
temsirolimus	CID100148191
atazanavir	CID100148192
palonosetron	CID100148211
eplerenone	CID100150310
ezetimibe	CID100150311
ertapenem	CID100150610
nepafenac	CID100151075
aprepitant	CID100151165
conivaptan	CID100151171
dutasteride	CID100152945
entecavir	CID100153941
clevidipine	CID100153994
solifenacin	CID100154058
bazedoxifene	CID100154256
asenapine	CID100156326
cinacalcet	CID100156418
gadopentetate	CID100157429
vinflunine	CID100157688
lubiprostone	CID100157920
methyl	CID100157921
pegaptanib	CID100158786;CID156603655
sevelamer	CID100159247;CID103085017;CID111593706
MnDPDP	CID100160036
colesevelam	CID100160051
zidovudine/lamivudine	CID100160352
tipranavir	CID100163296
Anidulafungin	CID100166548
poly(styrene	CID100168625
varenicline	CID100170361
Kaluril	CID100171558
erlotinib	CID100176870
S-benzoylmercaptoacetyltriglycine	CID100185457
Prednefrin	CID100192155
etravirine	CID100193962
gadobenate	CID100197281
ambrisentan	CID100197712
L-Dmp	CID100206527
dronedarone	CID100208898
ramelteon	CID100208902
lapatinib	CID100208908
NuvaRing	CID100208920
dabigatran	CID100216210;CID100213023
darunavir	CID100213039
lurasidone	CID100213046
luliconazole	CID100214339
aliskiren	CID100216209
sitaxsentan	CID100216235
tolvaptan	CID100216237
sorafenib	CID100216239
