DB00001	Lepirudin
DB00576	Sulfamethizole
DB00577	Valaciclovir
DB00578	Carbenicillin
DB00579	Mazindol
DB00580	Valdecoxib
DB00581	Lactulose
DB00582	Voriconazole
DB00583	L-Carnitine
DB00584	Enalapril
DB00585	Nizatidine
DB00586	Diclofenac
DB00587	-
DB00588	Fluticasone_propionate
DB00589	Lisuride
DB00590	Doxazosin
DB00591	Fluocinolone_acetonide
DB00592	Piperazine
DB00593	Ethosuximide
DB00594	Amiloride
DB00595	Oxytetracycline
DB00596	Ulobetasol
DB00597	Gadoteridol
DB00598	Labetalol
DB00599	Thiopental
DB00600	Monobenzone
DB00601	Linezolid
DB00602	Ivermectin
DB00603	Medroxyprogesterone
DB00604	Cisapride
DB00605	Sulindac
DB00606	Cyclothiazide
DB00607	Nafcillin
DB00608	Chloroquine
DB00609	Ethionamide
DB00610	Metaraminol
DB00611	Butorphanol
DB00612	Bisoprolol
DB00613	Amodiaquine
DB00614	Furazolidone
DB00615	Rifabutin
DB00616	Candoxatril
DB00617	Paramethadione
DB00618	Demeclocycline
DB00619	Imatinib
DB00620	Triamcinolone
DB00621	Oxandrolone
DB00622	Nicardipine
DB00623	Fluphenazine
DB00624	Testosterone
DB00625	Efavirenz
DB00626	Bacitracin
DB00627	Niacin
DB00628	Clorazepate
DB00629	Guanabenz
DB00630	Alendronate
DB00631	Clofarabine
DB00632	Docosanol
DB00633	Dexmedetomidine
DB00634	Sulfacetamide
DB00635	Prednisone
DB00636	Clofibrate
DB00637	Astemizole
DB00638	Inulin
DB00639	Butoconazole
DB00640	Adenosine
DB00641	Simvastatin
DB00642	Pemetrexed
DB00643	Mebendazole
DB00644	Gonadorelin
DB00645	Dyclonine
DB00646	Nystatin
DB00647	Propoxyphene
DB00648	Mitotane
DB00649	Stavudine
DB00650	Folinic_acid
DB00651	Dyphylline
DB00652	Pentazocine
DB00653	Magnesium_sulfate
DB00654	Latanoprost
DB00655	Estrone
DB00656	Trazodone
DB00657	Mecamylamine
DB00658	Sevelamer
DB00659	Acamprosate
DB00660	Metaxalone
DB00661	Verapamil
DB00662	Trimethobenzamide
DB00663	Flumethasone
DB00664	Sulfametopyrazine
DB00665	Nilutamide
DB00666	Nafarelin
DB00668	Epinephrine
DB00669	Sumatriptan
DB00670	Pirenzepine
DB00671	Cefixime
DB00672	Chlorpropamide
DB00673	Aprepitant
DB00674	Galantamine
DB00675	Tamoxifen
DB00676	Benzyl_benzoate
DB00677	Isoflurophate
DB00678	Losartan
DB00679	Thioridazine
DB00680	Moricizine
DB00681	Amphotericin_B
DB00682	Warfarin
DB00683	Midazolam
DB00684	Tobramycin
DB00685	Trovafloxacin
DB00686	Pentosan_polysulfate
DB00687	Fludrocortisone
DB00688	Mycophenolate_mofetil
DB00689	Cephaloglycin
DB00690	Flurazepam
DB00691	Moexipril
DB00692	Phentolamine
DB00693	Fluorescein
DB00694	Daunorubicin
DB00695	Furosemide
DB00696	Ergotamine
DB00697	Tizanidine
DB00698	Nitrofurantoin
DB00699	Nicergoline
DB00700	Eplerenone
DB00701	Amprenavir
DB00702	Icodextrin
DB00703	Methazolamide
DB00704	Naltrexone
DB00705	Delavirdine
DB00706	Tamsulosin
DB00707	Porfimer
DB00708	Sufentanil
DB00709	Lamivudine
DB00710	Ibandronate
DB00711	Diethylcarbamazine
DB00712	Flurbiprofen
DB00713	Oxacillin
DB00714	Apomorphine
DB00715	Paroxetine
DB00716	Nedocromil
DB00717	Norethisterone
DB00718	Adefovir
DB00719	Azatadine
DB00720	Clodronate
DB00721	Procaine
DB00722	Lisinopril
DB00723	Methoxamine
DB00724	Imiquimod
DB00725	Homatropine_methylbromide
DB00726	Trimipramine
DB00727	Nitroglycerin
DB00728	Rocuronium
DB00730	Thiabendazole
DB00731	Nateglinide
DB00732	Atracurium
DB00733	Pralidoxime
DB00734	Risperidone
DB00735	Naftifine
DB00736	Esomeprazole
DB00737	Meclizine
DB00738	Pentamidine
DB00739	Hetacillin
DB00740	Riluzole
DB00741	Hydrocortisone
DB00742	Mannitol
DB00743	Gadobenic_acid
DB00744	Zileuton
DB00745	Modafinil
DB00746	Deferoxamine
DB00747	Scopolamine
DB00748	Carbinoxamine
DB00749	Etodolac
DB00750	Prilocaine
DB00751	Epinastine
DB00752	Tranylcypromine
DB00753	Isoflurane
DB00754	Ethotoin
DB00755	Tretinoin
DB00756	Hexachlorophene
DB00757	Dolasetron
DB00758	Clopidogrel
DB00759	Tetracycline
DB00760	Meropenem
DB00761	Potassium_chloride
DB00762	Irinotecan
DB00763	Methimazole
DB00764	Mometasone
DB00765	Metyrosine
DB00766	Clavulanate
DB00767	Benzquinamide
DB00768	Olopatadine
DB00769	Hydrocortamate
DB00770	Alprostadil
DB00771	Clidinium
DB00772	Malathion
DB00773	Etoposide
DB00774	Hydroflumethiazide
DB00775	Tirofiban
DB00776	Oxcarbazepine
DB00777	Propiomazine
DB00778	Roxithromycin
DB00779	Nalidixic_acid
DB00780	Phenelzine
DB00781	Polymyxin_B
DB00782	Propantheline
DB00783	Estradiol_(medication)
DB00784	Mefenamic_acid
DB00785	Cryptenamine
DB00786	Marimastat
DB00787	Aciclovir
DB00788	Naproxen
DB00789	Gadopentetic_acid
DB00790	Perindopril
DB00791	Uracil_mustard
DB00792	Tripelennamine
DB00793	Haloprogin
DB00794	Primidone
DB00795	Sulfasalazine
DB00796	Candesartan
DB00797	Tolazoline
DB00798	Gentamicin
DB00799	Tazarotene
DB00800	Fenoldopam
DB00801	Halazepam
DB00802	Alfentanil
DB00803	Colistin
DB00804	Dicyclomine
DB00805	Minaprine
DB00806	Pentoxifylline
DB00807	Proparacaine
DB00808	Indapamide
DB00809	Tropicamide
DB00810	Biperiden
DB00811	Ribavirin
DB00812	Phenylbutazone
DB00813	Fentanyl
DB00814	Meloxicam
DB00815	Sodium_lauryl_sulfate
DB00816	Orciprenaline
DB00817	Rosoxacin
DB00818	Propofol
DB00819	Acetazolamide
DB00820	Tadalafil
DB00821	Carprofen
DB00822	Disulfiram
DB00823	Ethynodiol_diacetate
DB00824	Enprofylline
DB00825	Menthol
DB00826	Natamycin
DB00827	Cinoxacin
DB00828	Fosfomycin
DB00829	Diazepam
DB00830	Phenmetrazine
DB00831	Trifluoperazine
DB00832	Phensuximide
DB00833	Cefaclor
DB00834	Mifepristone
DB00835	Brompheniramine
DB00836	Loperamide
DB00837	Progabide
DB00838	Clocortolone
DB00839	Tolazamide
DB00840	Hydroxypropyl_cellulose
DB00841	Dobutamine
DB00842	Oxazepam
DB00843	Donepezil
DB00844	Nalbuphine
DB00845	Clofazimine
DB00846	Fludroxycortide
DB00847	Cysteamine
DB00848	Levamisole
DB00849	Mephobarbital
DB00850	Perphenazine
DB00851	Dacarbazine
DB00852	Pseudoephedrine
DB00853	Temozolomide
DB00854	Levorphanol
DB00855	Aminolevulinic_acid
DB00856	Chlorphenesin
DB00857	Terbinafine
DB00858	Drostanolone
DB00859	Penicillamine
DB00860	Prednisolone
DB00861	Diflunisal
DB00862	Vardenafil
DB00863	Ranitidine
DB00864	Tacrolimus
DB00865	Benzphetamine
DB00866	Alprenolol
DB00867	Ritodrine
DB00868	Benzonatate
DB00869	Dorzolamide
DB00870	Suprofen
DB00871	Terbutaline
DB00872	Conivaptan
DB00873	-
DB00874	Guaifenesin
DB00875	Flupenthixol
DB00876	Eprosartan
DB00877	Sirolimus
DB00878	Chlorhexidine
DB00879	Emtricitabine
DB00880	Chlorothiazide
DB00881	Quinapril
DB00882	Clomifene
DB00883	Isosorbide_dinitrate
DB00884	Risedronate
DB00885	Pemirolast
DB00886	Omapatrilat
DB00887	Bumetanide
DB00888	Mechlorethamine
DB00889	Granisetron
DB00890	Dienestrol
DB00891	Sulfapyridine
DB00892	Oxybuprocaine
DB00893	Iron_Dextran
DB00894	Testolactone
DB00895	Benzylpenicilloyl_polylysine
DB00896	Rimexolone
DB00897	Triazolam
DB00898	Ethanol
DB00899	Remifentanil
DB00900	Didanosine
DB00901	Bitolterol
DB00902	Methdilazine
DB00903	Ethacrynic_acid
DB00904	Ondansetron
DB00905	Bimatoprost
DB00906	Tiagabine
DB00907	Cocaine
DB00908	Quinidine
DB00909	Zonisamide
DB00910	Paricalcitol
DB00911	Tinidazole
DB00912	Repaglinide
DB00913	Anileridine
DB00914	Phenformin
DB00915	Amantadine
DB00916	Metronidazole
DB00917	Dinoprostone
DB00918	Almotriptan
DB00919	Spectinomycin
DB00920	Ketotifen
DB00921	Buprenorphine
DB00922	Levosimendan
DB00923	Ceforanide
DB00924	Cyclobenzaprine
DB00925	Phenoxybenzamine
DB00926	Etretinate
DB00927	Famotidine
DB00928	Azacitidine
DB00929	Misoprostol
DB00930	Colesevelam
DB00931	Methacycline
DB00932	Tipranavir
DB00933	Mesoridazine
DB00934	Maprotiline
DB00935	Oxymetazoline
DB00936	Salicylic_acid
DB00937	Diethylpropion
DB00938	Salmeterol
DB00939	Meclofenamic_acid
DB00940	Methantheline
DB00941	Hexafluronium_bromide
DB00942	Cycrimine
DB00943	Zalcitabine
DB00944	Demecarium_bromide
DB00945	Aspirin
DB00946	Phenprocoumon
DB00947	Fulvestrant
DB00948	Mezlocillin
DB00949	Felbamate
DB00950	Fexofenadine
DB00951	Isoniazid
DB00952	Naratriptan
DB00953	Rizatriptan
DB00954	Dirithromycin
DB00955	Netilmicin
DB00956	Hydrocodone
DB00957	Norgestimate
DB00958	Carboplatin
DB00959	Methylprednisolone
DB00960	Pindolol
DB00961	Mepivacaine
DB00962	Zaleplon
DB00963	Bromfenac
DB00964	Apraclonidine
DB00965	Ethiodized_oil
DB00966	Telmisartan
DB00967	Desloratadine
DB00968	Methyldopa
DB00969	Alosetron
DB00970	Dactinomycin
DB00971	-
DB00972	Azelastine
DB00973	Ezetimibe
DB00974	EDTA
DB00975	Dipyridamole
DB00976	Telithromycin
DB00977	Ethinylestradiol
DB00978	Lomefloxacin
DB00979	Cyclopentolate
DB00980	Ramelteon
DB00981	Physostigmine
DB00982	Isotretinoin
DB00983	Formoterol
DB00984	Nandrolone
DB00985	Dimenhydrinate
DB00986	Glycopyrrolate
DB00987	Cytarabine
DB00988	Dopamine
DB00989	Rivastigmine
DB00990	Exemestane
DB00991	Oxaprozin
DB00992	Methyl_aminolevulinate
DB00993	Azathioprine
DB00994	Neomycin
DB00995	Auranofin
DB00996	Gabapentin
DB00997	Doxorubicin
DB00998	Frovatriptan
DB00999	Hydrochlorothiazide
DB01000	Cyclacillin
DB01001	Salbutamol
DB01002	Levobupivacaine
DB01003	Cromoglicate
DB01004	Ganciclovir
DB01005	Hydroxyurea
DB01006	Letrozole
DB01007	Tioconazole
DB01008	Busulfan
DB01009	Ketoprofen
DB01010	Edrophonium
DB01011	Metyrapone
DB01012	Cinacalcet
DB01013	Clobetasol_propionate
DB01014	Balsalazide
DB01015	Sulfamethoxazole
DB01016	Glibenclamide
DB01017	Minocycline
DB01018	Guanfacine
DB01019	Bethanechol
DB01020	Isosorbide_mononitrate
DB01021	Trichlormethiazide
DB01022	Phytonadione
DB01023	Felodipine
DB01024	Mycophenolic_acid
DB01025	Amlexanox
DB01026	Ketoconazole
DB01028	Methoxyflurane
DB01029	Irbesartan
DB01030	Topotecan
DB01031	Ethinamate
DB01032	Probenecid
DB01033	Mercaptopurine
DB01034	Cerulenin
DB01035	Procainamide
DB01036	Tolterodine
DB01037	Selegiline
DB01038	Carphenazine
DB01039	Fenofibrate
DB01041	Thalidomide
DB01042	Melphalan
DB01043	Memantine
DB01044	Gatifloxacin
DB01045	Rifampin
DB01046	Lubiprostone
DB01047	Fluocinonide
DB01048	Abacavir
DB01049	Ergoloid
DB01050	Ibuprofen
DB01051	Novobiocin
DB01053	Benzylpenicillin
DB01054	Nitrendipine
DB01055	Mimosine
DB01056	Tocainide
DB01057	Echothiophate
DB01058	Praziquantel
DB01059	Norfloxacin
DB01060	Amoxicillin
DB01061	Azlocillin
DB01062	Oxybutynin
DB01063	Acetophenazine
DB01064	Isoproterenol
DB01065	Melatonin
DB01066	Cefditoren
DB01067	Glipizide
DB01068	Clonazepam
DB01069	Promethazine
DB01070	Dihydrotachysterol
DB01071	Mequitazine
DB01072	Atazanavir
DB01073	Fludarabine
DB01074	Perhexiline
DB01075	Diphenhydramine
DB01076	Atorvastatin
DB01077	Etidronic_acid
DB01078	Deslanoside
DB01079	Tegaserod
DB01080	Vigabatrin
DB01081	Diphenoxylate
DB01082	Streptomycin
DB01083	Orlistat
DB01084	Emedastine
DB01085	Pilocarpine
DB01086	Benzocaine
DB01087	Primaquine
DB01088	Iloprost
DB01089	Deserpidine
DB01090	Pentolinium
DB01091	Butenafine
DB01092	Ouabain
DB01093	Dimethyl_sulfoxide
DB01094	Hesperetin
DB01095	Fluvastatin
DB01096	Oxamniquine
DB01097	Leflunomide
DB01098	Rosuvastatin
DB01099	Flucytosine
DB01100	Pimozide
DB01101	Capecitabine
DB01102	Arbutamine
DB01103	Quinacrine
DB01104	Sertraline
DB01105	Sibutramine
DB01106	Levocabastine
DB01107	Methyprylon
DB01108	Trilostane
DB01109	Heparin
DB01110	Miconazole
DB01111	Colistimethate
DB01112	Cefuroxime
DB01113	Papaverine
DB01114	Chlorpheniramine
DB01115	Nifedipine
DB01116	Trimethaphan
DB01117	Atovaquone
DB01118	Amiodarone
DB01119	Diazoxide
DB01120	Gliclazide
DB01121	Phenacemide
DB01122	Ambenonium
DB01123	Proflavine
DB01124	Tolbutamide
DB01125	Anisindione
DB01126	Dutasteride
DB01127	Econazole
DB01128	Bicalutamide
DB01129	Rabeprazole
